hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac
"[512, 384, 256, 192, 128]","[2, 4]","[1, 3, 5]",0.20,leakyrelu,768,64,5,mean,L2,Adam,0.0,0.00015,0.000005,True,0.8
"[256, 256, 256, 256]","[1, 2, 3, 4]","[1, 2, 3, 4]",0.40,elu,512,80,4,max,minmax,AdamW,0.0,0.00020,0.000001,True,0.9
"[2048, 1024, 512, 256]","[2]","[1, 2]",0.20,gelu,1024,24,4,max,minmax,AdamW,0.0,0.00005,0.000010,True,0.8
"[256, 128, 64]","[1, 2]","[1, 2]",0.25,leakyrelu,256,192,3,mean,L2,SGD,0.9,0.00060,0.000000,False,0.0
"[384, 384, 192]","[2]","[1, 2]",0.30,gelu,512,96,3,max,minmax,SGD,0.0,0.00018,0.000001,True,0.85
"[512, 256, 256]","[1, 3]","[2]",0.35,silu,512,96,3,mean,L2,AdamW,0.0,0.00012,0.000005,True,0.85
"[896, 448]","[1]","[1]",0.30,gelu,896,64,2,mean,minmax,AdamW,0.0,0.00010,0.000001,True,0.85
"[768, 384]","[1, 2]","[1, 2]",0.45,elu,768,64,2,mean,minmax,RMSprop,0.0,0.00012,0.000001,True,0.85
"[512, 320, 192, 128]","[2, 3]","[1, 2, 3]",0.30,gelu,512,96,4,mean,minmax,Adam,0.0,0.00020,0.000001,True,0.85
"[640, 320, 160]","[2]","[1, 2]",0.25,silu,768,96,3,max,L2,Adam,0.0,0.00022,0.000001,True,0.85
"[896, 512, 256]","[2]","[1, 2]",0.40,leakyrelu,896,48,3,mean,minmax,AdamW,0.0,0.00009,0.000005,True,0.85
"[192, 192, 192]","[1, 2, 3]","[1, 2, 3]",0.20,relu,256,192,3,mean,L2,AdamW,0.0,0.00025,0.000000,False,0.0
"[1024, 1024, 512, 256]","[2, 4]","[1, 2, 3]",0.25,gelu,1024,32,4,mean,minmax,AdamW,0.0,0.00007,0.000010,True,0.8
"[768, 768, 384, 192]","[2, 3]","[1, 2, 3]",0.35,gelu,768,48,4,mean,minmax,Adam,0.0,0.00009,0.000001,True,0.75
"[384, 256, 128]","[1, 2]","[1, 2]",0.25,tanh,512,128,3,max,L2,Adam,0.0,0.00022,0.000000,True,0.9
"[512, 256, 128]","[2]","[1, 2]",0.45,leakyrelu,512,96,3,mean,minmax,RMSprop,0.0,0.00014,0.000001,True,0.9
