hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,target_embedding,source_params,best_f1_per_class,best_f1,__source_file__
"[896, 448]",[1],[1],0.15,gelu,896,32,2,mean,minmax,RMSprop,,0.0006,0.0,True,0.7,baseline_31steps_mean.csv,Preset_32,"[0.78049, 0.75, 0.77419]",0.76823,mlp_results_v4_mean.csv
"[896, 512, 256]","[1, 2]","[1, 2, 3]",0.4,silu,896,64,3,mean,minmax,RMSprop,,8e-05,5e-05,True,0.7,baseline_31steps_mean.csv,Preset_18,"[0.7907, 0.61538, 0.8125]",0.73953,mlp_results_v4_mean.csv
"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,OUMVLP_concat.csv,Preset_19,"[0.78261, 0.66667, 0.73333]",0.72754,mlp_results_v4_reduced.csv
"[640, 448, 256]","[1, 2]","[1, 2, 3]",0.35,relu,640,64,3,mean,minmax,RMSprop,,8e-05,5e-05,True,0.7,baseline_31steps_mean.csv,Preset_42,"[0.7, 0.71429, 0.76471]",0.72633,mlp_results_v4_mean.csv
"[192, 384, 768, 768]","[1, 2, 3]","[1, 2, 3]",0.4,elu,768,96,4,mean,minmax,RMSprop,,0.0003,1e-05,True,0.7,baseline_31steps_mean.csv,Preset_18,"[0.71795, 0.61538, 0.83333]",0.72222,mlp_results_v4_mean.csv
"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,gaitpart_GREW_TOP50.csv,Preset_11,"[0.77273, 0.71429, 0.66667]",0.71789,mlp_results_v5_top50%.csv
"[576, 384, 192]",[2],"[1, 3]",0.5,elu,576,96,3,mean,minmax,RMSprop,,0.0002,5e-05,True,0.8,baseline_OUMVLP_TOP50.csv,Preset_15,"[0.65, 0.8, 0.66667]",0.70556,mlp_results_v5_top50%.csv
"[768, 768, 768, 768]","[1, 2, 3, 4]","[1, 3, 4]",0.4,gelu,768,128,4,mean,minmax,AdamW,,0.00025,5e-06,True,0.8,baseline_31steps_mean.csv,Preset_4,"[0.75556, 0.54545, 0.8125]",0.7045,mlp_results_v4_mean.csv
"[1280, 896, 512]","[1, 2, 3]","[1, 3]",0.45,silu,1280,96,3,mean,L2,Adam,,0.00015,0.0,True,0.75,baseline_31steps_mean.csv,Preset_63,"[0.73171, 0.57143, 0.78788]",0.697,mlp_results_v4_mean.csv
"[768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,768,64,3,mean,minmax,Adam,,0.0002,1e-07,True,0.8,baseline_OUMVLP.csv,Preset_5,"[0.66667, 0.66667, 0.75676]",0.6967,mlp_results_v2.csv
