channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end
[1024],[1],3,2,gelu,True,True,max,512,16,AdamW,0.0,0.0001,1,1e-06,L2,[0.1],False
"[1024, 1024]","[1, 2]",3,2,silu,True,True,attention,512,32,Adam,0.0,8e-05,2,1e-06,minmax,"[0.1, 0.1]",False
"[768, 1024, 768]","[1, 3, 9]",5,2,mish,False,False,max,256,16,RMSprop,0.0,0.0003,3,2e-06,L2,"[0.1, 0.1, 0.1]",False
"[256, 512, 1024, 512]","[1, 2, 4, 8]",7,1,prelu,True,True,mean,512,32,AdamW,0.0,6e-05,4,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",False
"[128, 256, 512, 1024]","[3, 6, 9, 12]",3,2,leakyrelu,True,True,attention,256,64,AdamW,0.0,3e-05,4,1e-05,minmax,"[0.0, 0.1, 0.1, 0.1]",False
"[512, 512, 512, 512, 512]","[1, 2, 4, 8, 16]",2,2,silu,False,False,max,512,16,Adam,0.0,0.0001,5,0.0,L2,"[0.0, 0.0, 0.1, 0.1, 0.1]",False
"[64, 128, 256, 512, 1024]","[3, 6, 9, 12, 15]",3,1,relu,True,True,last,128,32,RMSprop,0.0,0.0005,5,1e-06,minmax,"[0.0, 0.1, 0.1, 0.1, 0.1]",True
"[1024, 512, 256]","[1, 2, 4]",11,2,gelu,True,True,mean,512,32,SGD,0.9,4e-05,3,5e-06,L2,"[0.1, 0.1, 0.1]",False
"[896, 640, 512, 384]","[2, 4, 8, 16]",5,3,hardswish,True,True,attention,256,16,Adam,0.0,6e-05,4,1e-06,minmax,"[0.1, 0.1, 0.1, 0.1]",False
"[320, 320, 320, 320, 320, 320]","[1, 2, 4, 8, 16, 32]",3,2,elu,True,True,max,256,64,AdamW,0.0,8e-05,6,1e-05,L2,"[0.1, 0.1, 0.0, 0.1, 0.1, 0.0]",True
[256],[7],9,2,silu,True,True,mean,256,128,AdamW,0.0,0.0001,1,1e-06,minmax,[0.2],False
"[1024, 768]","[1, 3]",7,2,gelu,True,True,max,512,80,Adam,0.0,5e-05,2,1e-06,L2,"[0.1, 0.1]",False
"[512, 768, 1024, 1024]","[1, 3, 6, 9]",3,2,leakyrelu,True,True,attention,512,64,AdamW,0.0,3e-05,4,1e-06,L2,"[0.0, 0.1, 0.1, 0.1]",True
"[96, 192, 384, 768, 1024]","[1, 2, 3, 4, 6]",5,2,prelu,False,False,mean,256,32,RMSprop,0.0,0.0002,5,1e-06,minmax,"[0.1, 0.1, 0.1, 0.1, 0.1]",True
[80],[1],3,2,leakyrelu,True,True,last,256,128,RMSprop,0.0,0.0004,1,1e-06,L2,[0.0],False
[96],[2],3,2,leakyrelu,True,True,last,256,96,RMSprop,0.0,0.0004,1,1e-06,L2,[0.0],False
[128],[1],7,2,hardswish,False,False,last,256,64,AdamW,0.0,0.00012,1,1e-06,L2,[0.0],False
[160],[1],7,2,hardswish,False,False,last,256,64,AdamW,0.0,0.0001,1,1e-06,L2,[0.0],False
"[192, 256]","[1, 3]",3,2,silu,True,True,max,256,64,Adam,0.0,0.00012,2,5e-06,L2,"[0.0, 0.0]",False
"[256, 384]","[1, 3]",3,2,silu,True,True,max,256,32,Adam,0.0,0.0001,2,5e-06,L2,"[0.1, 0.1]",False
"[256, 384, 512]","[1, 2, 4]",3,2,silu,True,True,max,512,32,Adam,0.0,9e-05,3,1e-06,L2,"[0.1, 0.1, 0.1]",False
"[320, 480, 640]","[1, 3, 6]",7,2,silu,True,True,max,512,24,Adam,0.0,8e-05,3,1e-06,L2,"[0.1, 0.1, 0.1]",False
"[256, 384, 512]","[3, 6, 9]",5,2,leakyrelu,True,True,attention,256,32,AdamW,0.0,6e-05,3,1e-05,minmax,"[0.0, 0.1, 0.1]",True
"[192, 320, 512]","[3, 6, 9]",3,2,silu,True,True,attention,256,32,RMSprop,0.0,6e-05,3,1e-05,minmax,"[0.0, 0.1, 0.1]",False
"[256, 384, 512, 512]","[1, 2, 4, 8]",3,2,gelu,True,True,max,256,16,AdamW,0.0,7e-05,4,1e-06,L2,"[0.1, 0.1, 0.1, 0.1]",False
"[320, 320, 320]","[1, 2, 4]",7,2,gelu,True,True,mean,256,32,AdamW,0.0,9e-05,3,1e-06,L2,"[0.1, 0.0, 0.1]",False
"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,mean,256,16,AdamW,0.0,8e-05,3,1e-06,L2,"[0.1, 0.0, 0.1]",True
"[256, 384]","[1, 2]",5,2,elu,True,True,max,256,48,RMSprop,0.0,0.0003,2,1e-06,L2,"[0.3, 0.1]",False
