channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,target_embedding,source_params,best_f1_per_class,best_f1,__source_file__
"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320.0,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0002,0.0,,gaitpart_OUMVLP_TOP30.csv,Preset_36,"[0.84444, 0.61538, 0.8]",0.75328,tcn_results_v5_top30%.csv
"[512, 512, 512, 1024]","[1, 2, 4, 6]",5,2,leakyrelu,True,True,"[True, True, True, True]",attention,512.0,"[0.1, 0.1, 0.1, 0.1]",32,AdamW,0.0,0.0001,1e-05,L2,gln_phase2.csv,Best_configs_v3,"[0.73171, 0.83333, 0.68571]",0.75025,tcn_results_v3 DEFINITIVO.csv
"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,"[True, True, True, True]",attention,128.0,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,0.0,0.0001,1e-05,L2,gln_phase2.csv,Best_configs_v3,"[0.80952, 0.625, 0.73333]",0.72262,tcn_results_v3 DEFINITIVO.csv
"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[False, True, True]",attention,64.0,"[None, None, None]",96,Adam,,1e-05,2e-06,minmax,gln_phase1.csv,Preset_v2_1,"[0.66667, 0.83333, 0.64865]",0.71622,tcn_results_v2 DEFINITIVO.csv
[256],[1],7,2,hardswish,False,False,[False],last,128.0,[0.3],16,AdamW,,0.001,1e-06,L2,gln_phase1_TOP50.csv,Preset_31,"[0.75, 0.66667, 0.72727]",0.71465,tcn_results_v5_top50%.csv
"[256, 384, 512, 640]","[1, 2, 4, 8]",5,2,gelu,True,True,"[True, True, True, True]",attention,384.0,"[0.05, 0.05, 0.1, 0.1]",64,AdamW,,0.00015,0.0001,L2,gaitpart_OUMVLP_TOP50.csv,Preset_26,"[0.71429, 0.71429, 0.6875]",0.70536,tcn_results_v5_top50%.csv
[64],[1],3,2,leakyrelu,True,False,False,last,,[0.0],96.0,RMSprop,,0.0005,2e-06,L2,gln_93steps_mean.csv,Preset_38,"[0.73171, 0.71429, 0.66667]",0.70422,tcn_results_v4_mean.csv
[64],[1],3,2,leakyrelu,True,False,[True],last,,[0.0],96,RMSprop,,0.0005,2e-06,L2,gaitpart_OUMVLP_TOP50.csv,Preset_38,"[0.71429, 0.57143, 0.8125]",0.6994,tcn_results_v5_top50%.csv
"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256.0,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,1e-05,5e-07,L2,gaitpart_OUMVLP_TOP30.csv,Preset_42,"[0.73684, 0.66667, 0.68421]",0.69591,tcn_results_v5_top30%.csv
"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[False, True, False, False]",mean,256.0,"[0.0, 0.0, 0.2, 0.0]",16,AdamW,,0.0001,0.0,L2,gaitpart_OUMVLP_TOP30.csv,Preset_17,"[0.76923, 0.57143, 0.74286]",0.69451,tcn_results_v5_top30%.csv
