target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitpart_GREW.csv,0.36566,0.60317,0.15797,0.41803,0.6298,0.18255,0.05237,0.02663
gaitgl_GREW_BNNeck.csv,0.36237,0.61174,0.12687,0.4135,0.53743,0.11521,0.05113,-0.07431
gaitgl_OUMVLP.csv,0.33859,0.54915,0.1381,0.37786,0.61195,0.17693,0.03927,0.0628
gaitgl_GREW.csv,0.44981,0.60423,0.08504,0.47394,0.63131,0.07791,0.02412,0.02708
baseline_CASIAB.csv,0.4617,0.54065,0.07809,0.48349,0.60636,0.05973,0.02179,0.06571
gaitset_GREW.csv,0.36944,0.62567,0.15326,0.38363,0.57575,0.14836,0.01419,-0.04992
gaitgl.csv,0.43767,0.55926,0.05774,0.44719,0.62299,0.06177,0.00952,0.06373
baseline_OUMVLP.csv,0.50894,0.67769,0.12123,0.50619,0.64127,0.0539,-0.00275,-0.03642
gln_phase1.csv,0.4638,0.60927,0.09123,0.44794,0.57335,0.0859,-0.01586,-0.03592
gln_phase2.csv,0.49109,0.63388,0.10124,0.47469,0.60019,0.09293,-0.0164,-0.03369
gaitpart_OUMVLP.csv,0.42162,0.6826,0.21161,0.39991,0.64758,0.21624,-0.02171,-0.03502
gaitset.csv,0.4784,0.61387,0.05707,0.45421,0.64799,0.08217,-0.02419,0.03412
gaitset_OUMVLP.csv,0.33706,0.54123,0.14454,0.30212,0.58333,0.16406,-0.03494,0.0421
