arch,target_embedding,embedding_relpath,preset_rank,source_params,cfg_json,f1_mean,f1_std,f1_min,f1_max,n_seeds
MLP,OUMVLP_concat.csv,Gait_Embeddings_Combined/reduced/OUMVLP_concat.csv,3,Preset_19,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [640, 448, 256], ""norm_layers"": [2], ""dropout_layers"": [1, 2], ""dropout_rate"": 0.35, ""activation"": ""gelu"", ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.00015, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5571,0.0779,0.4837,0.7228,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,2,Preset_18,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 512, 256], ""norm_layers"": [1, 2], ""dropout_layers"": [1, 2, 3], ""dropout_rate"": 0.4, ""activation"": ""silu"", ""batch_size"": 64, ""optimizer"": ""RMSprop"", ""learning_rate"": 8e-05, ""weight_decay"": 5e-05, ""momentum_sgd"": null, ""epochs"": 5000}",0.5534,0.0486,0.4804,0.6231,10
MLP,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,10,Preset_5,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.8, ""hidden_layers"": [768, 512, 256], ""norm_layers"": [1, 2, 3], ""dropout_layers"": [1, 2], ""dropout_rate"": 0.4, ""activation"": ""silu"", ""batch_size"": 64, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-07, ""momentum_sgd"": null, ""epochs"": 5000}",0.5489,0.0792,0.46,0.7125,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,9,Preset_63,"{""pooling"": ""mean"", ""norm"": ""L2"", ""use_pca"": true, ""pca_frac"": 0.75, ""hidden_layers"": [1280, 896, 512], ""norm_layers"": [1, 2, 3], ""dropout_layers"": [1, 3], ""dropout_rate"": 0.45, ""activation"": ""silu"", ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.00015, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.548,0.0435,0.4925,0.6249,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,4,Preset_42,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [640, 448, 256], ""norm_layers"": [1, 2], ""dropout_layers"": [1, 2, 3], ""dropout_rate"": 0.35, ""activation"": ""relu"", ""batch_size"": 64, ""optimizer"": ""RMSprop"", ""learning_rate"": 8e-05, ""weight_decay"": 5e-05, ""momentum_sgd"": null, ""epochs"": 5000}",0.538,0.0631,0.4396,0.6164,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,5,Preset_18,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [192, 384, 768, 768], ""norm_layers"": [1, 2, 3], ""dropout_layers"": [1, 2, 3], ""dropout_rate"": 0.4, ""activation"": ""elu"", ""batch_size"": 96, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0003, ""weight_decay"": 1e-05, ""momentum_sgd"": null, ""epochs"": 5000}",0.532,0.0405,0.4773,0.6011,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,8,Preset_4,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.8, ""hidden_layers"": [768, 768, 768, 768], ""norm_layers"": [1, 2, 3, 4], ""dropout_layers"": [1, 3, 4], ""dropout_rate"": 0.4, ""activation"": ""gelu"", ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.00025, ""weight_decay"": 5e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5282,0.0711,0.433,0.6326,10
MLP,baseline_OUMVLP_TOP50.csv,Gait_Embeddings_TopSteps/50%/baseline_OUMVLP_TOP50.csv,7,Preset_15,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.8, ""hidden_layers"": [576, 384, 192], ""norm_layers"": [2], ""dropout_layers"": [1, 3], ""dropout_rate"": 0.5, ""activation"": ""elu"", ""batch_size"": 96, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0002, ""weight_decay"": 5e-05, ""momentum_sgd"": null, ""epochs"": 5000}",0.5281,0.0486,0.4425,0.5702,10
MLP,baseline_31steps_mean.csv,Gait_Embeddings_Combined/mean/baseline_31steps_mean.csv,1,Preset_32,"{""pooling"": ""mean"", ""norm"": ""minmax"", ""use_pca"": true, ""pca_frac"": 0.7, ""hidden_layers"": [896, 448], ""norm_layers"": [1], ""dropout_layers"": [1], ""dropout_rate"": 0.15, ""activation"": ""gelu"", ""batch_size"": 32, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0006, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.523,0.0498,0.4362,0.5847,10
MLP,gaitpart_GREW_TOP50.csv,Gait_Embeddings_TopSteps/50%/gaitpart_GREW_TOP50.csv,6,Preset_11,"{""pooling"": ""mean"", ""norm"": ""L2"", ""use_pca"": true, ""pca_frac"": 0.75, ""hidden_layers"": [768, 512, 384, 256], ""norm_layers"": [2, 4], ""dropout_layers"": [1, 3], ""dropout_rate"": 0.45, ""activation"": ""leakyrelu"", ""batch_size"": 80, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.5081,0.0668,0.4001,0.6109,10
