run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
1,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,8,0.537,75,"[0.7826, 0.2222, 0.6061]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
2,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,24,0.5567,119,"[0.6818, 0.4, 0.5882]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
3,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,33,0.6462,173,"[0.7273, 0.4706, 0.7407]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
4,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,888,0.4798,62,"[0.7234, 0.2, 0.5161]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
5,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,800,0.6252,184,"[0.766, 0.4, 0.7097]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
6,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,123,0.5462,53,"[0.7, 0.1818, 0.7568]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
7,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,111,0.547,115,"[0.6667, 0.3077, 0.6667]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
8,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,425,0.6309,151,"[0.7143, 0.5333, 0.6452]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
9,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,672,0.5873,119,"[0.6667, 0.3636, 0.7317]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
10,TCN,1,Preset_36,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,69,0.5404,87,"[0.5, 0.4545, 0.6667]",,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}"
11,TCN,2,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,8,0.5273,48,"[0.7143, 0.1818, 0.6857]",,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
