number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.42416754361838704,COMPLETE,2025-12-09 01:55:40.847273,2025-12-09 01:56:51.556934,0 days 00:01:10.709661,"[128, 128]",[],[],2,True,0.4,uniform,tanh,32,False,128.0,0.0001,L2,True,Adam,last,1e-07,
1,0.21758419036095988,COMPLETE,2025-12-09 01:56:51.558939,2025-12-09 01:57:34.814780,0 days 00:00:43.255841,"[192, 256, 384, 448]",[3],[3],4,False,0.2,increasing,elu,48,False,768.0,5e-05,minmax,False,SGD,mean,1e-05,0.7
2,0.40314427061233593,COMPLETE,2025-12-09 01:57:34.816783,2025-12-09 01:58:24.785375,0 days 00:00:49.968592,[64],[],[],1,True,0.0,decreasing,silu,16,True,1024.0,0.001,L2,True,Adam,last,1e-06,
3,0.21758419036095988,COMPLETE,2025-12-09 01:58:24.785375,2025-12-09 01:58:40.125331,0 days 00:00:15.339956,"[128, 128]",[],[],2,True,0.2,uniform,relu,128,True,128.0,0.0001,minmax,False,Adam,mean,1e-07,
4,0.22175419838020605,COMPLETE,2025-12-09 01:58:40.125331,2025-12-09 01:59:12.364037,0 days 00:00:32.238706,"[384, 256, 192]","[1, 2]","[1, 2]",3,False,0.4,decreasing,silu,128,True,768.0,0.001,L2,False,RMSprop,attention,1e-06,
5,0.27367478936539075,COMPLETE,2025-12-09 01:59:12.364037,2025-12-09 01:59:30.898789,0 days 00:00:18.534752,"[192, 128]",[],[1],2,False,0.0,decreasing,,96,False,,5e-05,L2,False,SGD,attention,1e-05,0.8
6,0.2928264522567873,COMPLETE,2025-12-09 01:59:30.900792,2025-12-09 02:00:22.082604,0 days 00:00:51.181812,"[512, 448]",[1],[1],2,False,0.5,decreasing,gelu,64,True,768.0,2e-05,L2,False,SGD,max,0.0,0.9
7,0.41539036385055106,COMPLETE,2025-12-09 02:00:22.082604,2025-12-09 02:00:50.983398,0 days 00:00:28.900794,[448],[],[],1,True,0.0,decreasing,silu,48,False,128.0,0.0001,L2,True,RMSprop,attention,1e-07,
8,0.26929310300466336,COMPLETE,2025-12-09 02:00:50.985400,2025-12-09 02:01:27.742831,0 days 00:00:36.757431,"[192, 256, 384]","[1, 2]",[],3,False,0.4,increasing,tanh,64,False,128.0,0.0002,L2,False,AdamW,last,1e-06,
9,0.24646502267207704,COMPLETE,2025-12-09 02:01:27.742831,2025-12-09 02:02:18.036464,0 days 00:00:50.293633,"[192, 192, 192, 192]","[1, 2, 3]",[2],4,False,0.1,uniform,,64,True,,0.0001,minmax,True,RMSprop,max,0.0,
