number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.37362068875058563,COMPLETE,2025-12-09 11:25:36.533720,2025-12-09 11:28:26.255651,0 days 00:02:49.721931,"[512, 448, 384, 256]","[2, 3]","[1, 2, 3]",4,False,0.4,decreasing,gelu,64,False,128.0,0.0001,L2,False,RMSprop,mean,0.0,
1,0.25127936826957853,COMPLETE,2025-12-09 11:28:26.257568,2025-12-09 11:30:02.937709,0 days 00:01:36.680141,"[640, 512, 448, 384]",[3],[2],4,False,0.5,decreasing,gelu,64,False,1024.0,2e-05,L2,True,SGD,max,0.0,0.0
2,0.23983392319208954,COMPLETE,2025-12-09 11:30:02.940754,2025-12-09 11:33:48.084749,0 days 00:03:45.143995,"[128, 192, 256]",[1],[],3,False,0.4,increasing,relu,16,True,128.0,1e-05,minmax,True,SGD,mean,1e-06,0.7
3,0.2893298303568942,COMPLETE,2025-12-09 11:33:48.085750,2025-12-09 11:34:34.932040,0 days 00:00:46.846290,[448],[],[],1,True,0.0,increasing,,96,True,,2e-05,minmax,True,RMSprop,attention,1e-06,
4,0.21758419036095988,COMPLETE,2025-12-09 11:34:34.933040,2025-12-09 11:35:57.896664,0 days 00:01:22.963624,"[512, 448]",[1],[],2,False,0.5,decreasing,,64,True,,0.0001,minmax,True,SGD,mean,1e-06,0.7
5,0.21758419036095988,COMPLETE,2025-12-09 11:35:57.901240,2025-12-09 11:37:08.688683,0 days 00:01:10.787443,"[256, 256, 256, 256]",[3],"[1, 2]",4,False,0.5,uniform,gelu,128,True,1024.0,0.001,L2,True,RMSprop,max,1e-06,
6,0.21758419036095988,COMPLETE,2025-12-09 11:37:08.690683,2025-12-09 11:37:39.852196,0 days 00:00:31.161513,[448],[],[],1,True,0.0,decreasing,tanh,32,False,512.0,1e-05,L2,False,AdamW,last,1e-07,
7,0.20912615522758315,COMPLETE,2025-12-09 11:37:39.853196,2025-12-09 11:49:00.495305,0 days 00:11:20.642109,"[896, 768, 640, 512]","[2, 3]",[],4,False,0.4,decreasing,gelu,16,True,512.0,1e-05,L2,False,SGD,mean,1e-06,0.8
8,0.1861464694679052,COMPLETE,2025-12-09 11:49:00.495305,2025-12-09 11:49:48.054581,0 days 00:00:47.559276,"[128, 128, 128, 128]",[],[],4,True,0.0,uniform,tanh,48,False,256.0,0.0001,L2,False,SGD,last,1e-05,0.0
9,0.2021455938697318,COMPLETE,2025-12-09 11:49:48.056584,2025-12-09 11:50:09.366166,0 days 00:00:21.309582,[64],[],[],1,True,0.0,decreasing,tanh,64,True,512.0,2e-05,L2,False,SGD,last,1e-05,0.8
10,0.21758419036095988,COMPLETE,2025-12-09 11:50:09.368169,2025-12-09 11:51:06.285566,0 days 00:00:56.917397,"[256, 384, 448]",[2],"[1, 2]",3,False,0.1,increasing,elu,48,False,128.0,0.0002,minmax,False,Adam,attention,0.0,
11,0.21758419036095988,COMPLETE,2025-12-09 11:51:06.285566,2025-12-09 11:51:35.854713,0 days 00:00:29.569147,"[256, 384]",[],[1],2,False,0.0,increasing,silu,96,False,768.0,5e-05,minmax,True,RMSprop,attention,0.0,
12,0.21758419036095988,COMPLETE,2025-12-09 11:51:35.854713,2025-12-09 11:52:46.838305,0 days 00:01:10.983592,"[640, 768]",[1],[1],2,False,0.3,increasing,,96,False,,0.0001,minmax,False,RMSprop,attention,1e-07,
13,0.27610034691612645,COMPLETE,2025-12-09 11:52:46.838305,2025-12-09 11:56:11.365578,0 days 00:03:24.527273,"[448, 512, 640]",[2],"[1, 2]",3,False,0.2,increasing,,96,True,,2e-05,minmax,True,RMSprop,attention,0.0,
14,0.2386717323327457,COMPLETE,2025-12-09 11:56:11.365578,2025-12-09 11:57:43.463121,0 days 00:01:32.097543,[896],[],[],1,True,0.0,uniform,leakyrelu,32,True,128.0,0.001,L2,True,RMSprop,mean,1e-06,
15,0.21758419036095988,COMPLETE,2025-12-09 11:57:43.463121,2025-12-09 11:58:14.276659,0 days 00:00:30.813538,"[384, 256]",[1],[1],2,False,0.4,decreasing,elu,128,False,768.0,5e-05,minmax,False,AdamW,attention,0.0,
16,0.21758419036095988,COMPLETE,2025-12-09 11:58:14.277658,2025-12-09 11:59:42.542727,0 days 00:01:28.265069,"[448, 512, 640]",[2],"[1, 2]",3,False,0.1,increasing,relu,96,False,256.0,0.0002,L2,True,Adam,mean,1e-05,
17,0.23011517976821705,COMPLETE,2025-12-09 11:59:42.543740,2025-12-09 12:01:33.462004,0 days 00:01:50.918264,[896],[],[],1,True,0.0,increasing,,64,True,,0.0001,minmax,False,RMSprop,max,1e-07,
18,0.21758419036095988,COMPLETE,2025-12-09 12:01:33.463506,2025-12-09 12:04:47.221059,0 days 00:03:13.757553,"[640, 512, 448]",[2],[1],3,False,0.4,decreasing,leakyrelu,96,True,128.0,2e-05,minmax,False,RMSprop,attention,1e-06,
19,0.25269895770803213,COMPLETE,2025-12-09 12:04:47.222074,2025-12-09 12:06:39.638824,0 days 00:01:52.416750,"[768, 768]",[1],[],2,False,0.3,uniform,,64,False,,0.0001,L2,True,RMSprop,mean,0.0,
20,0.21758419036095988,COMPLETE,2025-12-09 12:06:39.639824,2025-12-09 12:10:00.163284,0 days 00:03:20.523460,"[512, 448, 384, 256]",[2],"[1, 2, 3]",4,False,0.3,decreasing,silu,48,True,128.0,2e-05,minmax,False,Adam,attention,1e-06,
