number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,optimizer,pooling,weight_decay
0,0.21758419036095988,COMPLETE,2025-12-09 13:41:55.593700,2025-12-09 13:43:59.929600,0 days 00:02:04.335900,"[192, 256, 384, 448]",[],[2],4,False,0.0,increasing,leakyrelu,16,True,256.0,0.0001,0.8,L2,False,SGD,attention,0.0
1,0.2300129353380648,COMPLETE,2025-12-09 13:43:59.930600,2025-12-09 13:44:14.507950,0 days 00:00:14.577350,"[448, 448]",[],[],2,True,0.5,uniform,relu,128,False,1024.0,1e-05,0.8,L2,True,SGD,last,1e-06
2,0.21758419036095988,COMPLETE,2025-12-09 13:44:14.509454,2025-12-09 13:44:42.946263,0 days 00:00:28.436809,"[512, 512, 512]",[],[],3,True,0.4,uniform,tanh,64,False,1024.0,0.0001,0.9,minmax,False,SGD,attention,1e-07
3,0.2425480047500616,COMPLETE,2025-12-09 13:44:42.947269,2025-12-09 13:45:43.976731,0 days 00:01:01.029462,"[256, 192, 128, 64]","[2, 3]",[1],4,False,0.2,decreasing,leakyrelu,32,True,1024.0,1e-05,,L2,False,AdamW,last,1e-06
4,0.21758419036095988,COMPLETE,2025-12-09 13:45:43.977753,2025-12-09 13:46:13.669329,0 days 00:00:29.691576,"[256, 256]",[1],[1],2,False,0.1,uniform,leakyrelu,32,False,128.0,0.001,,minmax,False,Adam,attention,1e-06
5,0.3306737469735122,COMPLETE,2025-12-09 13:46:13.671390,2025-12-09 13:47:53.288478,0 days 00:01:39.617088,"[384, 448, 512]","[1, 2]",[1],3,False,0.4,increasing,elu,64,True,128.0,0.0001,,L2,True,AdamW,max,1e-05
6,0.21758419036095988,COMPLETE,2025-12-09 13:47:53.289479,2025-12-09 13:48:13.685946,0 days 00:00:20.396467,[512],[],[],1,True,0.0,uniform,,48,True,,2e-05,,L2,False,RMSprop,mean,1e-06
7,0.21758419036095988,COMPLETE,2025-12-09 13:48:13.687449,2025-12-09 13:48:43.874412,0 days 00:00:30.186963,"[384, 256]",[1],[1],2,False,0.4,decreasing,leakyrelu,48,True,768.0,0.001,,minmax,False,AdamW,max,1e-07
8,0.21758419036095988,COMPLETE,2025-12-09 13:48:43.875430,2025-12-09 13:49:09.268392,0 days 00:00:25.392962,"[512, 448, 384, 256]","[1, 2, 3]","[2, 3]",4,False,0.3,decreasing,gelu,128,False,768.0,5e-05,,minmax,True,Adam,max,0.0
9,0.24932765157810532,COMPLETE,2025-12-09 13:49:09.269394,2025-12-09 13:49:22.533133,0 days 00:00:13.263739,[64],[],[],1,True,0.0,increasing,silu,64,True,1024.0,0.0001,,minmax,True,RMSprop,last,1e-05
10,0.21758419036095988,COMPLETE,2025-12-09 13:49:22.534139,2025-12-09 13:51:07.307206,0 days 00:01:44.773067,"[640, 768, 896]","[1, 2]",[1],3,False,0.4,increasing,elu,96,True,128.0,0.0002,,L2,True,AdamW,max,1e-05
11,0.22161092386137757,COMPLETE,2025-12-09 13:51:07.309213,2025-12-09 13:51:19.490701,0 days 00:00:12.181488,[64],[],[],1,True,0.0,increasing,silu,64,True,512.0,0.0001,,minmax,True,RMSprop,last,1e-05
12,0.21758419036095988,COMPLETE,2025-12-09 13:51:19.491712,2025-12-09 13:51:45.459302,0 days 00:00:25.967590,"[64, 128, 192]",[1],[1],3,False,0.4,increasing,elu,64,True,128.0,0.0001,,minmax,True,RMSprop,mean,1e-05
13,0.48757219729435664,COMPLETE,2025-12-09 13:51:45.459805,2025-12-09 13:53:09.957724,0 days 00:01:24.497919,[896],[],[],1,True,0.0,increasing,silu,64,True,512.0,0.0001,,L2,True,AdamW,max,1e-05
14,0.4829684393214301,COMPLETE,2025-12-09 13:53:09.959227,2025-12-09 13:57:35.621639,0 days 00:04:25.662412,"[768, 896]",[],[],2,False,0.0,increasing,elu,64,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
15,0.4726385255787339,COMPLETE,2025-12-09 13:57:35.622645,2025-12-09 14:00:50.489607,0 days 00:03:14.866962,[896],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
16,0.3807275754872853,COMPLETE,2025-12-09 14:00:50.491629,2025-12-09 14:03:15.989986,0 days 00:02:25.498357,"[768, 896]",[],[],2,False,0.0,increasing,tanh,96,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
17,0.2993950014063864,COMPLETE,2025-12-09 14:03:15.990992,2025-12-09 14:03:58.562470,0 days 00:00:42.571478,[512],[],[],1,True,0.0,increasing,gelu,64,True,512.0,2e-05,,L2,True,AdamW,max,1e-05
18,0.4453894742789123,COMPLETE,2025-12-09 14:03:58.564470,2025-12-09 14:05:26.636853,0 days 00:01:28.072383,"[640, 768]",[],[],2,False,0.0,increasing,relu,64,False,512.0,0.0002,,L2,True,AdamW,max,1e-07
19,0.45089755326510506,COMPLETE,2025-12-09 14:05:26.637858,2025-12-09 14:07:28.733432,0 days 00:02:02.095574,[896],[],[],1,True,0.0,decreasing,,64,True,,5e-05,,L2,True,Adam,mean,0.0
20,0.39329417688598045,COMPLETE,2025-12-09 14:07:28.734431,2025-12-09 14:08:57.252937,0 days 00:01:28.518506,"[512, 640]",[],[],2,False,0.0,increasing,elu,96,True,256.0,5e-05,,L2,True,AdamW,max,1e-05
21,0.4935238565566598,COMPLETE,2025-12-09 14:08:57.254937,2025-12-09 14:12:12.455042,0 days 00:03:15.200105,[896],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
22,0.48742078235151,COMPLETE,2025-12-09 14:12:12.456055,2025-12-09 14:15:02.331211,0 days 00:02:49.875156,[896],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
23,0.4997626771487105,COMPLETE,2025-12-09 14:15:02.332211,2025-12-09 14:18:30.420119,0 days 00:03:28.087908,[896],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
24,0.4946496971643829,COMPLETE,2025-12-09 14:18:30.421119,2025-12-09 14:21:16.698501,0 days 00:02:46.277382,[768],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
25,0.49328912624937377,COMPLETE,2025-12-09 14:21:16.699003,2025-12-09 14:23:56.239429,0 days 00:02:39.540426,[768],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
26,0.4734323546662405,COMPLETE,2025-12-09 14:23:56.240430,2025-12-09 14:25:16.948719,0 days 00:01:20.708289,[640],[],[],1,True,0.0,increasing,silu,16,False,512.0,5e-05,,L2,True,AdamW,max,1e-05
27,0.48051240896825487,COMPLETE,2025-12-09 14:25:16.950835,2025-12-09 14:29:04.426756,0 days 00:03:47.475921,[768],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,Adam,mean,0.0
28,0.21758419036095988,COMPLETE,2025-12-09 14:29:04.427757,2025-12-09 14:31:37.637003,0 days 00:02:33.209246,"[896, 768]",[1],[1],2,False,0.2,decreasing,,16,True,,5e-05,0.0,L2,True,SGD,attention,1e-07
29,0.17628774024785132,COMPLETE,2025-12-09 14:31:37.637003,2025-12-09 14:32:16.129458,0 days 00:00:38.492455,[64],[],[],1,True,0.0,uniform,silu,16,True,256.0,2e-05,0.7,L2,False,SGD,attention,0.0
30,0.5205863330143558,COMPLETE,2025-12-09 14:32:16.131461,2025-12-09 14:34:02.267321,0 days 00:01:46.135860,[448],[],[],1,True,0.0,increasing,silu,16,True,256.0,0.001,,L2,True,AdamW,max,1e-05
31,0.48729798270837954,COMPLETE,2025-12-09 14:34:02.268825,2025-12-09 14:35:44.129138,0 days 00:01:41.860313,[448],[],[],1,True,0.0,increasing,silu,16,True,256.0,0.001,,L2,True,AdamW,max,1e-05
32,0.4825145749492837,COMPLETE,2025-12-09 14:35:44.130190,2025-12-09 14:37:12.666797,0 days 00:01:28.536607,[192],[],[],1,True,0.0,increasing,silu,16,True,256.0,0.001,,L2,True,AdamW,max,1e-05
33,0.35114335701677757,COMPLETE,2025-12-09 14:37:12.668301,2025-12-09 14:40:09.305332,0 days 00:02:56.637031,[768],[],[],1,True,0.0,increasing,silu,16,True,256.0,1e-05,,L2,True,AdamW,max,1e-05
34,0.21758419036095988,COMPLETE,2025-12-09 14:40:09.306333,2025-12-09 14:40:36.346210,0 days 00:00:27.039877,"[768, 768]",[],[],2,False,0.0,uniform,silu,128,False,256.0,0.001,0.9,L2,True,SGD,last,1e-06
35,0.21758419036095988,COMPLETE,2025-12-09 14:40:36.347210,2025-12-09 14:41:08.423290,0 days 00:00:32.076080,[640],[],[],1,True,0.0,increasing,relu,32,True,768.0,1e-05,,L2,False,AdamW,max,1e-05
36,0.4257442288244637,COMPLETE,2025-12-09 14:41:08.424290,2025-12-09 14:43:40.644115,0 days 00:02:32.219825,"[448, 512]",[],[],2,False,0.0,increasing,tanh,16,False,1024.0,0.0002,,L2,True,AdamW,attention,1e-07
37,0.46479556243113224,COMPLETE,2025-12-09 14:43:40.645152,2025-12-09 14:44:56.679412,0 days 00:01:16.034260,[128],[],[],1,True,0.0,uniform,gelu,16,True,512.0,0.001,,L2,False,AdamW,max,1e-06
38,0.25107150785136617,COMPLETE,2025-12-09 14:44:56.680413,2025-12-09 14:45:48.468552,0 days 00:00:51.788139,"[192, 256, 384, 448]",[1],"[1, 2, 3]",4,False,0.1,increasing,silu,48,True,512.0,5e-05,0.7,L2,True,SGD,last,1e-05
39,0.30825078441735754,COMPLETE,2025-12-09 14:45:48.469560,2025-12-09 14:46:37.339551,0 days 00:00:48.869991,[256],[],[],1,True,0.0,decreasing,relu,32,True,768.0,0.001,,minmax,False,Adam,max,1e-05
40,0.3476069188589207,COMPLETE,2025-12-09 14:46:37.340592,2025-12-09 14:49:35.816311,0 days 00:02:58.475719,"[896, 896]",[],[1],2,False,0.0,uniform,leakyrelu,16,False,1024.0,1e-05,,L2,True,RMSprop,mean,1e-06
41,0.5124147193035463,COMPLETE,2025-12-09 14:49:35.818170,2025-12-09 14:52:17.728585,0 days 00:02:41.910415,[768],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
42,0.49341867552763186,COMPLETE,2025-12-09 14:52:17.729586,2025-12-09 14:54:48.459905,0 days 00:02:30.730319,[768],[],[],1,True,0.0,increasing,silu,16,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
43,0.4747256196240488,COMPLETE,2025-12-09 14:54:48.461906,2025-12-09 14:56:19.871991,0 days 00:01:31.410085,[896],[],[],1,True,0.0,increasing,silu,128,True,512.0,5e-05,,L2,True,AdamW,max,1e-05
44,0.21758419036095988,COMPLETE,2025-12-09 14:56:19.872994,2025-12-09 14:58:19.792408,0 days 00:01:59.919414,"[448, 512, 640]",[1],[2],3,False,0.5,increasing,silu,16,True,128.0,5e-05,,L2,True,AdamW,max,1e-05
45,0.3787809016430801,COMPLETE,2025-12-09 14:58:19.793408,2025-12-09 14:59:05.981209,0 days 00:00:46.187801,[640],[],[],1,True,0.0,increasing,,48,True,,2e-05,,minmax,True,AdamW,max,1e-05
46,0.44843004437475126,COMPLETE,2025-12-09 14:59:05.982207,2025-12-09 15:02:50.324200,0 days 00:03:44.341993,[768],[],[],1,True,0.0,increasing,tanh,16,True,512.0,5e-05,,L2,True,AdamW,attention,1e-05
47,0.21758419036095988,COMPLETE,2025-12-09 15:02:50.326256,2025-12-09 15:03:26.833434,0 days 00:00:36.507178,[256],[],[],1,True,0.0,decreasing,leakyrelu,16,True,512.0,0.001,,minmax,False,RMSprop,max,0.0
48,0.437754395536569,COMPLETE,2025-12-09 15:03:26.834450,2025-12-09 15:10:21.596580,0 days 00:06:54.762130,"[640, 768]",[1],[1],2,False,0.4,increasing,silu,16,True,256.0,5e-05,,L2,True,AdamW,last,1e-07
49,0.48300170692462974,COMPLETE,2025-12-09 15:10:21.598083,2025-12-09 15:11:18.138360,0 days 00:00:56.540277,[512],[],[],1,True,0.0,increasing,silu,32,True,128.0,0.0002,,L2,True,AdamW,max,1e-05
