number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.21758419036095988,COMPLETE,2025-12-09 15:11:19.914426,2025-12-09 15:11:43.494936,0 days 00:00:23.580510,"[192, 192]",[],[],2,True,0.5,uniform,leakyrelu,96,False,768.0,2e-05,L2,True,AdamW,last,0.0,
1,0.21758419036095988,COMPLETE,2025-12-09 15:11:43.495944,2025-12-09 15:12:16.602418,0 days 00:00:33.106474,"[128, 128, 128]",[],[],3,True,0.4,uniform,tanh,64,False,256.0,2e-05,L2,True,RMSprop,last,1e-05,
2,0.21758419036095988,COMPLETE,2025-12-09 15:12:16.603423,2025-12-09 15:12:52.211885,0 days 00:00:35.608462,[64],[],[],1,True,0.0,uniform,tanh,32,True,1024.0,2e-05,minmax,False,RMSprop,last,0.0,
3,0.3123163162807939,COMPLETE,2025-12-09 15:12:52.213888,2025-12-09 15:18:28.716523,0 days 00:05:36.502635,"[256, 384, 448]",[2],[],3,False,0.3,increasing,leakyrelu,16,True,768.0,2e-05,minmax,True,RMSprop,max,1e-07,
4,0.30485964157453677,COMPLETE,2025-12-09 15:18:28.716523,2025-12-09 15:26:01.506339,0 days 00:07:32.789816,"[768, 768, 768, 768]","[1, 2, 3]",[2],4,False,0.2,uniform,tanh,96,True,768.0,1e-05,L2,False,SGD,attention,0.0,0.9
5,0.2853873337496843,COMPLETE,2025-12-09 15:26:01.508343,2025-12-09 15:26:19.200902,0 days 00:00:17.692559,[64],[],[],1,True,0.0,increasing,,128,True,,5e-05,L2,True,Adam,mean,1e-07,
6,0.23900926435011743,COMPLETE,2025-12-09 15:26:19.202905,2025-12-09 15:26:56.139743,0 days 00:00:36.936838,"[192, 256]",[],[1],2,False,0.0,increasing,gelu,48,False,256.0,5e-05,minmax,True,SGD,max,1e-07,0.9
7,0.21758419036095988,COMPLETE,2025-12-09 15:26:56.141747,2025-12-09 15:28:01.025049,0 days 00:01:04.883302,[768],[],[],1,True,0.0,increasing,leakyrelu,32,False,128.0,5e-05,L2,False,RMSprop,attention,1e-06,
8,0.21758419036095988,COMPLETE,2025-12-09 15:28:01.025049,2025-12-09 15:28:56.691580,0 days 00:00:55.666531,"[384, 448, 512]",[2],[2],3,False,0.5,increasing,tanh,128,False,768.0,2e-05,minmax,True,AdamW,mean,0.0,
9,0.3191861421862908,COMPLETE,2025-12-09 15:28:56.691580,2025-12-09 15:29:34.049617,0 days 00:00:37.358037,[128],[],[],1,True,0.0,decreasing,leakyrelu,64,True,1024.0,2e-05,L2,True,SGD,max,1e-07,0.0
10,0.28428542682397306,COMPLETE,2025-12-09 15:29:34.050618,2025-12-09 15:32:35.905172,0 days 00:03:01.854554,"[640, 512]",[1],[1],2,False,0.1,decreasing,elu,64,True,1024.0,0.0002,L2,False,SGD,max,1e-05,0.0
11,0.33497573189643115,COMPLETE,2025-12-09 15:32:35.906173,2025-12-09 15:41:04.106553,0 days 00:08:28.200380,"[384, 256, 192, 128]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
12,0.36648516158619,COMPLETE,2025-12-09 15:41:04.112601,2025-12-09 15:54:15.070921,0 days 00:13:10.958320,"[448, 384, 256, 192]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
13,0.3422956661190236,COMPLETE,2025-12-09 15:54:15.072970,2025-12-09 16:04:02.316602,0 days 00:09:47.243632,"[448, 384, 256, 192]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
14,0.3208924348898617,COMPLETE,2025-12-09 16:04:02.318606,2025-12-09 16:14:18.692155,0 days 00:10:16.373549,"[512, 448, 384, 256]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-06,
15,0.33019588508178777,COMPLETE,2025-12-09 16:14:18.694156,2025-12-09 16:23:31.507663,0 days 00:09:12.813507,"[448, 384, 256, 192]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
16,0.21758419036095988,COMPLETE,2025-12-09 16:23:31.509701,2025-12-09 16:28:05.981358,0 days 00:04:34.471657,"[512, 448, 384]",[],[],3,False,0.0,decreasing,silu,16,True,512.0,0.001,minmax,True,Adam,max,1e-07,
17,0.21758419036095988,COMPLETE,2025-12-09 16:28:05.982379,2025-12-09 16:30:43.696143,0 days 00:02:37.713764,"[448, 384, 256, 192]",[1],"[1, 3]",4,False,0.2,decreasing,relu,48,True,512.0,0.0001,minmax,True,Adam,attention,1e-07,
18,0.21758419036095988,COMPLETE,2025-12-09 16:30:43.697647,2025-12-09 16:44:17.815826,0 days 00:13:34.118179,"[896, 768, 640, 512]",[],[3],4,False,0.0,decreasing,,16,True,,0.0001,minmax,False,Adam,mean,1e-06,
19,0.21758419036095988,COMPLETE,2025-12-09 16:44:17.817332,2025-12-09 16:50:18.620065,0 days 00:06:00.802733,"[640, 512, 448]",[],[2],3,False,0.0,decreasing,relu,16,True,128.0,0.001,minmax,True,Adam,max,1e-05,
20,0.2259184133423484,COMPLETE,2025-12-09 16:50:18.621127,2025-12-09 16:55:28.830317,0 days 00:05:10.209190,"[448, 384, 256, 192]","[1, 3]",[1],4,False,0.4,decreasing,elu,16,True,512.0,1e-05,minmax,True,AdamW,max,1e-07,
21,0.25092808510607567,COMPLETE,2025-12-09 16:55:28.831317,2025-12-09 17:00:54.645872,0 days 00:05:25.814555,"[384, 256, 192, 128]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
22,0.27396187952553425,COMPLETE,2025-12-09 17:00:54.647376,2025-12-09 17:07:30.365422,0 days 00:06:35.718046,"[384, 256, 192, 128]",[],[3],4,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
23,0.4479507637548526,COMPLETE,2025-12-09 17:07:30.367939,2025-12-09 17:15:27.319433,0 days 00:07:56.951494,"[256, 192, 128]",[],[],3,False,0.0,decreasing,relu,16,True,512.0,0.0001,minmax,True,Adam,max,1e-07,
24,0.40443686743676066,COMPLETE,2025-12-09 17:15:27.320434,2025-12-09 17:22:34.694221,0 days 00:07:07.373787,"[256, 192, 128]",[],[],3,False,0.0,decreasing,gelu,16,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
25,0.3978273953833439,COMPLETE,2025-12-09 17:22:34.695549,2025-12-09 17:24:26.270183,0 days 00:01:51.574634,"[256, 192, 128]",[],[],3,False,0.0,decreasing,gelu,128,True,512.0,0.0002,minmax,True,Adam,max,1e-07,
26,0.21758419036095988,COMPLETE,2025-12-09 17:24:26.271183,2025-12-09 17:24:59.195435,0 days 00:00:32.924252,"[256, 192, 128]",[2],[2],3,False,0.2,decreasing,gelu,128,False,512.0,0.0002,minmax,False,Adam,mean,1e-07,
27,0.27430488822359517,COMPLETE,2025-12-09 17:24:59.196938,2025-12-09 17:25:38.151943,0 days 00:00:38.955005,"[192, 128]",[],[],2,False,0.0,decreasing,,128,True,,0.0002,minmax,True,Adam,attention,1e-06,
28,0.21758419036095988,COMPLETE,2025-12-09 17:25:38.152949,2025-12-09 17:32:52.106602,0 days 00:07:13.953653,"[896, 896, 896]",[],[1],3,False,0.0,uniform,gelu,128,True,256.0,0.0002,minmax,True,AdamW,last,1e-05,
