number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.28430859757940363,COMPLETE,2025-12-10 01:05:58.730156,2025-12-10 01:08:04.562751,0 days 00:02:05.832595,"[128, 128, 128]",[],[],3,True,0.3,uniform,leakyrelu,64,True,1024.0,0.0002,minmax,True,Adam,last,1e-07,
1,0.3285361088753719,COMPLETE,2025-12-10 01:08:04.563769,2025-12-10 01:12:09.157362,0 days 00:04:04.593593,"[192, 256]",[],[],2,False,0.0,increasing,silu,16,False,128.0,0.0001,minmax,True,Adam,last,1e-07,
2,0.4745460272540442,COMPLETE,2025-12-10 01:12:09.159365,2025-12-10 01:19:52.029248,0 days 00:07:42.869883,"[448, 448]",[],[1],2,False,0.0,uniform,gelu,16,False,128.0,0.0002,L2,True,SGD,last,1e-06,0.9
3,0.21758419036095988,COMPLETE,2025-12-10 01:19:52.030248,2025-12-10 01:27:18.433269,0 days 00:07:26.403021,"[448, 512, 640, 768]",[3],"[2, 3]",4,False,0.3,increasing,gelu,96,True,128.0,1e-05,minmax,False,AdamW,max,1e-05,
4,0.23327459042513515,COMPLETE,2025-12-10 01:27:18.434274,2025-12-10 01:33:03.011598,0 days 00:05:44.577324,"[640, 640, 640]",[],[],3,True,0.5,uniform,leakyrelu,96,True,768.0,5e-05,L2,True,SGD,last,1e-05,0.8
5,0.33142875386138304,COMPLETE,2025-12-10 01:33:03.012598,2025-12-10 01:33:44.930893,0 days 00:00:41.918295,[192],[],[],1,True,0.0,uniform,gelu,96,False,1024.0,0.0002,minmax,True,RMSprop,max,1e-05,
6,0.37000905775362314,COMPLETE,2025-12-10 01:33:44.931898,2025-12-10 01:35:33.056446,0 days 00:01:48.124548,[192],[],[],1,True,0.0,uniform,,16,False,,0.001,minmax,True,SGD,last,1e-05,0.7
7,0.21758419036095988,COMPLETE,2025-12-10 01:35:33.057459,2025-12-10 01:38:52.813316,0 days 00:03:19.755857,"[512, 640]",[1],[],2,False,0.4,increasing,leakyrelu,16,False,512.0,5e-05,L2,False,RMSprop,attention,1e-07,
8,0.21758419036095988,COMPLETE,2025-12-10 01:38:52.814322,2025-12-10 01:50:13.949772,0 days 00:11:21.135450,"[768, 768, 768, 768]",[3],[2],4,False,0.3,uniform,silu,128,True,768.0,0.001,L2,False,SGD,attention,1e-07,0.9
9,0.2733898116356782,COMPLETE,2025-12-10 01:50:13.950787,2025-12-10 01:53:22.625070,0 days 00:03:08.674283,"[128, 192, 256]",[2],[1],3,False,0.1,increasing,tanh,16,False,1024.0,2e-05,L2,True,SGD,mean,1e-05,0.0
10,0.4294965447518303,COMPLETE,2025-12-10 01:53:22.626103,2025-12-10 01:58:53.560406,0 days 00:05:30.934303,"[896, 768]",[1],[1],2,False,0.2,decreasing,relu,32,False,256.0,0.0002,L2,False,AdamW,mean,1e-06,
11,0.47578973183927475,COMPLETE,2025-12-10 01:58:53.562424,2025-12-10 02:05:15.518366,0 days 00:06:21.955942,"[896, 768]",[1],[1],2,False,0.2,decreasing,relu,32,False,256.0,0.0002,L2,False,AdamW,mean,1e-06,
12,0.475558324034561,COMPLETE,2025-12-10 02:05:15.520378,2025-12-10 02:11:35.370760,0 days 00:06:19.850382,"[896, 768]",[1],[1],2,False,0.2,decreasing,relu,48,False,256.0,0.0002,L2,False,AdamW,mean,1e-06,
13,0.21758419036095988,COMPLETE,2025-12-10 02:11:35.371899,2025-12-10 02:13:14.523046,0 days 00:01:39.151147,[896],[],[],1,True,0.0,decreasing,relu,48,False,256.0,0.0002,L2,False,AdamW,mean,0.0,
14,0.21758419036095988,COMPLETE,2025-12-10 02:13:14.524549,2025-12-10 02:15:08.750671,0 days 00:01:54.226122,"[640, 512]",[1],[1],2,False,0.2,decreasing,elu,48,False,256.0,1e-05,L2,False,AdamW,mean,1e-06,
15,0.43281027817559004,COMPLETE,2025-12-10 02:15:08.751684,2025-12-10 02:25:59.790989,0 days 00:10:51.039305,"[768, 640, 512]","[1, 2]",[1],3,False,0.2,decreasing,relu,32,False,256.0,2e-05,L2,False,AdamW,mean,1e-06,
16,0.21758419036095988,COMPLETE,2025-12-10 02:25:59.792987,2025-12-10 02:26:38.186748,0 days 00:00:38.393761,[384],[],[],1,True,0.0,decreasing,relu,48,False,256.0,0.0001,L2,False,AdamW,mean,1e-06,
17,0.45461326609438346,COMPLETE,2025-12-10 02:26:38.188751,2025-12-10 02:30:28.296938,0 days 00:03:50.108187,"[640, 512]",[1],[1],2,False,0.4,decreasing,relu,32,False,512.0,0.0002,L2,False,AdamW,mean,0.0,
18,0.46947301821357784,COMPLETE,2025-12-10 02:30:28.298939,2025-12-10 02:52:57.837647,0 days 00:22:29.538708,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
19,0.25168825393870764,COMPLETE,2025-12-10 02:52:57.838658,2025-12-10 02:53:35.464949,0 days 00:00:37.626291,[256],[],[],1,True,0.0,decreasing,elu,64,False,256.0,0.0002,L2,False,RMSprop,attention,1e-06,
20,0.4125652273121684,COMPLETE,2025-12-10 02:53:35.465950,2025-12-10 02:57:27.229183,0 days 00:03:51.763233,"[640, 512]",[1],[1],2,False,0.2,decreasing,tanh,32,False,256.0,0.001,L2,False,Adam,max,1e-06,
21,0.22618009132120673,COMPLETE,2025-12-10 02:57:27.231181,2025-12-10 02:58:42.074582,0 days 00:01:14.843401,"[448, 448]",[],[1],2,False,0.0,uniform,gelu,48,False,128.0,0.0002,L2,True,SGD,last,1e-06,0.9
22,0.4661418281703673,COMPLETE,2025-12-10 02:58:42.075587,2025-12-10 03:15:21.157721,0 days 00:16:39.082134,"[768, 640]",[1],[1],2,False,0.2,decreasing,gelu,16,False,128.0,0.0002,L2,True,SGD,last,1e-06,0.9
23,0.4638522546435788,COMPLETE,2025-12-10 03:15:21.158722,2025-12-10 03:17:55.239636,0 days 00:02:34.080914,"[448, 448]",[],[1],2,False,0.0,uniform,relu,32,False,128.0,0.0002,L2,True,AdamW,mean,1e-06,
24,0.42763665389867966,COMPLETE,2025-12-10 03:17:55.241636,2025-12-10 03:25:39.165340,0 days 00:07:43.923704,"[768, 640, 512]","[1, 2]","[1, 2]",3,False,0.2,decreasing,relu,48,False,256.0,0.0002,L2,False,AdamW,mean,0.0,
25,0.16648879856587853,COMPLETE,2025-12-10 03:25:39.166342,2025-12-10 03:28:44.699138,0 days 00:03:05.532796,"[896, 896]",[],[1],2,False,0.0,uniform,gelu,64,False,768.0,1e-05,L2,False,SGD,last,1e-06,0.0
26,0.39372242472738794,COMPLETE,2025-12-10 03:28:44.700176,2025-12-10 03:30:37.059006,0 days 00:01:52.358830,[448],[],[],1,True,0.0,decreasing,,128,True,,5e-05,minmax,True,Adam,max,1e-06,
27,0.3693572902482414,COMPLETE,2025-12-10 03:30:37.060007,2025-12-10 03:37:19.219111,0 days 00:06:42.159104,"[512, 448]",[1],[1],2,False,0.3,decreasing,relu,16,False,512.0,2e-05,L2,False,RMSprop,attention,1e-06,
28,0.44937066192044,COMPLETE,2025-12-10 03:37:19.220243,2025-12-10 03:42:14.063552,0 days 00:04:54.843309,"[64, 128, 192]",[1],"[1, 2]",3,False,0.4,increasing,elu,32,False,128.0,0.0001,L2,True,AdamW,mean,1e-06,
29,0.21758419036095988,COMPLETE,2025-12-10 03:42:14.064562,2025-12-10 03:45:48.205092,0 days 00:03:34.140530,"[384, 384, 384, 384]",[2],"[1, 3]",4,False,0.5,uniform,silu,64,True,1024.0,0.0002,minmax,True,Adam,last,0.0,
30,0.2641422160890393,COMPLETE,2025-12-10 03:45:48.206097,2025-12-10 03:46:47.924184,0 days 00:00:59.718087,[512],[],[],1,True,0.0,uniform,tanh,48,False,256.0,0.0002,L2,False,SGD,last,1e-07,0.8
31,0.46094044507955784,COMPLETE,2025-12-10 03:46:47.925396,2025-12-10 04:08:58.214822,0 days 00:22:10.289426,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
32,0.46955338969030447,COMPLETE,2025-12-10 04:08:58.215823,2025-12-10 04:29:23.350133,0 days 00:20:25.134310,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
33,0.4560725367147107,COMPLETE,2025-12-10 04:29:23.351139,2025-12-10 04:40:51.425880,0 days 00:11:28.074741,"[768, 640]",[1],[1],2,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
34,0.21758419036095988,COMPLETE,2025-12-10 04:40:51.426881,2025-12-10 04:48:56.683414,0 days 00:08:05.256533,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,gelu,128,True,128.0,0.0001,minmax,False,AdamW,mean,1e-06,
35,0.4683921667876296,COMPLETE,2025-12-10 04:48:56.684421,2025-12-10 04:57:50.619897,0 days 00:08:53.935476,"[640, 768]",[1],[1],2,False,0.1,increasing,,96,True,,0.0002,L2,False,AdamW,max,1e-06,
36,0.21758419036095988,COMPLETE,2025-12-10 04:57:50.620896,2025-12-10 05:11:23.420913,0 days 00:13:32.800017,"[768, 640, 512, 448]",[1],[],4,False,0.3,decreasing,leakyrelu,16,True,128.0,1e-05,minmax,True,Adam,last,1e-07,
37,0.46337988564210386,COMPLETE,2025-12-10 05:11:23.421914,2025-12-10 05:19:07.275623,0 days 00:07:43.853709,"[256, 256]",[],[],2,True,0.5,uniform,relu,16,True,768.0,5e-05,L2,True,AdamW,mean,1e-06,
38,0.4246561579816044,COMPLETE,2025-12-10 05:19:07.276630,2025-12-10 05:25:23.683857,0 days 00:06:16.407227,"[512, 640, 768]",[],[1],3,False,0.0,increasing,silu,96,False,1024.0,0.0002,L2,False,RMSprop,last,1e-05,
39,0.21758419036095988,COMPLETE,2025-12-10 05:25:23.684861,2025-12-10 05:25:50.793866,0 days 00:00:27.109005,"[64, 64]",[1],[1],2,False,0.4,uniform,,128,False,,0.001,minmax,False,SGD,attention,1e-05,0.7
40,0.21758419036095988,COMPLETE,2025-12-10 05:25:50.794865,2025-12-10 05:37:08.593183,0 days 00:11:17.798318,"[896, 768, 640, 512]",[2],"[2, 3]",4,False,0.3,decreasing,gelu,32,True,512.0,0.0002,L2,True,SGD,mean,1e-07,0.9
41,0.45235672888761336,COMPLETE,2025-12-10 05:37:08.594208,2025-12-10 05:57:54.878783,0 days 00:20:46.284575,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
42,0.4647452251882207,COMPLETE,2025-12-10 05:57:54.879890,2025-12-10 06:13:10.143645,0 days 00:15:15.263755,"[768, 640, 512]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
43,0.47098453047343425,COMPLETE,2025-12-10 06:13:10.144646,2025-12-10 06:37:05.597156,0 days 00:23:55.452510,"[896, 768, 640]",[1],[1],3,False,0.5,decreasing,,128,True,,0.0002,L2,False,AdamW,mean,1e-06,
44,0.21758419036095988,COMPLETE,2025-12-10 06:37:05.598156,2025-12-10 06:43:03.283968,0 days 00:05:57.685812,"[768, 640, 512]",[1],[],3,False,0.5,decreasing,relu,128,True,256.0,2e-05,L2,False,AdamW,mean,1e-06,
45,0.47383158456511715,COMPLETE,2025-12-10 06:43:03.285970,2025-12-10 06:57:55.067644,0 days 00:14:51.781674,"[896, 768]",[],[1],2,False,0.0,decreasing,,48,True,,0.0002,L2,False,AdamW,mean,1e-06,
46,0.21967579365778578,COMPLETE,2025-12-10 06:57:55.069655,2025-12-10 07:00:23.164348,0 days 00:02:28.094693,"[640, 768]",[],[],2,False,0.0,increasing,leakyrelu,48,False,256.0,5e-05,L2,False,AdamW,max,1e-05,
