embedding,best_f1_cv,number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
baseline_CASIAB.csv,0.4456,22,0.445569891222153,COMPLETE,2025-12-09 02:32:41.171354,2025-12-09 02:36:37.462314,0 days 00:03:56.290960,"[768, 640, 512, 448]",[2],"[1, 2]",4,False,0.3,decreasing,gelu,32,False,512.0,1e-05,L2,True,AdamW,mean,1e-07,
baseline_OUMVLP.csv,0.4677,14,0.4677390532858584,COMPLETE,2025-12-09 04:03:47.611040,2025-12-09 04:04:46.128188,0 days 00:00:58.517148,[256],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
gaitgl.csv,0.4924,23,0.4924108789503337,COMPLETE,2025-12-09 05:39:08.826252,2025-12-09 05:40:32.316779,0 days 00:01:23.490527,[64],[],[],1,True,0.0,increasing,silu,48,True,768.0,0.0002,minmax,False,AdamW,last,1e-07,
gaitgl_GREW.csv,0.4389,44,0.4389126781179039,COMPLETE,2025-12-09 08:51:44.874955,2025-12-09 08:56:33.189755,0 days 00:04:48.314800,"[768, 640, 512]",[2],"[1, 2]",3,False,0.1,decreasing,relu,64,False,768.0,2e-05,minmax,True,AdamW,max,1e-07,
gaitgl_GREW_BNNeck.csv,0.4798,24,0.4798284286038111,COMPLETE,2025-12-09 10:46:49.670417,2025-12-09 10:50:03.326092,0 days 00:03:13.655675,[64],[],[],1,True,0.0,decreasing,tanh,16,True,256.0,0.0002,L2,False,RMSprop,max,1e-05,
gaitgl_OUMVLP.csv,0.4191,41,0.419069981234124,COMPLETE,2025-12-09 12:50:53.586557,2025-12-09 12:54:00.310470,0 days 00:03:06.723913,"[384, 256, 192, 128]","[1, 3]","[1, 3]",4,False,0.5,decreasing,leakyrelu,32,False,1024.0,0.0002,L2,True,AdamW,max,1e-07,
gaitpart_GREW.csv,0.4651,47,0.4651245895274639,COMPLETE,2025-12-09 13:41:04.106796,2025-12-09 13:41:33.433591,0 days 00:00:29.326795,"[64, 128]",[],[1],2,False,0.0,increasing,gelu,128,False,512.0,0.0002,L2,True,RMSprop,max,1e-06,
gaitpart_OUMVLP.csv,0.5206,30,0.5205863330143558,COMPLETE,2025-12-09 14:32:16.131461,2025-12-09 14:34:02.267321,0 days 00:01:46.135860,[448],[],[],1,True,0.0,increasing,silu,16,True,256.0,0.001,L2,True,AdamW,max,1e-05,
gaitset.csv,0.4544,48,0.4544028967689842,COMPLETE,2025-12-09 18:43:26.539434,2025-12-09 18:44:08.331348,0 days 00:00:41.791914,[256],[],[],1,True,0.0,uniform,,64,False,,0.001,L2,False,AdamW,max,1e-05,
gaitset_GREW.csv,0.4923,34,0.492280074552148,COMPLETE,2025-12-09 19:40:22.994993,2025-12-09 19:42:41.344811,0 days 00:02:18.349818,"[256, 256, 256]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
gaitset_OUMVLP.csv,0.4866,43,0.4866351879340052,COMPLETE,2025-12-09 22:33:26.626786,2025-12-09 22:37:21.151725,0 days 00:03:54.524939,"[256, 384]",[],[1],2,False,0.0,increasing,gelu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
gln_phase1.csv,0.5477,12,0.5476759025052189,COMPLETE,2025-12-09 23:34:42.517857,2025-12-09 23:36:16.430756,0 days 00:01:33.912899,[448],[],[],1,True,0.0,uniform,silu,32,False,1024.0,0.001,L2,True,Adam,last,1e-06,
gln_phase2.csv,0.4758,11,0.4757897318392747,COMPLETE,2025-12-10 01:58:53.562424,2025-12-10 02:05:15.518366,0 days 00:06:21.955942,"[896, 768]",[1],[1],2,False,0.2,decreasing,relu,32,False,256.0,0.0002,L2,False,AdamW,mean,1e-06,
