number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.23225215797837948,COMPLETE,2025-11-22 01:34:45.885978,2025-11-22 01:36:59.575317,0 days 00:02:13.689339,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3767637116428466,COMPLETE,2025-11-22 01:36:59.577321,2025-11-22 01:40:54.080656,0 days 00:03:54.503335,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.453810162086376,COMPLETE,2025-11-22 01:40:54.084171,2025-11-22 01:42:15.057678,0 days 00:01:20.973507,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.27349311817750355,PRUNED,2025-11-22 01:42:15.060684,2025-11-22 01:42:44.481296,0 days 00:00:29.420612,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.26936026936026936,PRUNED,2025-11-22 01:42:44.481296,2025-11-22 01:42:50.317012,0 days 00:00:05.835716,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21839080459770113,PRUNED,2025-11-22 01:42:50.318754,2025-11-22 01:43:24.784079,0 days 00:00:34.465325,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.21839080459770113,PRUNED,2025-11-22 01:43:24.785086,2025-11-22 01:43:47.586183,0 days 00:00:22.801097,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21839080459770113,PRUNED,2025-11-22 01:43:47.586183,2025-11-22 01:44:13.675814,0 days 00:00:26.089631,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.416434711487343,COMPLETE,2025-11-22 01:44:13.675814,2025-11-22 01:45:49.073363,0 days 00:01:35.397549,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.21839080459770113,PRUNED,2025-11-22 01:45:49.076510,2025-11-22 01:45:54.172090,0 days 00:00:05.095580,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.321663313212609,PRUNED,2025-11-22 01:45:54.174127,2025-11-22 01:46:04.380496,0 days 00:00:10.206369,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
11,0.4697074539421936,COMPLETE,2025-11-22 01:46:04.381500,2025-11-22 01:48:33.044182,0 days 00:02:28.662682,elu,64,False,0.2,256.0,0.0001,,L2,False,4,Adam,max,1e-07,"[192, 256, 384, 448]",[1],[3],False
12,0.1761006289308176,PRUNED,2025-11-22 01:48:33.048194,2025-11-22 01:48:52.840331,0 days 00:00:19.792137,elu,64,False,0.30000000000000004,128.0,0.0001,,L2,False,3,Adam,max,1e-07,"[256, 384, 448]","[1, 3]",[3],False
13,0.37169516907295125,COMPLETE,2025-11-22 01:48:52.841334,2025-11-22 01:51:00.841827,0 days 00:02:08.000493,elu,128,False,0.1,512.0,0.0001,,L2,False,4,Adam,max,1e-07,"[1024, 1024, 1024, 1024]",[],[],True
14,0.21839080459770113,PRUNED,2025-11-22 01:51:00.843826,2025-11-22 01:51:37.618311,0 days 00:00:36.774485,tanh,64,False,0.2,256.0,0.0001,,L2,False,2,RMSprop,max,1e-07,"[1024, 896]","[2, 3]","[2, 3]",False
15,0.21839080459770113,PRUNED,2025-11-22 01:51:37.619314,2025-11-22 01:51:46.340819,0 days 00:00:08.721505,elu,48,False,0.1,1024.0,5e-05,,minmax,False,3,Adam,last,2e-06,"[256, 384, 448]","[1, 3]",[3],False
16,0.08888888888888889,PRUNED,2025-11-22 01:51:46.341822,2025-11-22 01:51:56.813584,0 days 00:00:10.471762,relu,128,False,0.30000000000000004,512.0,0.01,,minmax,False,4,AdamW,max,1e-06,"[640, 640, 640, 640]",[],[],True
