number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.40683403167351734,2025-09-11 15:11:58.037897,2025-09-11 15:12:25.506244,0 days 00:00:27.468347,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.21761658031088082,0.3138083169060359,0.34748954064116616,0.21875,0.21640488656195464,COMPLETE
1,0.21761658031088082,2025-09-11 15:12:25.506244,2025-09-11 15:12:29.036839,0 days 00:00:03.530595,silu,decreasing,96,False,0.1,False,True,False,True,64.0,9.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
2,0.21761658031088082,2025-09-11 15:12:29.041075,2025-09-11 15:12:33.704937,0 days 00:00:04.663862,relu,decreasing,16,True,0.4,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
3,0.21761658031088082,2025-09-11 15:12:33.705938,2025-09-11 15:12:37.223044,0 days 00:00:03.517106,tanh,increasing,96,True,0.4,,,,,128.0,12.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
4,0.21761658031088082,2025-09-11 15:12:37.223044,2025-09-11 15:12:41.006253,0 days 00:00:03.783209,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,10.0,2e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
5,0.3010777127164108,2025-09-11 15:12:41.006253,2025-09-11 15:14:12.535221,0 days 00:01:31.528968,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21761658031088082,0.21761658031088082,0.21875,0.21640488656195464,,COMPLETE
6,0.3138957370010787,2025-09-11 15:14:12.535221,2025-09-11 15:18:20.222300,0 days 00:04:07.687079,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,13.0,2e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
7,0.3023063631582901,2025-09-11 15:18:20.224319,2025-09-11 15:18:29.606100,0 days 00:00:09.381781,,increasing,64,False,0.2,True,,,,,10.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21761658031088082,0.2916177046611829,0.3023063631582901,,,PRUNED
8,0.21761658031088082,2025-09-11 15:18:29.607102,2025-09-11 15:18:30.958048,0 days 00:00:01.350946,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
9,0.17702448210922786,2025-09-11 15:18:30.959424,2025-09-11 15:18:33.766453,0 days 00:00:02.807029,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,3.0,5e-07,0.17702448210922786,,,,,PRUNED
10,0.0894854586129754,2025-09-11 15:18:33.767453,2025-09-11 15:18:46.830752,0 days 00:00:13.063299,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21761658031088082,0.25416666666666665,0.3963403026377494,0.0894854586129754,,PRUNED
11,0.22259792515028118,2025-09-11 15:18:46.831753,2025-09-11 15:21:01.841661,0 days 00:02:15.009908,elu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,RMSprop,mean,13.0,0.0,0.21875,0.21875,0.21640488656195464,,,COMPLETE
12,0.08558558558558559,2025-09-11 15:21:01.841661,2025-09-11 15:21:16.943083,0 days 00:00:15.101422,silu,uniform,16,False,0.5,True,,,,256.0,,0.0001,,L2,True,,,,True,2,RMSprop,max,6.0,1e-07,0.28556578556578555,0.08558558558558559,,,,PRUNED
13,0.21875,2025-09-11 15:21:16.944085,2025-09-11 15:21:37.952628,0 days 00:00:21.008543,gelu,uniform,16,True,0.30000000000000004,True,True,False,,768.0,,0.001,,L2,True,True,True,,True,4,AdamW,mean,7.0,1e-05,0.21875,,,,,PRUNED
14,0.17702448210922786,2025-09-11 15:21:37.953629,2025-09-11 15:21:38.911042,0 days 00:00:00.957413,,uniform,32,True,0.5,,,,,,,0.01,,L2,,,,,True,1,AdamW,max,1.0,1e-05,0.17702448210922786,,,,,PRUNED
15,0.17702448210922786,2025-09-11 15:21:38.912044,2025-09-11 15:21:55.755714,0 days 00:00:16.843670,leakyrelu,uniform,16,False,0.4,False,True,,,1024.0,,5e-05,,L2,True,True,,,True,3,RMSprop,mean,13.0,2e-06,0.21761658031088082,0.17702448210922786,,,,PRUNED
16,0.4055259680758699,2025-09-11 15:21:55.756714,2025-09-11 15:26:42.510504,0 days 00:04:46.753790,elu,decreasing,16,False,0.30000000000000004,True,True,False,,512.0,13.0,1e-05,,L2,True,True,False,,True,4,AdamW,max,,0.0,0.21761658031088082,0.21761658031088082,0.3500046309159952,0.21875,0.21640488656195464,COMPLETE
17,0.08888888888888889,2025-09-11 15:26:42.512505,2025-09-11 15:26:48.411326,0 days 00:00:05.898821,elu,decreasing,16,False,0.1,False,True,False,,512.0,13.0,1e-05,,L2,True,True,False,,True,4,RMSprop,max,,0.0,0.08888888888888889,,,,,PRUNED
18,0.21875,2025-09-11 15:26:48.412326,2025-09-11 15:26:55.119586,0 days 00:00:06.707260,elu,decreasing,32,False,0.30000000000000004,True,True,False,,512.0,7.0,1e-05,,L2,True,True,False,,False,4,Adam,max,,0.0,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
19,0.21875,2025-09-11 15:26:55.119586,2025-09-11 15:27:06.732153,0 days 00:00:11.612567,tanh,decreasing,64,False,0.2,True,True,False,,256.0,11.0,0.002,,L2,True,True,False,,True,4,RMSprop,max,,1e-07,0.21761658031088082,0.21875,,,,PRUNED
20,0.32907075873827796,2025-09-11 15:27:06.733154,2025-09-11 15:27:10.104071,0 days 00:00:03.370917,,decreasing,128,False,0.0,False,True,,,,5.0,2e-05,,L2,True,True,,,True,3,AdamW,max,,1e-05,0.21761658031088082,0.23325143325143327,0.32907075873827796,,,PRUNED
21,0.34449912227690005,2025-09-11 15:27:10.105071,2025-09-11 15:27:20.601968,0 days 00:00:10.496897,silu,uniform,16,True,0.4,True,,,,768.0,,0.0002,,L2,True,,,,True,2,AdamW,max,5.0,0.0,0.2745098039215686,0.21761658031088082,0.34449912227690005,,,PRUNED
22,0.21875,2025-09-11 15:27:20.602134,2025-09-11 15:27:35.935622,0 days 00:00:15.333488,elu,uniform,16,False,0.5,True,True,,,512.0,,0.001,,L2,True,True,,,True,3,AdamW,mean,9.0,2e-07,0.21761658031088082,0.21761658031088082,0.21875,,,PRUNED
23,0.28874573702159906,2025-09-11 15:27:35.936623,2025-09-11 15:27:56.947407,0 days 00:00:21.010784,elu,decreasing,16,True,0.30000000000000004,True,,,,512.0,9.0,1e-05,,L2,True,,,,True,2,AdamW,last,,2e-07,0.21761658031088082,0.2962962962962963,0.28874573702159906,,,PRUNED
