number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.2706671177699514,COMPLETE,2025-11-22 02:16:18.734567,2025-11-22 02:18:56.218333,0 days 00:02:37.483766,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3532035016418249,COMPLETE,2025-11-22 02:18:56.220352,2025-11-22 02:23:17.373154,0 days 00:04:21.152802,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.4350121939387635,COMPLETE,2025-11-22 02:23:17.376933,2025-11-22 02:24:41.284575,0 days 00:01:23.907642,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.1761006289308176,PRUNED,2025-11-22 02:24:41.287577,2025-11-22 02:24:57.138289,0 days 00:00:15.850712,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.4559469051797066,COMPLETE,2025-11-22 02:24:57.139308,2025-11-22 02:26:04.359547,0 days 00:01:07.220239,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-22 02:26:04.362297,2025-11-22 02:31:17.708494,0 days 00:05:13.346197,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.17777777777777778,PRUNED,2025-11-22 02:31:17.711609,2025-11-22 02:32:22.976622,0 days 00:01:05.265013,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21758419036095988,COMPLETE,2025-11-22 02:32:22.978623,2025-11-22 02:36:59.759131,0 days 00:04:36.780508,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.4599210722063848,COMPLETE,2025-11-22 02:36:59.761157,2025-11-22 02:39:00.678383,0 days 00:02:00.917226,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.21637426900584797,PRUNED,2025-11-22 02:39:00.681417,2025-11-22 02:39:15.688571,0 days 00:00:15.007154,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.3460992907801419,PRUNED,2025-11-22 02:39:15.689583,2025-11-22 02:39:33.517304,0 days 00:00:17.827721,gelu,64,False,0.30000000000000004,256.0,0.0001,,L2,False,4,Adam,max,1e-06,"[192, 256, 384, 448]",[1],[3],False
11,0.38020295837633294,PRUNED,2025-11-22 02:39:33.518308,2025-11-22 02:40:06.695838,0 days 00:00:33.177530,tanh,128,False,0.30000000000000004,512.0,0.0002,,L2,False,4,Adam,last,5e-07,"[768, 768, 768, 768]",[],[],True
