number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3909642357358049,2025-09-12 05:05:59.769885,2025-09-12 05:06:45.274433,0 days 00:00:45.504548,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.3929023099754807,,,COMPLETE
1,0.0855855855855855,2025-09-12 05:06:45.276433,2025-09-12 05:07:03.489375,0 days 00:00:18.212942,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.3,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.0855855855855855,,,,PRUNED
2,0.2175904889576118,2025-09-12 05:07:03.490376,2025-09-12 05:08:14.112297,0 days 00:01:10.621921,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
3,0.178030303030303,2025-09-12 05:08:14.114298,2025-09-12 05:08:27.490617,0 days 00:00:13.376319,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.178030303030303,,,,PRUNED
4,0.2175904889576118,2025-09-12 05:08:27.491617,2025-09-12 05:09:14.160252,0 days 00:00:46.668635,leakyrelu,uniform,128,False,0.3,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
5,0.178030303030303,2025-09-12 05:09:14.162514,2025-09-12 05:10:03.297959,0 days 00:00:49.135445,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.178030303030303,,,,PRUNED
6,0.178030303030303,2025-09-12 05:10:03.298959,2025-09-12 05:12:58.511264,0 days 00:02:55.212305,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.3254194365305476,0.178030303030303,,,PRUNED
7,0.3704025454246456,2025-09-12 05:12:58.512264,2025-09-12 05:13:51.298271,0 days 00:00:52.786007,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21875,0.21875,0.2260992907801418,,COMPLETE
8,0.0855855855855855,2025-09-12 05:13:51.299272,2025-09-12 05:13:56.616477,0 days 00:00:05.317205,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.0855855855855855,,,,PRUNED
9,0.2164048865619546,2025-09-12 05:13:56.617477,2025-09-12 05:15:12.115416,0 days 00:01:15.497939,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21875,0.2164048865619546,,,PRUNED
10,0.178030303030303,2025-09-12 05:15:12.116415,2025-09-12 05:15:17.903280,0 days 00:00:05.786865,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.178030303030303,,,,PRUNED
11,0.2240481504023804,2025-09-12 05:15:17.904280,2025-09-12 05:15:45.727312,0 days 00:00:27.823032,,increasing,64,False,0.2,True,,,,,6.0,0.001,,L2,True,,,,False,2,RMSprop,max,,0.0,0.21875,0.21875,0.2240481504023804,,PRUNED
12,0.178030303030303,2025-09-12 05:15:45.728312,2025-09-12 05:15:55.848754,0 days 00:00:10.120442,elu,uniform,64,False,0.1,True,,,,256.0,,0.001,,L2,True,,,,False,2,AdamW,max,4.0,1e-07,0.178030303030303,,,,PRUNED
13,0.2175904889576118,2025-09-12 05:15:55.849754,2025-09-12 05:17:05.879428,0 days 00:01:10.029674,,increasing,32,False,0.3,True,True,False,,,4.0,0.001,,L2,True,True,True,,False,4,RMSprop,max,,1e-05,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
14,0.2728145442637151,2025-09-12 05:17:05.880428,2025-09-12 05:17:31.636294,0 days 00:00:25.755866,,decreasing,64,False,0.1,,,,,,9.0,0.001,,L2,,,,,True,1,AdamW,max,,1e-05,0.21875,0.2728145442637151,,,PRUNED
15,0.2152777777777778,2025-09-12 05:17:31.637294,2025-09-12 05:17:42.140189,0 days 00:00:10.502895,,uniform,16,False,0.3,True,True,,,,,0.002,,L2,True,True,,,False,3,RMSprop,max,0.0,0.0,0.2152777777777778,,,,PRUNED
16,0.2152777777777778,2025-09-12 05:17:42.141190,2025-09-12 05:17:50.115754,0 days 00:00:07.974564,leakyrelu,increasing,64,False,0.2,False,True,True,,1024.0,2.0,2e-05,,L2,True,True,True,,True,4,AdamW,max,,2e-06,0.2152777777777778,,,,PRUNED
17,0.178030303030303,2025-09-12 05:17:50.116755,2025-09-12 05:18:09.978571,0 days 00:00:19.861816,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,4.0,1e-07,0.178030303030303,,,,PRUNED
18,0.178030303030303,2025-09-12 05:18:09.979571,2025-09-12 05:18:37.981532,0 days 00:00:28.001961,tanh,increasing,96,False,0.5,True,False,,,512.0,5.0,1e-05,,L2,True,False,,,False,3,Adam,max,,1e-05,0.21875,0.178030303030303,,,PRUNED
19,0.0855855855855855,2025-09-12 05:18:37.982532,2025-09-12 05:18:51.196409,0 days 00:00:13.213877,,decreasing,32,False,0.4,,,,,,9.0,5e-05,,L2,,,,,True,1,RMSprop,last,,2e-07,0.3518518518518518,0.0855855855855855,,,PRUNED
20,0.0855855855855855,2025-09-12 05:18:51.197410,2025-09-12 05:18:58.150041,0 days 00:00:06.952631,,increasing,128,False,0.3,False,True,False,,,0.0,0.01,,L2,True,True,False,,False,4,AdamW,max,,2e-07,0.2176165803108808,0.0855855855855855,,,PRUNED
21,0.2164048865619546,2025-09-12 05:18:58.151041,2025-09-12 05:20:55.453928,0 days 00:01:57.302887,relu,decreasing,16,True,0.4,False,False,,,512.0,7.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21875,0.2164048865619546,,,PRUNED
22,0.2175904889576118,2025-09-12 05:20:55.454928,2025-09-12 05:22:10.572011,0 days 00:01:15.117083,relu,decreasing,16,True,0.5,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
23,0.2164048865619546,2025-09-12 05:22:10.573011,2025-09-12 05:22:45.862047,0 days 00:00:35.289036,elu,decreasing,16,True,0.4,False,,,,512.0,2.0,1e-05,,minmax,False,,,,True,2,Adam,mean,,5e-07,0.2453615520282186,0.2453615520282186,0.2164048865619546,,PRUNED
24,0.178030303030303,2025-09-12 05:22:45.863047,2025-09-12 05:23:50.741036,0 days 00:01:04.877989,relu,decreasing,16,True,0.5,False,,,,512.0,6.0,0.001,,minmax,False,,,,True,2,Adam,mean,,1e-05,0.21875,0.178030303030303,,,PRUNED
25,0.178030303030303,2025-09-12 05:23:50.742036,2025-09-12 05:24:22.331572,0 days 00:00:31.589536,,decreasing,64,True,0.2,True,False,,,,7.0,0.001,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.2176165803108808,0.178030303030303,,,PRUNED
26,0.2175904889576118,2025-09-12 05:24:22.332572,2025-09-12 05:25:56.520364,0 days 00:01:34.187792,relu,uniform,16,True,0.4,False,False,True,,64.0,,1e-05,,minmax,True,False,True,,True,4,RMSprop,max,2.0,1e-07,0.2176165803108808,0.21875,0.21875,0.2164048865619546,COMPLETE
27,0.4415688641743505,2025-09-12 05:25:56.521364,2025-09-12 05:26:40.343692,0 days 00:00:43.822328,leakyrelu,decreasing,16,False,0.3,True,,,,128.0,2.0,0.001,,L2,False,,,,True,2,AdamW,max,,0.0,0.3675357443229605,0.21875,0.21875,0.2164048865619546,COMPLETE
28,0.475162751591854,2025-09-12 05:26:40.345693,2025-09-12 05:27:08.449365,0 days 00:00:28.103672,leakyrelu,uniform,64,False,0.1,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,6.0,0.0,0.2925298179535467,0.3850366261290093,0.21875,0.4450980392156862,COMPLETE
29,0.178030303030303,2025-09-12 05:27:08.451366,2025-09-12 05:27:13.963304,0 days 00:00:05.511938,leakyrelu,uniform,96,False,0.1,,,,,128.0,,0.0001,,L2,,,,,False,1,AdamW,last,6.0,0.0,0.2176165803108808,0.178030303030303,,,PRUNED
30,0.2164048865619546,2025-09-12 05:27:13.964304,2025-09-12 05:27:32.000848,0 days 00:00:18.036544,leakyrelu,uniform,32,False,0.0,,,,,128.0,,0.001,,L2,,,,,True,1,AdamW,max,6.0,0.0,0.21875,0.21875,0.2164048865619546,,PRUNED
31,0.3780490903556723,2025-09-12 05:27:32.001848,2025-09-12 05:27:52.339237,0 days 00:00:20.337389,leakyrelu,uniform,64,False,0.1,True,,,,128.0,,0.001,,L2,True,,,,False,2,AdamW,max,2.0,0.0,0.3169082125603865,0.21875,0.3265117710416987,,COMPLETE
32,0.4326761670059645,2025-09-12 05:27:52.341238,2025-09-12 05:28:09.085350,0 days 00:00:16.744112,leakyrelu,uniform,64,False,0.1,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,2.0,0.0,0.2176165803108808,0.3573667711598746,0.21875,0.2164048865619546,COMPLETE
33,0.4523037827305791,2025-09-12 05:28:09.087349,2025-09-12 05:28:29.348808,0 days 00:00:20.261459,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,1.0,0.0,0.2176165803108808,0.3725371630133535,0.428816008544592,0.3014722039112283,COMPLETE
34,0.178030303030303,2025-09-12 05:28:29.350809,2025-09-12 05:28:36.674598,0 days 00:00:07.323789,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,3.0,0.0,0.2176165803108808,0.3556828447072349,0.178030303030303,,PRUNED
35,0.4563503447972653,2025-09-12 05:28:36.675598,2025-09-12 05:29:03.122211,0 days 00:00:26.446613,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,6.0,0.0,0.3905861334432763,0.21875,0.3248741773132017,,COMPLETE
36,0.178030303030303,2025-09-12 05:29:03.124211,2025-09-12 05:29:17.900980,0 days 00:00:14.776769,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.0002,,L2,,,,,False,1,AdamW,max,7.0,0.0,0.21875,0.21875,0.178030303030303,,PRUNED
37,0.1770244821092278,2025-09-12 05:29:17.901980,2025-09-12 05:29:20.943665,0 days 00:00:03.041685,leakyrelu,uniform,128,False,0.0,,,,,128.0,,2e-05,,L2,,,,,False,1,AdamW,last,5.0,0.0,0.1770244821092278,,,,PRUNED
38,0.4444276780504178,2025-09-12 05:29:20.944665,2025-09-12 05:29:57.586981,0 days 00:00:36.642316,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,8.0,1e-06,0.21875,0.21875,0.3522672837250842,,COMPLETE
39,0.1770244821092278,2025-09-12 05:29:57.589981,2025-09-12 05:30:04.239693,0 days 00:00:06.649712,leakyrelu,uniform,64,False,0.0,,,,,768.0,,0.0001,0.5,L2,,,,,False,1,SGD,max,9.0,1e-06,0.1770244821092278,,,,PRUNED
40,0.0855855855855855,2025-09-12 05:30:04.240693,2025-09-12 05:30:13.370065,0 days 00:00:09.129372,leakyrelu,uniform,64,False,0.1,,,,,128.0,,5e-05,,L2,,,,,False,1,AdamW,max,8.0,1e-06,0.0855855855855855,,,,PRUNED
41,0.4383945226552302,2025-09-12 05:30:13.371065,2025-09-12 05:30:38.630787,0 days 00:00:25.259722,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,6.0,1e-06,0.21875,0.3448771227746139,,,COMPLETE
42,0.4663481454390952,2025-09-12 05:30:38.632788,2025-09-12 05:31:06.799825,0 days 00:00:28.167037,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,7.0,0.0,0.2176165803108808,0.21875,0.21875,0.3838649887815822,COMPLETE
43,0.4571040116713764,2025-09-12 05:31:06.801826,2025-09-12 05:31:38.585639,0 days 00:00:31.783813,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,max,7.0,0.0,0.2238152130625249,0.3582872327745174,0.21875,0.3891156462585034,COMPLETE
44,0.4250387217420071,2025-09-12 05:31:38.586639,2025-09-12 05:32:11.133863,0 days 00:00:32.547224,leakyrelu,uniform,64,False,0.0,,,,,128.0,,0.002,,L2,,,,,False,1,AdamW,max,7.0,0.0,0.3554610440938928,0.2258378528716451,0.3733871562338716,,COMPLETE
45,0.4186360540737799,2025-09-12 05:32:11.135864,2025-09-12 05:32:31.685576,0 days 00:00:20.549712,tanh,uniform,64,False,0.1,,,,,128.0,,0.001,,L2,,,,,False,1,AdamW,last,5.0,0.0,0.3163041364558157,0.21875,0.21875,0.313744226787705,COMPLETE
46,0.2175904889576118,2025-09-12 05:32:31.687576,2025-09-12 05:33:02.011266,0 days 00:00:30.323690,leakyrelu,uniform,64,False,0.0,True,,,,1024.0,,0.01,0.5,L2,False,,,,False,2,SGD,max,6.0,0.0,0.21875,0.2164048865619546,,,COMPLETE
47,0.4734558334444145,2025-09-12 05:33:02.013267,2025-09-12 05:33:29.674637,0 days 00:00:27.661370,gelu,uniform,96,False,0.0,,,,,64.0,,0.001,,L2,,,,,False,1,AdamW,max,7.0,2e-06,0.417381292472839,0.21875,0.21875,0.3984287317620651,COMPLETE
48,0.178030303030303,2025-09-12 05:33:29.676638,2025-09-12 05:33:42.024197,0 days 00:00:12.347559,gelu,uniform,96,False,0.1,,,,,64.0,,0.001,,L2,,,,,False,1,AdamW,max,8.0,2e-06,0.178030303030303,,,,PRUNED
49,0.4678649650858804,2025-09-12 05:33:42.025197,2025-09-12 05:34:12.349162,0 days 00:00:30.323965,gelu,uniform,96,False,0.0,,,,,64.0,,0.001,,L2,,,,,False,1,AdamW,max,7.0,2e-06,0.3985185185185185,0.21875,0.3284028324154209,,COMPLETE
