number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.2576626892708764,COMPLETE,2025-11-22 03:25:29.475611,2025-11-22 03:28:38.777117,0 days 00:03:09.301506,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.22028985507246376,PRUNED,2025-11-22 03:28:38.779185,2025-11-22 03:30:11.348703,0 days 00:01:32.569518,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.46576874099516175,COMPLETE,2025-11-22 03:30:11.349943,2025-11-22 03:32:12.072498,0 days 00:02:00.722555,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.21637426900584797,PRUNED,2025-11-22 03:32:12.076032,2025-11-22 03:35:08.529704,0 days 00:02:56.453672,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.21839080459770113,PRUNED,2025-11-22 03:35:08.531728,2025-11-22 03:35:41.215673,0 days 00:00:32.683945,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.1761006289308176,PRUNED,2025-11-22 03:35:41.216892,2025-11-22 03:37:14.182578,0 days 00:01:32.965686,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.21839080459770113,PRUNED,2025-11-22 03:37:14.183578,2025-11-22 03:37:48.440120,0 days 00:00:34.256542,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.08888888888888889,PRUNED,2025-11-22 03:37:48.441236,2025-11-22 03:39:12.185237,0 days 00:01:23.744001,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.21839080459770113,PRUNED,2025-11-22 03:39:12.186239,2025-11-22 03:39:58.875313,0 days 00:00:46.689074,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.21758419036095988,COMPLETE,2025-11-22 03:39:58.877344,2025-11-22 03:40:26.950734,0 days 00:00:28.073390,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
