number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3931797094739043,2025-09-12 05:34:13.700977,2025-09-12 05:35:15.721566,0 days 00:01:02.020589,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.21875,0.34291023082735617,,COMPLETE
1,0.19048655723382849,2025-09-12 05:35:15.722566,2025-09-12 05:36:50.854130,0 days 00:01:35.131564,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.178030303030303,0.21640488656195464,,,COMPLETE
2,0.178030303030303,2025-09-12 05:36:50.856131,2025-09-12 05:37:54.953429,0 days 00:01:04.097298,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21754385964912282,0.178030303030303,,,PRUNED
3,0.21759048895761182,2025-09-12 05:37:54.954429,2025-09-12 05:39:00.032970,0 days 00:01:05.078541,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.178030303030303,0.178030303030303,0.21640488656195464,COMPLETE
4,0.08558558558558559,2025-09-12 05:39:00.033970,2025-09-12 05:39:29.264883,0 days 00:00:29.230913,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.08558558558558559,,,,PRUNED
5,0.178030303030303,2025-09-12 05:39:29.265883,2025-09-12 05:41:02.498578,0 days 00:01:33.232695,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.178030303030303,,,,PRUNED
6,0.178030303030303,2025-09-12 05:41:02.499578,2025-09-12 05:47:07.385245,0 days 00:06:04.885667,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.21875,0.21875,0.178030303030303,,PRUNED
7,0.39137258667711355,2025-09-12 05:47:07.386245,2025-09-12 05:48:33.603286,0 days 00:01:26.217041,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21875,0.21640488656195464,,,COMPLETE
8,0.17702448210922786,2025-09-12 05:48:33.605286,2025-09-12 05:48:37.921828,0 days 00:00:04.316542,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.17702448210922786,,,,PRUNED
9,0.21761658031088082,2025-09-12 05:48:37.922828,2025-09-12 05:49:45.804294,0 days 00:01:07.881466,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21761658031088082,,,,PRUNED
10,0.08558558558558559,2025-09-12 05:49:45.806294,2025-09-12 05:49:54.013201,0 days 00:00:08.206907,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.08558558558558559,,,,PRUNED
11,0.21640488656195464,2025-09-12 05:49:54.014201,2025-09-12 05:50:49.776561,0 days 00:00:55.762360,,increasing,64,False,0.2,True,,,,,6.0,0.001,,L2,True,,,,False,2,RMSprop,max,,0.0,0.3046171171171171,0.21875,0.21640488656195464,,PRUNED
12,0.3835037032276216,2025-09-12 05:50:49.777562,2025-09-12 05:51:31.787030,0 days 00:00:42.009468,elu,uniform,64,False,0.1,True,,,,256.0,,0.001,,L2,True,,,,False,2,AdamW,max,4.0,1e-07,0.3185317245002541,0.178030303030303,0.178030303030303,0.35828877005347587,COMPLETE
13,0.178030303030303,2025-09-12 05:51:31.788030,2025-09-12 05:52:12.025016,0 days 00:00:40.236986,,increasing,32,False,0.30000000000000004,True,True,False,,,4.0,0.001,,L2,True,True,True,,False,4,RMSprop,max,,1e-05,0.178030303030303,,,,PRUNED
14,0.42149269549421714,2025-09-12 05:52:12.027016,2025-09-12 05:53:09.546412,0 days 00:00:57.519396,,decreasing,64,False,0.1,,,,,,9.0,0.001,,L2,,,,,True,1,AdamW,max,,1e-05,0.21875,0.21875,0.21640488656195464,,COMPLETE
15,0.39615527560108726,2025-09-12 05:53:09.548412,2025-09-12 05:55:40.735580,0 days 00:02:31.187168,,decreasing,16,False,0.0,,,,,,9.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.21761658031088082,0.3028571428571429,0.21875,0.3960214927092332,COMPLETE
16,0.33822558562119515,2025-09-12 05:55:40.736581,2025-09-12 05:57:04.913827,0 days 00:01:24.177246,leakyrelu,decreasing,64,False,0.0,,,,,512.0,9.0,0.002,,L2,,,,,True,1,AdamW,max,,1e-05,0.21875,0.2805485113177421,,,COMPLETE
17,0.178030303030303,2025-09-12 05:57:04.915827,2025-09-12 05:57:50.359503,0 days 00:00:45.443676,gelu,decreasing,16,False,0.1,,,,,1024.0,9.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.178030303030303,,,,PRUNED
18,0.21640488656195464,2025-09-12 05:57:50.360504,2025-09-12 05:59:30.011922,0 days 00:01:39.651418,tanh,decreasing,128,False,0.0,False,True,True,,256.0,9.0,1e-05,,L2,False,True,False,,True,4,Adam,max,,1e-07,0.21761658031088082,0.178030303030303,0.178030303030303,0.21640488656195464,PRUNED
19,0.3803096035979187,2025-09-12 05:59:30.012922,2025-09-12 06:00:13.771893,0 days 00:00:43.758971,,decreasing,32,False,0.1,,,,,,6.0,2e-05,,L2,,,,,True,1,AdamW,last,,2e-06,0.378105852269986,0.22046392101169945,0.3064161722698308,,COMPLETE
20,0.178030303030303,2025-09-12 06:00:13.774894,2025-09-12 06:01:04.252957,0 days 00:00:50.478063,,decreasing,96,False,0.0,True,True,,,,8.0,0.0002,,L2,False,True,,,True,3,RMSprop,max,,0.0,0.2852635948526359,0.178030303030303,,,PRUNED
21,0.178030303030303,2025-09-12 06:01:04.253957,2025-09-12 06:01:37.421474,0 days 00:00:33.167517,,decreasing,16,False,0.1,,,,,,5.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-05,0.3509856253219085,0.21875,0.21875,0.178030303030303,PRUNED
22,0.08558558558558559,2025-09-12 06:01:37.422474,2025-09-12 06:01:53.926443,0 days 00:00:16.503969,,uniform,16,False,0.0,False,,,,,,0.01,,L2,True,,,,True,2,RMSprop,max,0.0,1e-05,0.08558558558558559,,,,PRUNED
23,0.4079168266146019,2025-09-12 06:01:53.927444,2025-09-12 06:02:27.945337,0 days 00:00:34.017893,,decreasing,16,False,0.30000000000000004,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.21875,0.364657824933687,,,COMPLETE
24,0.38252600975273054,2025-09-12 06:02:27.947337,2025-09-12 06:03:07.209040,0 days 00:00:39.261703,,decreasing,16,False,0.30000000000000004,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.34587500096676643,0.21875,0.21875,0.21640488656195464,COMPLETE
25,0.40148391662657396,2025-09-12 06:03:07.211040,2025-09-12 06:03:26.513887,0 days 00:00:19.302847,,decreasing,64,False,0.2,,,,,,2.0,0.002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.21875,0.21875,0.32152355194951543,,COMPLETE
