number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.4102385544783911,2025-09-12 06:37:26.663271,2025-09-12 06:38:38.997336,0 days 00:01:12.334065,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.4358449197158875,,,COMPLETE
1,0.178030303030303,2025-09-12 06:38:38.999336,2025-09-12 06:39:13.247589,0 days 00:00:34.248253,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.178030303030303,,,,PRUNED
2,0.21640488656195464,2025-09-12 06:39:13.248589,2025-09-12 06:40:20.033879,0 days 00:01:06.785290,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21875,0.21640488656195464,,,PRUNED
3,0.21759048895761182,2025-09-12 06:40:20.035879,2025-09-12 06:41:31.627170,0 days 00:01:11.591291,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.178030303030303,0.178030303030303,0.178030303030303,COMPLETE
4,0.24255750546051177,2025-09-12 06:41:31.629169,2025-09-12 06:43:10.859955,0 days 00:01:39.230786,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21761658031088082,0.21875,0.21640488656195464,,COMPLETE
5,0.3138896513068948,2025-09-12 06:43:10.861956,2025-09-12 06:48:20.246425,0 days 00:05:09.384469,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21761658031088082,0.21875,0.263203214695752,,COMPLETE
6,0.178030303030303,2025-09-12 06:48:20.248425,2025-09-12 06:52:12.843008,0 days 00:03:52.594583,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.450268817204301,0.178030303030303,,,PRUNED
7,0.21640488656195464,2025-09-12 06:52:12.844008,2025-09-12 06:53:11.404012,0 days 00:00:58.560004,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21875,0.21875,0.21640488656195464,,PRUNED
8,0.178030303030303,2025-09-12 06:53:11.405012,2025-09-12 06:53:19.282274,0 days 00:00:07.877262,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.178030303030303,,,,PRUNED
9,0.28308744712884465,2025-09-12 06:53:19.283275,2025-09-12 06:57:05.466173,0 days 00:03:46.182898,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21761658031088082,0.178030303030303,0.178030303030303,0.178030303030303,COMPLETE
10,0.42626021471288117,2025-09-12 06:57:05.468173,2025-09-12 06:57:30.322038,0 days 00:00:24.853865,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.3811632938780705,0.21875,0.21875,0.35784313725490197,COMPLETE
11,0.39641551304687545,2025-09-12 06:57:30.324039,2025-09-12 06:57:56.718717,0 days 00:00:26.394678,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.2791666666666666,0.178030303030303,0.178030303030303,0.37780867374600247,COMPLETE
12,0.39823633156966487,2025-09-12 06:57:56.720717,2025-09-12 06:58:11.784770,0 days 00:00:15.064053,elu,uniform,32,False,0.1,,,,,256.0,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21875,0.39823633156966487,,,PRUNED
13,0.178030303030303,2025-09-12 06:58:11.786771,2025-09-12 06:58:25.980475,0 days 00:00:14.193704,,uniform,32,False,0.30000000000000004,False,,,,,,0.01,,L2,True,,,,False,2,RMSprop,max,3.0,1e-05,0.178030303030303,,,,PRUNED
14,0.445913782053109,2025-09-12 06:58:25.981475,2025-09-12 06:59:38.970475,0 days 00:01:12.989000,,uniform,32,False,0.1,True,True,False,,,,0.001,,L2,True,True,True,,True,4,RMSprop,max,2.0,1e-07,0.21875,0.21875,0.21640488656195464,,COMPLETE
15,0.40684116656894503,2025-09-12 06:59:38.972476,2025-09-12 07:01:39.285425,0 days 00:02:00.312949,,uniform,32,False,0.0,True,True,False,,,,0.0002,,L2,True,True,True,,False,4,RMSprop,max,4.0,1e-07,0.35744814779844525,0.21875,0.4319438162721745,,COMPLETE
