number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3716200151822494,2025-09-12 07:28:53.265675,2025-09-12 07:29:42.693036,0 days 00:00:49.427361,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.3057827102803738,0.21875,0.21875,0.2164048865619546,COMPLETE
1,0.1770244821092278,2025-09-12 07:29:42.693036,2025-09-12 07:30:00.162134,0 days 00:00:17.469098,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.3,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.1770244821092278,,,,PRUNED
2,0.2176165803108808,2025-09-12 07:30:00.162134,2025-09-12 07:30:18.336391,0 days 00:00:18.174257,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.2176165803108808,,,,PRUNED
3,0.2175904889576118,2025-09-12 07:30:18.337391,2025-09-12 07:31:16.377655,0 days 00:00:58.040264,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21875,0.2164048865619546,,,COMPLETE
4,0.2275523148185605,2025-09-12 07:31:16.379657,2025-09-12 07:32:32.256400,0 days 00:01:15.876743,leakyrelu,uniform,128,False,0.3,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
5,0.2375903582309677,2025-09-12 07:32:32.256400,2025-09-12 07:36:51.426979,0 days 00:04:19.170579,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.21875,0.2164048865619546,,COMPLETE
6,0.178030303030303,2025-09-12 07:36:51.428979,2025-09-12 07:44:40.406157,0 days 00:07:48.977178,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.4026284348864994,0.21875,0.178030303030303,,PRUNED
7,0.3654208250444175,2025-09-12 07:44:40.407159,2025-09-12 07:46:25.761309,0 days 00:01:45.354150,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.3198757763975155,0.3516727716727716,0.21875,0.3018034374243524,COMPLETE
8,0.0888888888888888,2025-09-12 07:46:25.763309,2025-09-12 07:46:30.757510,0 days 00:00:04.994201,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.0888888888888888,,,,PRUNED
9,0.178030303030303,2025-09-12 07:46:30.758510,2025-09-12 07:48:22.464295,0 days 00:01:51.705785,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21875,0.178030303030303,,,PRUNED
10,0.178030303030303,2025-09-12 07:48:22.465295,2025-09-12 07:48:30.217827,0 days 00:00:07.752532,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.178030303030303,,,,PRUNED
11,0.178030303030303,2025-09-12 07:48:30.218827,2025-09-12 07:49:16.714447,0 days 00:00:46.495620,,increasing,64,False,0.2,True,,,,,6.0,0.001,,L2,True,,,,False,2,RMSprop,max,,0.0,0.21875,0.21875,0.178030303030303,,PRUNED
12,0.178030303030303,2025-09-12 07:49:16.715448,2025-09-12 07:49:32.955131,0 days 00:00:16.239683,elu,uniform,64,False,0.1,True,,,,256.0,,0.001,,L2,True,,,,False,2,AdamW,max,4.0,1e-07,0.2209055876685934,0.178030303030303,,,PRUNED
13,0.0855855855855855,2025-09-12 07:49:32.956132,2025-09-12 07:50:14.580822,0 days 00:00:41.624690,,increasing,32,False,0.3,True,True,False,,,4.0,0.001,,L2,True,True,True,,False,4,RMSprop,max,,1e-05,0.0855855855855855,,,,PRUNED
14,0.178030303030303,2025-09-12 07:50:14.581822,2025-09-12 07:50:38.601449,0 days 00:00:24.019627,,decreasing,64,False,0.1,,,,,,9.0,0.001,,L2,,,,,True,1,AdamW,max,,1e-05,0.3658348340622588,0.3993055555555556,0.178030303030303,,PRUNED
