number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.23945696256053334,COMPLETE,2025-11-22 07:11:39.718603,2025-11-22 07:14:59.492550,0 days 00:03:19.773947,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3221227518586562,COMPLETE,2025-11-22 07:14:59.494660,2025-11-22 07:20:02.659206,0 days 00:05:03.164546,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.4000548835745935,COMPLETE,2025-11-22 07:20:02.661723,2025-11-22 07:22:08.434359,0 days 00:02:05.772636,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.3799769111763854,COMPLETE,2025-11-22 07:22:08.438402,2025-11-22 07:29:41.756554,0 days 00:07:33.318152,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.23650793650793653,PRUNED,2025-11-22 07:29:41.759571,2025-11-22 07:30:45.526342,0 days 00:01:03.766771,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.1806853582554517,PRUNED,2025-11-22 07:30:45.527352,2025-11-22 07:33:51.169619,0 days 00:03:05.642267,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.1761006289308176,PRUNED,2025-11-22 07:33:51.171121,2025-11-22 07:34:09.711340,0 days 00:00:18.540219,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.17777777777777778,PRUNED,2025-11-22 07:34:09.712360,2025-11-22 07:38:21.062204,0 days 00:04:11.349844,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.37776822401837207,COMPLETE,2025-11-22 07:38:21.063214,2025-11-22 07:40:35.518647,0 days 00:02:14.455433,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.1761006289308176,PRUNED,2025-11-22 07:40:35.522175,2025-11-22 07:40:43.006333,0 days 00:00:07.484158,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
