number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.38215626983194645,2025-09-11 17:34:08.497349,2025-09-11 17:34:50.162770,0 days 00:00:41.665421,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.2803663878932696,0.19644723092998953,0.3142857142857143,0.21875,0.21640488656195464,COMPLETE
1,0.19048655723382849,2025-09-11 17:34:50.164771,2025-09-11 17:35:33.847486,0 days 00:00:43.682715,silu,decreasing,96,False,0.1,False,True,False,True,64.0,9.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.17702448210922786,0.178030303030303,0.178030303030303,0.21640488656195464,,COMPLETE
2,0.21761658031088082,2025-09-11 17:35:33.849487,2025-09-11 17:35:37.136865,0 days 00:00:03.287378,relu,decreasing,16,True,0.4,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,,,,,PRUNED
3,0.21761658031088082,2025-09-11 17:35:37.137866,2025-09-11 17:35:40.711669,0 days 00:00:03.573803,tanh,increasing,96,True,0.4,,,,,128.0,12.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,,,,,PRUNED
4,0.17702448210922786,2025-09-11 17:35:40.712670,2025-09-11 17:35:44.549914,0 days 00:00:03.837244,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,10.0,2e-07,0.17702448210922786,,,,,PRUNED
5,0.17702448210922786,2025-09-11 17:35:44.550914,2025-09-11 17:35:55.244242,0 days 00:00:10.693328,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.17702448210922786,,,,,PRUNED
6,0.21759048895761182,2025-09-11 17:35:55.245240,2025-09-11 17:41:31.829912,0 days 00:05:36.584672,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,13.0,2e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
7,0.39003785659689755,2025-09-11 17:41:31.830913,2025-09-11 17:44:16.902164,0 days 00:02:45.071251,,increasing,64,False,0.2,True,,,,,10.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.2251727618603929,0.35469787387945956,0.21640488656195464,,,COMPLETE
8,0.17702448210922786,2025-09-11 17:44:16.904165,2025-09-11 17:44:18.320484,0 days 00:00:01.416319,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.17702448210922786,,,,,PRUNED
9,0.17702448210922786,2025-09-11 17:44:18.321484,2025-09-11 17:44:22.954141,0 days 00:00:04.632657,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,3.0,5e-07,0.17702448210922786,,,,,PRUNED
10,0.17702448210922786,2025-09-11 17:44:22.955141,2025-09-11 17:44:29.390094,0 days 00:00:06.434953,,increasing,64,False,0.2,,,,,,13.0,0.01,,L2,,,,,False,1,AdamW,max,,0.0,0.21761658031088082,0.17702448210922786,,,,PRUNED
11,0.33846874099832586,2025-09-11 17:44:29.390094,2025-09-11 17:44:57.288866,0 days 00:00:27.898772,,uniform,32,False,0.2,True,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,0.0,1e-05,0.2776735459662289,0.21761658031088082,0.3326924972887706,0.21875,0.21640488656195464,COMPLETE
12,0.17702448210922786,2025-09-11 17:44:57.290867,2025-09-11 17:45:00.246545,0 days 00:00:02.955678,elu,increasing,64,False,0.1,True,,,,256.0,9.0,0.001,,L2,True,,,,False,2,RMSprop,max,,1e-07,0.17702448210922786,,,,,PRUNED
13,0.178030303030303,2025-09-11 17:45:00.247545,2025-09-11 17:45:12.044953,0 days 00:00:11.797408,,uniform,32,False,0.30000000000000004,True,True,False,,,,0.001,,L2,True,True,True,,False,4,RMSprop,max,5.0,1e-05,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
14,0.19956043956043956,2025-09-11 17:45:12.045952,2025-09-11 17:45:14.100419,0 days 00:00:02.054467,,decreasing,64,False,0.1,,,,,,4.0,0.001,,L2,,,,,True,1,AdamW,max,,1e-05,0.28693528693528697,0.19956043956043956,,,,PRUNED
15,0.08888888888888889,2025-09-11 17:45:14.101419,2025-09-11 17:45:22.027700,0 days 00:00:07.926281,,increasing,16,False,0.30000000000000004,True,True,,,,9.0,0.002,,L2,True,True,,,False,3,RMSprop,max,,0.0,0.08888888888888889,,,,,PRUNED
16,0.178030303030303,2025-09-11 17:45:22.028700,2025-09-11 17:45:28.295667,0 days 00:00:06.266967,leakyrelu,uniform,64,False,0.2,False,True,True,,1024.0,,2e-05,,L2,True,True,True,,True,4,AdamW,max,1.0,2e-06,0.178030303030303,,,,,PRUNED
17,0.37010974642588873,2025-09-11 17:45:28.296668,2025-09-11 17:46:48.010902,0 days 00:01:19.714234,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,8.0,1e-07,0.3062671877261543,0.29482210296163786,0.21875,0.21640488656195464,,COMPLETE
18,0.178030303030303,2025-09-11 17:46:48.012902,2025-09-11 17:46:58.327224,0 days 00:00:10.314322,tanh,increasing,96,False,0.5,True,False,,,512.0,6.0,1e-05,,L2,True,False,,,False,3,Adam,max,,1e-05,0.21761658031088082,0.21761658031088082,0.178030303030303,,,PRUNED
19,0.17702448210922786,2025-09-11 17:46:58.328224,2025-09-11 17:47:00.797413,0 days 00:00:02.469189,,decreasing,32,False,0.4,,,,,,11.0,5e-05,,L2,,,,,True,1,RMSprop,last,,2e-07,0.17702448210922786,,,,,PRUNED
20,0.21759048895761182,2025-09-11 17:47:00.798414,2025-09-11 17:47:16.851806,0 days 00:00:16.053392,,increasing,128,False,0.30000000000000004,False,True,False,,,2.0,0.01,,L2,True,True,False,,False,4,AdamW,max,,2e-07,0.20058944886531094,0.178030303030303,,,,COMPLETE
21,0.31496672341742765,2025-09-11 17:47:16.852806,2025-09-11 17:47:39.009383,0 days 00:00:22.156577,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,8.0,1e-07,0.3088731309590205,0.29358420205102126,0.31496672341742765,,,PRUNED
22,0.21875,2025-09-11 17:47:39.010383,2025-09-11 17:47:54.729924,0 days 00:00:15.719541,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,6.0,1e-07,0.3258976571314794,0.21875,,,,PRUNED
23,0.178030303030303,2025-09-11 17:47:54.730924,2025-09-11 17:49:09.224713,0 days 00:01:14.493789,elu,uniform,16,False,0.1,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,9.0,1e-07,0.2705064832724407,0.31173807035876,0.3484667211285916,0.21875,0.178030303030303,PRUNED
24,0.3793034892891523,2025-09-11 17:49:09.225696,2025-09-11 17:50:11.850519,0 days 00:01:02.624823,gelu,uniform,16,False,0.2,False,True,,,256.0,,0.001,,L2,True,False,,,False,3,RMSprop,max,4.0,1e-05,0.21761658031088082,0.3073415412676699,0.34477514248942825,0.21875,0.21640488656195464,COMPLETE
25,0.21761658031088082,2025-09-11 17:50:11.852519,2025-09-11 17:50:14.884953,0 days 00:00:03.032434,,uniform,64,False,0.2,True,True,,,,,0.001,,L2,True,False,,,False,3,RMSprop,max,3.0,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
26,0.21761658031088082,2025-09-11 17:50:14.885954,2025-09-11 17:50:25.216541,0 days 00:00:10.330587,gelu,uniform,16,True,0.2,False,True,False,,64.0,,0.001,,minmax,False,False,False,,True,4,AdamW,max,3.0,1e-05,0.21761658031088082,,,,,PRUNED
27,0.32639689465466165,2025-09-11 17:50:25.217541,2025-09-11 17:50:41.688100,0 days 00:00:16.470559,leakyrelu,uniform,16,False,0.30000000000000004,True,True,,,128.0,,0.001,,L2,True,False,,,False,3,Adam,max,4.0,1e-05,0.21761658031088082,0.3491841491841492,0.32639689465466165,,,PRUNED
28,0.08888888888888889,2025-09-11 17:50:41.689100,2025-09-11 17:50:52.786353,0 days 00:00:11.097253,elu,decreasing,64,False,0.1,False,True,,,1024.0,11.0,0.001,,L2,True,False,,,True,3,RMSprop,mean,,1e-05,0.21761658031088082,0.08888888888888889,,,,PRUNED
29,0.17702448210922786,2025-09-11 17:50:52.787354,2025-09-11 17:50:54.258254,0 days 00:00:01.470900,relu,increasing,96,False,0.2,,,,,512.0,6.0,0.0001,0.5,minmax,,,,,False,1,SGD,last,,2e-07,0.17702448210922786,,,,,PRUNED
30,0.17702448210922786,2025-09-11 17:50:54.259255,2025-09-11 17:50:57.587007,0 days 00:00:03.327752,tanh,decreasing,32,False,0.1,False,,,,768.0,10.0,0.001,,L2,True,,,,False,2,AdamW,last,,0.0,0.17702448210922786,,,,,PRUNED
31,0.21875,2025-09-11 17:50:57.588007,2025-09-11 17:51:17.866318,0 days 00:00:20.278311,gelu,uniform,16,False,0.0,False,,,,256.0,,0.0002,,L2,True,,,,False,2,RMSprop,max,7.0,1e-07,0.3235867446393762,0.21875,,,,PRUNED
32,0.2471061723118567,2025-09-11 17:51:17.867319,2025-09-11 17:51:23.691818,0 days 00:00:05.824499,gelu,uniform,16,False,0.4,False,True,,,256.0,,0.001,,L2,True,False,,,False,3,RMSprop,max,1.0,5e-07,0.2471061723118567,,,,,PRUNED
