number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum_sgd,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3663328864309256,2025-09-12 09:32:02.281629,2025-09-12 09:32:10.944853,0 days 00:00:08.663224,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.2484848484848484,0.24,0.24,0.1818181818181818,COMPLETE
1,0.1030668677727501,2025-09-12 09:32:10.946853,2025-09-12 09:32:24.842165,0 days 00:00:13.895312,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.3,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.0392156862745098,0.0392156862745098,,,COMPLETE
2,0.2369230769230769,2025-09-12 09:32:24.844166,2025-09-12 09:32:37.708881,0 days 00:00:12.864715,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.1818181818181818,0.24,,,COMPLETE
3,0.2307692307692307,2025-09-12 09:32:37.710881,2025-09-12 09:32:39.440701,0 days 00:00:01.729820,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.2307692307692307,,,,PRUNED
4,0.2369230769230769,2025-09-12 09:32:39.441701,2025-09-12 09:32:52.257091,0 days 00:00:12.815390,leakyrelu,uniform,128,False,0.3,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.1818181818181818,0.1818181818181818,0.1818181818181818,,COMPLETE
5,0.1587301587301587,2025-09-12 09:32:52.259092,2025-09-12 09:32:59.027096,0 days 00:00:06.768004,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.1587301587301587,,,,PRUNED
6,0.2307692307692307,2025-09-12 09:32:59.029097,2025-09-12 09:33:17.453113,0 days 00:00:18.424016,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.2307692307692307,0.2307692307692307,,,PRUNED
7,0.3221496005809731,2025-09-12 09:33:17.454113,2025-09-12 09:33:28.957147,0 days 00:00:11.503034,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.2457516339869281,0.24,0.24,0.24,COMPLETE
8,0.0392156862745098,2025-09-12 09:33:28.959147,2025-09-12 09:33:30.205429,0 days 00:00:01.246282,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.0392156862745098,,,,PRUNED
9,0.2369230769230769,2025-09-12 09:33:30.206429,2025-09-12 09:33:50.701045,0 days 00:00:20.494616,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.24,0.24,,,COMPLETE
