number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.2369230769230769,2025-09-11 18:01:34.074248,2025-09-11 18:01:37.228317,0 days 00:00:03.154069,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
1,0.1510429099175902,2025-09-11 18:01:37.229318,2025-09-11 18:01:43.634992,0 days 00:00:06.405674,silu,decreasing,96,False,0.1,False,True,False,True,64.0,9.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.0392156862745098,0.0392156862745098,0.24,,,COMPLETE
2,0.17391304347826086,2025-09-11 18:01:43.636992,2025-09-11 18:01:43.989071,0 days 00:00:00.352079,relu,decreasing,16,True,0.4,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.17391304347826086,,,,,PRUNED
3,0.2369230769230769,2025-09-11 18:01:43.990071,2025-09-11 18:01:50.167475,0 days 00:00:06.177404,tanh,increasing,96,True,0.4,,,,,128.0,12.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
4,0.2369230769230769,2025-09-11 18:01:50.169476,2025-09-11 18:01:57.963653,0 days 00:00:07.794177,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,10.0,2e-07,0.1818181818181818,0.24,,,,COMPLETE
5,0.2426373626373626,2025-09-11 18:01:57.965654,2025-09-11 18:02:23.625502,0 days 00:00:25.659848,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.24,0.24,,,,COMPLETE
6,0.1818181818181818,2025-09-11 18:02:23.626501,2025-09-11 18:02:35.373893,0 days 00:00:11.747392,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,13.0,2e-07,0.23076923076923075,0.23076923076923075,0.1818181818181818,,,PRUNED
7,0.2369230769230769,2025-09-11 18:02:35.374893,2025-09-11 18:02:41.371246,0 days 00:00:05.996353,,increasing,64,False,0.2,True,,,,,10.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
8,0.25261308739569605,2025-09-11 18:02:41.372246,2025-09-11 18:02:43.414706,0 days 00:00:02.042460,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.07017543859649122,0.23076923076923075,0.1818181818181818,0.1818181818181818,,COMPLETE
9,0.2369230769230769,2025-09-11 18:02:43.415707,2025-09-11 18:02:52.097660,0 days 00:00:08.681953,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,3.0,5e-07,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
10,0.17391304347826086,2025-09-11 18:02:52.098660,2025-09-11 18:02:52.233691,0 days 00:00:00.135031,elu,increasing,64,False,0.2,,,,,64.0,0.0,5e-05,,minmax,,,,,False,1,RMSprop,max,,2e-06,0.17391304347826086,,,,,PRUNED
11,0.2369230769230769,2025-09-11 18:02:52.233691,2025-09-11 18:03:04.224070,0 days 00:00:11.990379,gelu,increasing,32,True,0.0,False,True,True,,256.0,6.0,2e-05,,minmax,False,True,False,,False,4,AdamW,last,,0.0,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
12,0.1818181818181818,2025-09-11 18:03:04.226069,2025-09-11 18:03:06.991347,0 days 00:00:02.765278,relu,increasing,128,True,0.0,False,False,True,,128.0,5.0,5e-05,0.9,minmax,False,False,False,,False,4,SGD,last,,1e-07,0.1818181818181818,,,,,PRUNED
13,0.2222222222222222,2025-09-11 18:03:06.993348,2025-09-11 18:03:08.842121,0 days 00:00:01.848773,gelu,increasing,64,False,0.1,False,False,False,,128.0,0.0,2e-05,,minmax,True,False,True,,False,4,AdamW,max,,1e-06,0.2222222222222222,,,,,PRUNED
14,0.17391304347826086,2025-09-11 18:03:08.843122,2025-09-11 18:03:09.021162,0 days 00:00:00.178040,gelu,increasing,128,False,0.30000000000000004,False,,,,64.0,4.0,0.01,,minmax,False,,,,True,2,AdamW,last,,2e-06,0.17391304347826086,,,,,PRUNED
15,0.17391304347826086,2025-09-11 18:03:09.022162,2025-09-11 18:03:09.443968,0 days 00:00:00.421806,relu,increasing,32,True,0.1,False,True,True,False,1024.0,2.0,5e-05,0.6000000000000001,minmax,True,True,False,True,False,5,SGD,max,,2e-06,0.17391304347826086,,,,,PRUNED
16,0.0392156862745098,2025-09-11 18:03:09.444968,2025-09-11 18:03:11.428414,0 days 00:00:01.983446,elu,decreasing,64,True,0.5,True,False,,,256.0,7.0,2e-05,,minmax,True,False,,,False,3,Adam,max,,1e-06,0.23076923076923075,0.23076923076923075,0.0392156862745098,,,PRUNED
17,0.07017543859649122,2025-09-11 18:03:11.429415,2025-09-11 18:03:12.574672,0 days 00:00:01.145257,tanh,increasing,128,False,0.2,False,True,True,,512.0,7.0,0.01,,minmax,False,True,False,,True,4,RMSprop,last,,1e-07,0.23076923076923075,0.07017543859649122,,,,PRUNED
18,0.17391304347826086,2025-09-11 18:03:12.575672,2025-09-11 18:03:12.765715,0 days 00:00:00.190043,leakyrelu,increasing,128,False,0.0,,,,,64.0,9.0,1e-05,,minmax,,,,,True,1,AdamW,last,,0.0,0.17391304347826086,,,,,PRUNED
19,0.1818181818181818,2025-09-11 18:03:12.766715,2025-09-11 18:03:26.032739,0 days 00:00:13.266024,relu,decreasing,64,True,0.30000000000000004,False,,,,128.0,13.0,0.0002,0.6000000000000001,minmax,True,,,,False,2,SGD,max,,1e-05,0.24,0.24,0.1818181818181818,,,PRUNED
20,0.0392156862745098,2025-09-11 18:03:26.034740,2025-09-11 18:03:26.887932,0 days 00:00:00.853192,gelu,increasing,32,False,0.1,False,False,,,64.0,2.0,0.002,0.30000000000000004,minmax,False,False,,,False,3,SGD,last,,1e-06,0.0392156862745098,,,,,PRUNED
21,0.15151515151515152,2025-09-11 18:03:26.888932,2025-09-11 18:03:27.448058,0 days 00:00:00.559126,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,0.0,1e-05,0.15151515151515152,,,,,PRUNED
22,0.17391304347826086,2025-09-11 18:03:27.449058,2025-09-11 18:03:29.005969,0 days 00:00:01.556911,,uniform,16,False,0.4,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,5.0,1e-05,0.23076923076923075,0.23076923076923075,0.17391304347826086,,,PRUNED
23,0.2369230769230769,2025-09-11 18:03:29.006970,2025-09-11 18:03:30.216876,0 days 00:00:01.209906,,uniform,96,False,0.5,,,,,,,5e-05,,L2,,,,,True,1,RMSprop,max,0.0,2e-06,0.24,0.24,0.24,,,COMPLETE
24,0.23076923076923075,2025-09-11 18:03:30.217876,2025-09-11 18:03:31.524171,0 days 00:00:01.306295,relu,uniform,64,False,0.5,False,,,,128.0,,2e-05,,L2,True,,,,True,2,RMSprop,max,7.0,1e-05,0.23076923076923075,0.23076923076923075,0.23076923076923075,,,PRUNED
25,0.2990731490731491,2025-09-11 18:03:31.525170,2025-09-11 18:03:34.183607,0 days 00:00:02.658437,,uniform,128,False,0.4,False,False,,,,,2e-05,,L2,True,False,,,True,3,RMSprop,max,3.0,1e-05,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
26,0.2369230769230769,2025-09-11 18:03:34.184607,2025-09-11 18:03:43.411201,0 days 00:00:09.226594,gelu,increasing,128,True,0.4,True,False,,,256.0,7.0,2e-05,,L2,True,False,,,True,3,AdamW,max,,1e-06,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
27,0.1818181818181818,2025-09-11 18:03:43.412201,2025-09-11 18:03:45.113584,0 days 00:00:01.701383,leakyrelu,increasing,128,False,0.30000000000000004,False,False,False,,768.0,5.0,2e-05,,minmax,False,False,True,,True,4,Adam,max,,2e-06,0.23076923076923075,0.1818181818181818,,,,PRUNED
28,0.1818181818181818,2025-09-11 18:03:45.114585,2025-09-11 18:03:56.426133,0 days 00:00:11.311548,tanh,decreasing,128,True,0.4,False,False,,,512.0,11.0,2e-05,,L2,True,False,,,False,3,AdamW,mean,,1e-07,0.24,0.24,0.1818181818181818,,,PRUNED
29,0.17391304347826086,2025-09-11 18:03:56.427133,2025-09-11 18:03:56.714198,0 days 00:00:00.287065,,uniform,128,False,0.5,False,False,,,,,5e-05,,L2,True,False,,,True,3,RMSprop,last,7.0,1e-05,0.17391304347826086,,,,,PRUNED
30,0.0392156862745098,2025-09-11 18:03:56.715198,2025-09-11 18:03:58.044497,0 days 00:00:01.329299,elu,uniform,128,False,0.30000000000000004,True,False,True,False,1024.0,,2e-05,0.7000000000000001,minmax,False,False,False,True,True,5,SGD,max,4.0,0.0,0.23076923076923075,0.23076923076923075,0.0392156862745098,,,PRUNED
31,0.23076923076923075,2025-09-11 18:03:58.045497,2025-09-11 18:03:59.000713,0 days 00:00:00.955216,,uniform,96,False,0.5,False,,,,,,0.0001,,L2,True,,,,True,2,RMSprop,max,3.0,1e-05,0.23076923076923075,0.23076923076923075,0.23076923076923075,,,PRUNED
32,0.2369230769230769,2025-09-11 18:03:59.001713,2025-09-11 18:04:03.425205,0 days 00:00:04.423492,,uniform,16,False,0.4,False,True,,,,,1e-05,,L2,True,True,,,True,3,RMSprop,max,2.0,1e-05,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
33,0.1818181818181818,2025-09-11 18:04:03.427206,2025-09-11 18:04:06.038789,0 days 00:00:02.611583,relu,decreasing,16,False,0.5,,,,,64.0,9.0,0.001,,L2,,,,,True,1,RMSprop,max,,5e-07,0.23076923076923075,0.23076923076923075,0.24,0.24,0.1818181818181818,PRUNED
34,0.1818181818181818,2025-09-11 18:04:06.039789,2025-09-11 18:04:06.913986,0 days 00:00:00.874197,,uniform,96,False,0.4,False,False,,,,,0.0002,,L2,True,False,,,True,3,Adam,mean,1.0,1e-05,0.1818181818181818,,,,,PRUNED
35,0.2369230769230769,2025-09-11 18:04:06.914986,2025-09-11 18:04:09.794194,0 days 00:00:02.879208,gelu,uniform,64,True,0.4,False,,,,128.0,,0.0001,,minmax,True,,,,True,2,RMSprop,last,5.0,1e-06,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
36,0.1818181818181818,2025-09-11 18:04:09.795194,2025-09-11 18:04:16.179333,0 days 00:00:06.384139,,increasing,16,False,0.5,False,False,False,True,,1.0,0.001,0.0,L2,True,False,True,True,True,5,SGD,max,,2e-06,0.24,0.1818181818181818,,,,PRUNED
37,0.2426373626373626,2025-09-11 18:04:16.181333,2025-09-11 18:04:21.965511,0 days 00:00:05.784178,relu,uniform,128,True,0.2,False,,,,768.0,,0.01,,minmax,False,,,,False,2,Adam,mean,8.0,2e-07,0.23076923076923075,0.23076923076923075,0.24,0.24,0.24,COMPLETE
38,0.07017543859649122,2025-09-11 18:04:21.966511,2025-09-11 18:04:22.246575,0 days 00:00:00.280064,relu,uniform,128,True,0.2,,,,,768.0,,0.01,,minmax,,,,,False,1,Adam,mean,9.0,2e-07,0.07017543859649122,,,,,PRUNED
39,0.2369230769230769,2025-09-11 18:04:22.247574,2025-09-11 18:04:26.482528,0 days 00:00:04.234954,relu,decreasing,128,True,0.0,False,True,True,,768.0,5.0,0.01,,minmax,False,True,False,,False,4,Adam,mean,,2e-07,0.23076923076923075,0.24,0.24,0.24,,COMPLETE
