number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.24341323806127205,COMPLETE,2025-11-22 09:43:06.898704,2025-11-22 09:45:03.137954,0 days 00:01:56.239250,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3081775215955895,COMPLETE,2025-11-22 09:45:03.140466,2025-11-22 09:47:20.114685,0 days 00:02:16.974219,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.45241361247951195,COMPLETE,2025-11-22 09:47:20.117685,2025-11-22 09:48:42.720538,0 days 00:01:22.602853,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.40048010632196523,COMPLETE,2025-11-22 09:48:42.723580,2025-11-22 09:51:58.367261,0 days 00:03:15.643681,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.42072108421403753,COMPLETE,2025-11-22 09:51:58.370766,2025-11-22 09:52:58.782350,0 days 00:01:00.411584,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-22 09:52:58.785374,2025-11-22 09:57:06.301187,0 days 00:04:07.515813,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.1761006289308176,PRUNED,2025-11-22 09:57:06.304253,2025-11-22 09:57:27.457974,0 days 00:00:21.153721,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.08888888888888889,PRUNED,2025-11-22 09:57:27.458986,2025-11-22 09:58:10.831907,0 days 00:00:43.372921,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.4605388848212483,COMPLETE,2025-11-22 09:58:10.832923,2025-11-22 10:00:22.255049,0 days 00:02:11.422126,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.21758419036095988,COMPLETE,2025-11-22 10:00:22.258547,2025-11-22 10:00:42.257140,0 days 00:00:19.998593,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.25510136257892985,PRUNED,2025-11-22 10:00:42.259459,2025-11-22 10:00:56.114588,0 days 00:00:13.855129,gelu,64,False,0.30000000000000004,256.0,0.0001,,L2,False,4,Adam,max,1e-06,"[192, 256, 384, 448]",[1],[3],False
11,0.21839080459770113,PRUNED,2025-11-22 10:00:56.116588,2025-11-22 10:01:17.333846,0 days 00:00:21.217258,tanh,128,False,0.2,512.0,0.0002,,L2,False,4,Adam,last,1e-07,"[1024, 1024, 1024, 1024]",[],[],True
12,0.4204716841261841,COMPLETE,2025-11-22 10:01:17.334862,2025-11-22 10:02:53.386102,0 days 00:01:36.051240,elu,48,False,0.1,1024.0,0.001,,L2,False,3,AdamW,attention,2e-06,"[256, 384, 448]","[1, 3]","[1, 3]",False
13,0.21839080459770113,PRUNED,2025-11-22 10:02:53.388496,2025-11-22 10:03:00.866295,0 days 00:00:07.477799,gelu,64,False,0.0,128.0,5e-05,,minmax,False,1,Adam,last,0.0,[1024],[],[],True
14,0.21839080459770113,PRUNED,2025-11-22 10:03:00.868320,2025-11-22 10:03:13.985123,0 days 00:00:13.116803,tanh,64,False,0.2,256.0,2e-05,,minmax,False,2,RMSprop,attention,1e-06,"[1024, 896]","[2, 3]","[2, 3]",False
15,0.30464359656906237,PRUNED,2025-11-22 10:03:13.986124,2025-11-22 10:03:50.318815,0 days 00:00:36.332691,leakyrelu,48,False,0.1,1024.0,0.002,,L2,False,3,Adam,last,1e-07,"[384, 448, 512]","[1, 3]","[1, 3]",False
16,0.21839080459770113,PRUNED,2025-11-22 10:03:50.319815,2025-11-22 10:03:55.195383,0 days 00:00:04.875568,relu,128,False,0.30000000000000004,512.0,0.0001,,minmax,False,4,AdamW,max,5e-07,"[640, 640, 640, 640]",[],[],True
17,0.23174603174603173,PRUNED,2025-11-22 10:03:55.197441,2025-11-22 10:04:00.803850,0 days 00:00:05.606409,elu,96,False,0.0,128.0,0.0002,,L2,False,1,AdamW,mean,2e-07,[768],[],[],True
18,0.21839080459770113,PRUNED,2025-11-22 10:04:00.804859,2025-11-22 10:04:26.587248,0 days 00:00:25.782389,silu,48,True,0.4,1024.0,0.01,,minmax,False,2,Adam,attention,2e-06,"[64, 128]","[2, 3]","[2, 3]",False
19,0.21839080459770113,PRUNED,2025-11-22 10:04:26.588258,2025-11-22 10:04:37.070852,0 days 00:00:10.482594,gelu,64,False,0.2,256.0,1e-05,,L2,False,3,RMSprop,last,0.0,"[512, 448, 384]","[1, 3]","[1, 3]",False
20,0.21839080459770113,PRUNED,2025-11-22 10:04:37.071866,2025-11-22 10:04:50.705006,0 days 00:00:13.633140,tanh,64,False,0.1,256.0,5e-05,,minmax,False,4,AdamW,attention,0.0,"[192, 256, 384, 448]","[1, 2, 3]","[1, 2]",False
21,0.21637426900584797,PRUNED,2025-11-22 10:04:50.707006,2025-11-22 10:05:21.565514,0 days 00:00:30.858508,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[448],[],[],True
22,0.4208395863791363,COMPLETE,2025-11-22 10:05:21.567542,2025-11-22 10:06:20.232025,0 days 00:00:58.664483,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[640],[],[],True
23,0.1761006289308176,PRUNED,2025-11-22 10:06:20.236027,2025-11-22 10:06:31.897193,0 days 00:00:11.661166,tanh,32,False,0.0,768.0,0.001,,L2,True,1,AdamW,last,5e-07,[768],[],[],True
24,0.4066532167292431,COMPLETE,2025-11-22 10:06:31.898263,2025-11-22 10:07:16.256037,0 days 00:00:44.357774,tanh,48,False,0.0,1024.0,5e-05,,L2,True,1,Adam,last,2e-06,[256],[],[],True
25,0.1761006289308176,PRUNED,2025-11-22 10:07:16.258306,2025-11-22 10:07:23.443923,0 days 00:00:07.185617,gelu,128,False,0.2,512.0,5e-05,,L2,False,2,AdamW,last,5e-07,"[896, 896]",[],[],True
26,0.17777777777777778,PRUNED,2025-11-22 10:07:23.444946,2025-11-22 10:07:41.598587,0 days 00:00:18.153641,tanh,96,True,0.0,128.0,0.001,,L2,True,1,AdamW,mean,1e-06,[640],[],[],True
27,0.21839080459770113,PRUNED,2025-11-22 10:07:41.601115,2025-11-22 10:07:59.918697,0 days 00:00:18.317582,relu,48,False,0.30000000000000004,256.0,5e-05,,L2,False,2,Adam,max,1e-07,"[512, 512]",[],[],True
