number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.3997752716058707,2025-09-12 09:39:05.184172,2025-09-12 09:39:50.370917,0 days 00:00:45.186745,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.3800995075807987,0.21875,0.4262049118837086,,,COMPLETE
1,0.1596716514189227,2025-09-12 09:39:50.372917,2025-09-12 09:40:22.003475,0 days 00:00:31.630558,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.08558558558558559,0.21640488656195464,,,,COMPLETE
2,0.21759048895761182,2025-09-12 09:40:22.005476,2025-09-12 09:41:17.320804,0 days 00:00:55.315328,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
3,0.21759048895761182,2025-09-12 09:41:17.322803,2025-09-12 09:41:39.970641,0 days 00:00:22.647838,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
4,0.178030303030303,2025-09-12 09:41:39.972642,2025-09-12 09:41:49.723906,0 days 00:00:09.751264,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.178030303030303,,,,,PRUNED
5,0.21759048895761182,2025-09-12 09:41:49.724907,2025-09-12 09:43:12.894080,0 days 00:01:23.169173,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
6,0.3473801991515531,2025-09-12 09:43:12.896080,2025-09-12 09:46:07.245462,0 days 00:02:54.349382,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.40699607751302613,0.21875,0.3473801991515531,,,PRUNED
7,0.178030303030303,2025-09-12 09:46:07.246463,2025-09-12 09:46:28.499085,0 days 00:00:21.252622,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21761658031088082,0.21875,0.21875,0.178030303030303,,PRUNED
8,0.0894854586129754,2025-09-12 09:46:28.501085,2025-09-12 09:46:37.090564,0 days 00:00:08.589479,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.178030303030303,0.0894854586129754,,,,PRUNED
9,0.25404662003583595,2025-09-12 09:46:37.091564,2025-09-12 09:48:14.962592,0 days 00:01:37.871028,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.178030303030303,0.21875,,,,COMPLETE
10,0.08558558558558559,2025-09-12 09:48:14.964593,2025-09-12 09:48:23.546353,0 days 00:00:08.581760,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.08558558558558559,,,,,PRUNED
11,0.08888888888888889,2025-09-12 09:48:23.547353,2025-09-12 09:48:38.850528,0 days 00:00:15.303175,elu,uniform,16,True,0.4,False,True,True,,1024.0,,0.002,,L2,True,True,False,,True,4,RMSprop,mean,1.0,5e-07,0.08888888888888889,,,,,PRUNED
12,0.178030303030303,2025-09-12 09:48:38.851528,2025-09-12 09:48:59.483129,0 days 00:00:20.631601,silu,uniform,16,False,0.5,False,False,True,,256.0,,0.002,,L2,True,True,False,,True,4,RMSprop,max,3.0,1e-07,0.178030303030303,,,,,PRUNED
13,0.0894854586129754,2025-09-12 09:48:59.485130,2025-09-12 09:49:57.116312,0 days 00:00:57.631182,gelu,uniform,16,True,0.30000000000000004,False,False,False,,1024.0,,0.002,,L2,True,True,True,,True,4,RMSprop,max,3.0,1e-05,0.21875,0.0894854586129754,,,,PRUNED
14,0.34393013498221126,2025-09-12 09:49:57.117312,2025-09-12 09:50:29.586393,0 days 00:00:32.469081,leakyrelu,uniform,32,True,0.4,False,,,,1024.0,,0.001,0.9,L2,True,,,,True,2,SGD,mean,2.0,0.0,0.21761658031088082,0.29545454545454547,0.25666526591025823,0.21875,,COMPLETE
15,0.08558558558558559,2025-09-12 09:50:29.588394,2025-09-12 09:50:39.041984,0 days 00:00:09.453590,,uniform,32,False,0.5,False,,,,,,0.001,0.6000000000000001,L2,True,,,,True,2,SGD,mean,5.0,0.0,0.21761658031088082,0.08558558558558559,,,,PRUNED
16,0.21875,2025-09-12 09:50:39.042983,2025-09-12 09:50:44.596234,0 days 00:00:05.553251,leakyrelu,decreasing,32,False,0.30000000000000004,,,,,256.0,4.0,0.001,,L2,,,,,True,1,RMSprop,max,,0.0,0.21875,,,,,PRUNED
