number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.24814536785968996,COMPLETE,2025-11-22 11:05:31.391485,2025-11-22 11:08:37.868085,0 days 00:03:06.476600,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.39197105325245196,COMPLETE,2025-11-22 11:08:37.868085,2025-11-22 11:14:20.450615,0 days 00:05:42.582530,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.4134528376291457,COMPLETE,2025-11-22 11:14:20.454825,2025-11-22 11:15:43.712238,0 days 00:01:23.257413,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.41659425149799756,COMPLETE,2025-11-22 11:15:43.715420,2025-11-22 11:20:12.410063,0 days 00:04:28.694643,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.21637426900584797,PRUNED,2025-11-22 11:20:12.416421,2025-11-22 11:21:00.784716,0 days 00:00:48.368295,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21839080459770113,PRUNED,2025-11-22 11:21:00.784716,2025-11-22 11:21:47.279573,0 days 00:00:46.494857,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.3123407374737799,COMPLETE,2025-11-22 11:21:47.279573,2025-11-22 11:25:01.798348,0 days 00:03:14.518775,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21758419036095988,COMPLETE,2025-11-22 11:25:01.800348,2025-11-22 11:30:31.926446,0 days 00:05:30.126098,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.34920634920634924,PRUNED,2025-11-22 11:30:31.934579,2025-11-22 11:30:56.825769,0 days 00:00:24.891190,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.21839080459770113,PRUNED,2025-11-22 11:30:56.832769,2025-11-22 11:31:02.361266,0 days 00:00:05.528497,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.0898876404494382,PRUNED,2025-11-22 11:31:02.361266,2025-11-22 11:33:54.183810,0 days 00:02:51.822544,elu,48,True,0.30000000000000004,512.0,0.0002,,L2,True,3,RMSprop,mean,1e-06,"[1024, 896, 768]","[1, 2, 3]","[2, 3]",False
11,0.41595711352012604,COMPLETE,2025-11-22 11:33:54.183810,2025-11-22 11:37:20.652331,0 days 00:03:26.468521,tanh,48,True,0.2,1024.0,5e-05,,L2,False,3,RMSprop,last,2e-06,"[448, 384, 256]","[1, 3]",[3],False
12,0.21839080459770113,PRUNED,2025-11-22 11:37:20.655342,2025-11-22 11:37:38.680762,0 days 00:00:18.025420,tanh,48,True,0.2,128.0,5e-05,,L2,False,3,RMSprop,mean,1e-07,"[448, 384, 256]","[1, 3]",[3],False
13,0.352463768115942,PRUNED,2025-11-22 11:37:38.680762,2025-11-22 11:38:02.044800,0 days 00:00:23.364038,,128,True,0.2,,0.0001,,L2,False,3,RMSprop,max,2e-06,"[640, 512, 448]","[1, 3]",[3],False
14,0.458501969846765,COMPLETE,2025-11-22 11:38:02.044800,2025-11-22 11:45:04.865965,0 days 00:07:02.821165,relu,48,True,0.1,1024.0,5e-05,,L2,True,4,RMSprop,mean,2e-06,"[448, 384, 256, 192]","[1, 2, 3]",[2],False
15,0.4556885824435687,COMPLETE,2025-11-22 11:45:04.869307,2025-11-22 11:52:41.948144,0 days 00:07:37.078837,relu,48,True,0.1,128.0,5e-05,,L2,True,4,RMSprop,mean,2e-06,"[640, 512, 448, 384]","[1, 2, 3]",[2],False
16,0.2182890855457227,PRUNED,2025-11-22 11:52:41.951162,2025-11-22 11:52:56.793290,0 days 00:00:14.842128,relu,96,True,0.1,128.0,0.0001,,L2,True,4,Adam,mean,1e-07,"[384, 256, 192, 128]","[1, 2, 3]",[2],False
17,0.21839080459770113,PRUNED,2025-11-22 11:52:56.794307,2025-11-22 11:53:47.001454,0 days 00:00:50.207147,relu,128,True,0.0,128.0,0.0002,,L2,True,4,RMSprop,mean,5e-07,"[896, 768, 640, 512]","[2, 3]",[2],False
18,0.2222222222222222,PRUNED,2025-11-22 11:53:47.002461,2025-11-22 11:54:28.313379,0 days 00:00:41.310918,relu,64,True,0.1,512.0,1e-05,,L2,True,4,RMSprop,mean,2e-07,"[512, 448, 384, 256]","[1, 2, 3]",[2],False
19,0.1761006289308176,PRUNED,2025-11-22 11:54:28.314380,2025-11-22 11:55:11.680278,0 days 00:00:43.365898,relu,48,True,0.1,128.0,0.01,,L2,True,4,RMSprop,mean,1e-06,"[384, 256, 192, 128]","[1, 2, 3]",[2],False
20,0.21839080459770113,PRUNED,2025-11-22 11:55:11.682369,2025-11-22 11:56:16.764929,0 days 00:01:05.082560,leakyrelu,48,True,0.0,1024.0,2e-05,,L2,True,4,Adam,max,2e-06,"[768, 640, 512, 448]","[1, 2, 3]",[2],False
21,0.1761006289308176,PRUNED,2025-11-22 11:56:16.765944,2025-11-22 11:57:14.786091,0 days 00:00:58.020147,,48,True,0.30000000000000004,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
22,0.3141343925852367,PRUNED,2025-11-22 11:57:14.787098,2025-11-22 11:59:32.865644,0 days 00:02:18.078546,,48,True,0.2,,5e-05,,L2,True,4,RMSprop,mean,2e-06,"[512, 448, 384, 256]","[1, 2, 3]","[1, 2]",False
23,0.4081992337164751,PRUNED,2025-11-22 11:59:32.867646,2025-11-22 12:01:02.101785,0 days 00:01:29.234139,silu,48,True,0.1,1024.0,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[2, 3]",False
24,0.1806853582554517,PRUNED,2025-11-22 12:01:02.103786,2025-11-22 12:03:02.664755,0 days 00:02:00.560969,elu,48,True,0.4,128.0,0.002,,L2,True,4,RMSprop,mean,2e-06,"[768, 640, 512, 448]","[1, 2, 3]","[1, 2]",False
25,0.35166248633352626,PRUNED,2025-11-22 12:03:02.666815,2025-11-22 12:03:29.145842,0 days 00:00:26.479027,relu,48,True,0.1,256.0,5e-05,,L2,True,2,RMSprop,mean,2e-06,"[384, 256]","[2, 3]","[2, 3]",False
26,0.21637426900584797,PRUNED,2025-11-22 12:03:29.146863,2025-11-22 12:05:33.342852,0 days 00:02:04.195989,relu,64,True,0.2,512.0,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[256, 192, 128]","[1, 2, 3]","[1, 2, 3]",False
27,0.2826908280551542,COMPLETE,2025-11-22 12:05:33.344855,2025-11-22 12:08:15.279241,0 days 00:02:41.934386,relu,128,True,0.0,1024.0,5e-05,,L2,True,4,RMSprop,mean,1e-07,"[512, 448, 384, 256]","[1, 2]","[2, 3]",False
28,0.4714719276075555,COMPLETE,2025-11-22 12:08:15.283499,2025-11-22 12:22:25.427218,0 days 00:14:10.143719,,48,True,0.30000000000000004,,5e-05,,L2,True,4,Adam,max,1e-06,"[1024, 1024, 1024, 1024]",[],[],True
29,0.21839080459770113,PRUNED,2025-11-22 12:22:25.429230,2025-11-22 12:23:05.375796,0 days 00:00:39.946566,gelu,96,False,0.4,128.0,2e-05,,minmax,True,4,Adam,max,1e-06,"[896, 896, 896, 896]",[],[],True
30,0.21839080459770113,PRUNED,2025-11-22 12:23:05.376914,2025-11-22 12:27:20.020823,0 days 00:04:14.643909,,16,True,0.30000000000000004,,0.01,,L2,True,4,Adam,max,1e-05,"[1024, 1024, 1024, 1024]",[],[],True
31,0.21839080459770113,PRUNED,2025-11-22 12:27:20.028404,2025-11-22 12:28:46.912005,0 days 00:01:26.883601,,48,True,0.30000000000000004,,5e-05,,L2,True,4,Adam,max,1e-06,"[512, 512, 512, 512]",[],[],True
32,0.17777777777777778,PRUNED,2025-11-22 12:28:46.913009,2025-11-22 12:31:05.940982,0 days 00:02:19.027973,,48,True,0.2,,5e-05,,L2,True,3,AdamW,max,1e-06,"[256, 256, 256]",[],[],True
33,0.41814336031746835,COMPLETE,2025-11-22 12:31:05.940982,2025-11-22 12:36:15.950132,0 days 00:05:10.009150,,48,True,0.1,,5e-05,,L2,True,4,Adam,attention,2e-07,"[640, 640, 640, 640]",[],[],True
34,0.1761006289308176,PRUNED,2025-11-22 12:36:15.953133,2025-11-22 12:36:43.534550,0 days 00:00:27.581417,leakyrelu,48,False,0.1,1024.0,5e-05,,minmax,True,4,Adam,attention,2e-07,"[640, 640, 640, 640]",[],[],True
35,0.3695806680881308,PRUNED,2025-11-22 12:36:43.536082,2025-11-22 12:39:35.610954,0 days 00:02:52.074872,,32,True,0.1,,1e-05,,L2,True,4,Adam,attention,2e-07,"[768, 768, 768, 768]",[],[],True
36,0.21839080459770113,PRUNED,2025-11-22 12:39:35.611955,2025-11-22 12:40:36.969645,0 days 00:01:01.357690,,48,False,0.0,,5e-05,,L2,True,4,AdamW,attention,2e-07,"[1024, 1024, 1024, 1024]",[],[],True
37,0.08239700374531835,PRUNED,2025-11-22 12:40:36.970649,2025-11-22 12:42:36.898988,0 days 00:01:59.928339,silu,48,True,0.5,1024.0,0.002,,minmax,True,4,Adam,last,5e-07,"[768, 768, 768, 768]",[],[],True
38,0.1761006289308176,PRUNED,2025-11-22 12:42:36.899992,2025-11-22 12:44:07.882042,0 days 00:01:30.982050,elu,32,True,0.4,768.0,0.0002,,L2,True,4,Adam,attention,2e-07,"[192, 256, 384, 448]","[1, 2, 3]",[2],False
39,0.21839080459770113,PRUNED,2025-11-22 12:44:07.883022,2025-11-22 12:44:36.092093,0 days 00:00:28.209071,relu,48,True,0.1,256.0,0.001,,L2,True,3,AdamW,last,0.0,"[64, 64, 64]",[],[],True
40,0.08888888888888889,PRUNED,2025-11-22 12:44:36.094099,2025-11-22 12:45:12.790689,0 days 00:00:36.696590,,16,False,0.0,,0.0001,0.1,minmax,False,2,SGD,attention,1e-05,"[448, 448]",[],[],True
41,0.21839080459770113,PRUNED,2025-11-22 12:45:12.791693,2025-11-22 12:45:53.768688,0 days 00:00:40.976995,,48,True,0.0,,5e-05,,L2,True,1,Adam,max,2e-06,[1024],[],[],True
42,0.0898876404494382,PRUNED,2025-11-22 12:45:53.770691,2025-11-22 12:47:58.513667,0 days 00:02:04.742976,,48,True,0.30000000000000004,,5e-05,0.30000000000000004,L2,True,3,SGD,attention,1e-06,"[640, 640, 640]",[],[],True
43,0.345679012345679,PRUNED,2025-11-22 12:47:58.514673,2025-11-22 12:49:19.517017,0 days 00:01:21.002344,relu,48,True,0.1,768.0,5e-05,,L2,True,4,RMSprop,mean,2e-06,"[512, 640, 768, 896]","[1, 2, 3]","[1, 2]",False
44,0.17777777777777778,PRUNED,2025-11-22 12:49:19.518017,2025-11-22 12:51:34.184404,0 days 00:02:14.666387,,64,True,0.2,,5e-05,,L2,True,3,Adam,mean,0.0,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
45,0.21839080459770113,PRUNED,2025-11-22 12:51:34.184404,2025-11-22 12:53:02.724793,0 days 00:01:28.540389,silu,96,True,0.2,128.0,2e-05,,L2,False,4,RMSprop,last,5e-07,"[1024, 1024, 1024, 1024]",[],[],True
46,0.2936136055918269,COMPLETE,2025-11-22 12:53:02.727415,2025-11-22 12:57:30.906543,0 days 00:04:28.179128,relu,48,True,0.1,512.0,0.001,,L2,True,2,AdamW,attention,2e-06,"[896, 768]","[1, 2, 3]","[1, 2, 3]",False
47,0.21758419036095988,COMPLETE,2025-11-22 12:57:30.909546,2025-11-22 13:00:49.466901,0 days 00:03:18.557355,,32,False,0.30000000000000004,,5e-05,,minmax,True,4,RMSprop,mean,2e-07,"[448, 384, 256, 192]","[1, 2, 3]",[2],False
48,0.1826661319448693,COMPLETE,2025-11-22 13:00:49.470279,2025-11-22 13:02:57.654669,0 days 00:02:08.184390,gelu,128,True,0.1,256.0,1e-05,0.5,L2,False,4,SGD,max,1e-07,"[256, 384, 448, 512]","[1, 3]",[],False
49,0.08239700374531835,PRUNED,2025-11-22 13:02:57.657194,2025-11-22 13:03:58.148977,0 days 00:01:00.491783,leakyrelu,48,True,0.2,1024.0,0.01,,L2,True,3,Adam,mean,1e-06,"[192, 192, 192]",[],[],True
