number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.42664076742529944,2025-09-11 18:33:48.146708,2025-09-11 18:34:24.408583,0 days 00:00:36.261875,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.26622348844571064,0.23627844712182058,0.423397237682952,0.178030303030303,0.21640488656195464,COMPLETE
1,0.08888888888888889,2025-09-11 18:34:24.410583,2025-09-11 18:34:27.252303,0 days 00:00:02.841720,silu,decreasing,96,False,0.1,False,True,False,True,64.0,9.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.08888888888888889,,,,,PRUNED
2,0.21761658031088082,2025-09-11 18:34:27.252303,2025-09-11 18:34:30.346541,0 days 00:00:03.094238,relu,decreasing,16,True,0.4,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,,,,,PRUNED
3,0.21759048895761182,2025-09-11 18:34:30.347542,2025-09-11 18:35:07.181687,0 days 00:00:36.834145,tanh,increasing,96,True,0.4,,,,,128.0,12.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.178030303030303,0.178030303030303,,,,COMPLETE
4,0.28914767295002897,2025-09-11 18:35:07.181687,2025-09-11 18:35:54.693917,0 days 00:00:47.512230,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,10.0,2e-07,0.21761658031088082,0.21875,0.21875,0.178030303030303,,COMPLETE
5,0.2671010538277346,2025-09-11 18:35:54.695064,2025-09-11 18:38:07.450063,0 days 00:02:12.754999,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.178030303030303,,,,COMPLETE
6,0.17702448210922786,2025-09-11 18:38:07.451062,2025-09-11 18:38:23.111158,0 days 00:00:15.660096,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,13.0,2e-07,0.17702448210922786,,,,,PRUNED
7,0.3500614611725723,2025-09-11 18:38:23.111158,2025-09-11 18:38:41.380400,0 days 00:00:18.269242,,increasing,64,False,0.2,True,,,,,10.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.29985119047619047,0.28174603174603174,0.3500614611725723,,,PRUNED
8,0.08888888888888889,2025-09-11 18:38:41.381442,2025-09-11 18:38:42.724742,0 days 00:00:01.343300,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.08888888888888889,,,,,PRUNED
9,0.21761658031088082,2025-09-11 18:38:42.724997,2025-09-11 18:38:47.001508,0 days 00:00:04.276511,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,3.0,5e-07,0.21761658031088082,,,,,PRUNED
10,0.43764856556669435,2025-09-11 18:38:47.003510,2025-09-11 18:39:06.344535,0 days 00:00:19.341025,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.387115937993131,0.21875,0.178030303030303,,,COMPLETE
11,0.4129502316299827,2025-09-11 18:39:06.346289,2025-09-11 18:39:23.283007,0 days 00:00:16.936718,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.31113271754982985,0.2869674185463659,0.21875,0.178030303030303,,COMPLETE
12,0.21761658031088082,2025-09-11 18:39:23.285008,2025-09-11 18:39:24.772214,0 days 00:00:01.487206,elu,uniform,32,False,0.1,,,,,256.0,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21761658031088082,,,,,PRUNED
13,0.17702448210922786,2025-09-11 18:39:24.773216,2025-09-11 18:39:26.550594,0 days 00:00:01.777378,,uniform,32,False,0.30000000000000004,False,,,,,,0.01,,L2,True,,,,False,2,RMSprop,max,5.0,1e-05,0.17702448210922786,,,,,PRUNED
14,0.31019038764703505,2025-09-11 18:39:26.550594,2025-09-11 18:39:37.339259,0 days 00:00:10.788665,,uniform,32,False,0.1,True,True,False,,,,0.001,,L2,True,True,True,,True,4,RMSprop,max,3.0,1e-07,0.21761658031088082,0.29747265359660835,0.31019038764703505,,,PRUNED
15,0.2962962962962963,2025-09-11 18:39:37.343446,2025-09-11 18:39:40.128802,0 days 00:00:02.785356,,uniform,16,False,0.30000000000000004,,,,,,,0.002,,L2,,,,,False,1,RMSprop,max,2.0,0.0,0.2962962962962963,0.2962962962962963,,,,PRUNED
16,0.21761658031088082,2025-09-11 18:39:40.135505,2025-09-11 18:39:43.636522,0 days 00:00:03.501017,leakyrelu,decreasing,32,False,0.2,False,,,,256.0,6.0,2e-05,,L2,True,,,,True,2,RMSprop,max,,1e-05,0.21761658031088082,0.21761658031088082,,,,PRUNED
17,0.4072731075065028,2025-09-11 18:39:43.637521,2025-09-11 18:41:00.408273,0 days 00:01:16.770752,gelu,uniform,16,False,0.0,False,True,,,1024.0,,0.0002,,L2,True,True,,,False,3,RMSprop,max,7.0,1e-05,0.38133563284468713,0.3513538748832867,0.21875,0.178030303030303,,COMPLETE
18,0.21761658031088082,2025-09-11 18:41:00.409273,2025-09-11 18:41:02.706804,0 days 00:00:02.297531,tanh,uniform,96,False,0.5,True,True,False,,512.0,,5e-05,,L2,False,True,True,,True,4,RMSprop,max,0.0,2e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
19,0.08888888888888889,2025-09-11 18:41:02.707804,2025-09-11 18:41:15.943636,0 days 00:00:13.235832,,decreasing,64,False,0.4,,,,,,13.0,0.01,,L2,,,,,False,1,Adam,last,,1e-07,0.08888888888888889,,,,,PRUNED
20,0.21761658031088082,2025-09-11 18:41:15.944636,2025-09-11 18:41:18.788405,0 days 00:00:02.843769,,uniform,128,False,0.30000000000000004,False,True,,,,,1e-05,,L2,True,True,,,True,3,RMSprop,max,5.0,0.0,0.21761658031088082,,,,,PRUNED
21,0.316067947646895,2025-09-11 18:41:18.795464,2025-09-11 18:41:20.879105,0 days 00:00:02.083641,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.316067947646895,,,,,PRUNED
22,0.342820813771518,2025-09-11 18:41:20.885613,2025-09-11 18:41:25.366226,0 days 00:00:04.480613,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,2.0,1e-05,0.21761658031088082,0.3568925383060906,0.342820813771518,,,PRUNED
23,0.43957008719966684,2025-09-11 18:41:25.367226,2025-09-11 18:41:55.787524,0 days 00:00:30.420298,,uniform,32,False,0.1,False,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,1.0,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
24,0.4435639869714656,2025-09-11 18:41:55.793262,2025-09-11 18:42:28.462737,0 days 00:00:32.669475,,uniform,32,False,0.1,False,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,2.0,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
25,0.2997979797979798,2025-09-11 18:42:28.464738,2025-09-11 18:42:31.666921,0 days 00:00:03.202183,,uniform,32,False,0.1,False,,,,,,0.001,,L2,True,,,,False,2,RMSprop,max,5.0,1e-05,0.2997979797979798,,,,,PRUNED
26,0.178030303030303,2025-09-11 18:42:31.666921,2025-09-11 18:42:44.348875,0 days 00:00:12.681954,elu,uniform,32,True,0.0,False,,,,64.0,,0.001,,minmax,True,,,,False,2,RMSprop,max,2.0,1e-05,0.21875,0.178030303030303,,,,PRUNED
27,0.2475262977182633,2025-09-11 18:42:44.349873,2025-09-11 18:43:06.652337,0 days 00:00:22.302464,gelu,uniform,32,False,0.1,False,False,True,,768.0,,0.001,,L2,True,False,False,,False,4,Adam,max,8.0,1e-05,0.2475262977182633,,,,,PRUNED
28,0.21761658031088082,2025-09-11 18:43:06.653336,2025-09-11 18:43:09.505321,0 days 00:00:02.851985,tanh,increasing,32,False,0.1,False,,,,128.0,0.0,0.001,,L2,True,,,,False,2,AdamW,last,,0.0,0.21761658031088082,,,,,PRUNED
