number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.23961626642818942,COMPLETE,2025-11-22 13:03:59.917350,2025-11-22 13:07:14.427385,0 days 00:03:14.510035,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.31559793973587075,COMPLETE,2025-11-22 13:07:14.429387,2025-11-22 13:11:06.892859,0 days 00:03:52.463472,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.4582774338161492,COMPLETE,2025-11-22 13:11:06.892859,2025-11-22 13:13:03.421445,0 days 00:01:56.528586,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.1761006289308176,PRUNED,2025-11-22 13:13:03.424987,2025-11-22 13:13:23.988382,0 days 00:00:20.563395,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.43944139681308203,COMPLETE,2025-11-22 13:13:23.988382,2025-11-22 13:14:47.602669,0 days 00:01:23.614287,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21839080459770113,PRUNED,2025-11-22 13:14:47.605273,2025-11-22 13:17:44.872445,0 days 00:02:57.267172,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.21839080459770113,PRUNED,2025-11-22 13:17:44.872445,2025-11-22 13:18:15.873934,0 days 00:00:31.001489,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21758419036095988,COMPLETE,2025-11-22 13:18:15.874937,2025-11-22 13:23:57.301718,0 days 00:05:41.426781,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.1806853582554517,PRUNED,2025-11-22 13:23:57.304751,2025-11-22 13:24:59.224741,0 days 00:01:01.919990,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.1806853582554517,PRUNED,2025-11-22 13:24:59.224741,2025-11-22 13:25:12.049007,0 days 00:00:12.824266,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.43936516135313,COMPLETE,2025-11-22 13:25:12.050011,2025-11-22 13:26:41.363019,0 days 00:01:29.313008,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
11,0.21758419036095988,COMPLETE,2025-11-22 13:26:41.363509,2025-11-22 13:27:17.387104,0 days 00:00:36.023595,tanh,128,False,0.0,512.0,5e-05,,L2,False,1,AdamW,last,5e-07,[896],[],[],True
12,0.21839080459770113,PRUNED,2025-11-22 13:27:17.389762,2025-11-22 13:27:28.041414,0 days 00:00:10.651652,elu,48,False,0.0,128.0,5e-05,,L2,True,1,AdamW,last,1e-07,[640],[],[],True
13,0.45660017373122325,COMPLETE,2025-11-22 13:27:28.041414,2025-11-22 13:29:03.547231,0 days 00:01:35.505817,tanh,32,False,0.0,1024.0,0.0001,,L2,False,1,AdamW,last,5e-07,[512],[],[],True
14,0.25144366491799924,COMPLETE,2025-11-22 13:29:03.550246,2025-11-22 13:29:59.247887,0 days 00:00:55.697641,tanh,128,False,0.1,1024.0,0.0001,,L2,False,2,RMSprop,max,5e-07,"[384, 384]",[],[],True
15,0.3987129987129987,PRUNED,2025-11-22 13:29:59.254506,2025-11-22 13:30:23.294026,0 days 00:00:24.039520,tanh,64,False,0.0,1024.0,0.0001,,minmax,False,1,Adam,last,2e-06,[768],[],[],True
16,0.3942916993977481,PRUNED,2025-11-22 13:30:23.297320,2025-11-22 13:31:21.569344,0 days 00:00:58.272024,relu,96,False,0.0,1024.0,0.0001,,L2,False,3,AdamW,last,1e-06,"[1024, 896, 768]",[3],[3],False
17,0.17777777777777778,PRUNED,2025-11-22 13:31:21.569344,2025-11-22 13:32:03.374788,0 days 00:00:41.805444,leakyrelu,48,False,0.2,512.0,0.01,,minmax,False,2,AdamW,last,1e-07,"[448, 448]",[],[],True
18,0.21758419036095988,COMPLETE,2025-11-22 13:32:03.379380,2025-11-22 13:34:04.141004,0 days 00:02:00.761624,silu,32,True,0.0,128.0,1e-05,,minmax,False,1,AdamW,mean,2e-07,[1024],[],[],True
