number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.42510415425148157,2025-09-12 11:54:09.964066,2025-09-12 11:55:01.724716,0 days 00:00:51.760650,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.21640488656195464,,,,COMPLETE
1,0.1596716514189227,2025-09-12 11:55:01.725716,2025-09-12 11:56:23.055269,0 days 00:01:21.329553,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.08558558558558559,0.08558558558558559,0.21640488656195464,,,COMPLETE
2,0.21759048895761182,2025-09-12 11:56:23.057270,2025-09-12 11:57:52.230340,0 days 00:01:29.173070,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
3,0.178030303030303,2025-09-12 11:57:52.232341,2025-09-12 11:58:14.613378,0 days 00:00:22.381037,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.178030303030303,,,,,PRUNED
4,0.17702448210922786,2025-09-12 11:58:14.614378,2025-09-12 11:58:31.596201,0 days 00:00:16.981823,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.17702448210922786,,,,,PRUNED
5,0.21759048895761182,2025-09-12 11:58:31.598201,2025-09-12 12:02:32.314380,0 days 00:04:00.716179,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
6,0.2701453874949692,2025-09-12 12:02:32.316381,2025-09-12 12:10:25.828500,0 days 00:07:53.512119,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,,COMPLETE
7,0.178030303030303,2025-09-12 12:10:25.830501,2025-09-12 12:11:19.512583,0 days 00:00:53.682082,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21761658031088082,0.21875,0.21875,0.178030303030303,,PRUNED
8,0.178030303030303,2025-09-12 12:11:19.514584,2025-09-12 12:11:33.261678,0 days 00:00:13.747094,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.08558558558558559,0.08558558558558559,0.178030303030303,,,PRUNED
9,0.178030303030303,2025-09-12 12:11:33.262678,2025-09-12 12:13:16.453904,0 days 00:01:43.191226,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.178030303030303,0.178030303030303,0.178030303030303,,,PRUNED
10,0.4033557137473574,2025-09-12 12:13:16.454905,2025-09-12 12:13:43.120906,0 days 00:00:26.666001,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.42487143785389403,0.21875,0.37517094017094016,,,COMPLETE
11,0.39882893866888774,2025-09-12 12:13:43.122907,2025-09-12 12:14:07.111306,0 days 00:00:23.988399,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.21875,0.21875,0.38010382497512735,,,COMPLETE
