number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.2386119117943608,COMPLETE,2025-11-22 14:18:09.207557,2025-11-22 14:20:59.371068,0 days 00:02:50.163511,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.21758419036095988,COMPLETE,2025-11-22 14:20:59.373068,2025-11-22 14:23:59.595378,0 days 00:03:00.222310,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.32646949514800616,COMPLETE,2025-11-22 14:23:59.597380,2025-11-22 14:25:40.690751,0 days 00:01:41.093371,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.21758419036095988,COMPLETE,2025-11-22 14:25:40.691751,2025-11-22 14:28:35.785566,0 days 00:02:55.093815,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.21637426900584797,PRUNED,2025-11-22 14:28:35.801686,2025-11-22 14:29:27.548159,0 days 00:00:51.746473,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.1806853582554517,PRUNED,2025-11-22 14:29:27.550162,2025-11-22 14:32:21.114382,0 days 00:02:53.564220,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.23014962481544982,COMPLETE,2025-11-22 14:32:21.114382,2025-11-22 14:34:54.961707,0 days 00:02:33.847325,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21758419036095988,COMPLETE,2025-11-22 14:34:54.963710,2025-11-22 14:40:27.586362,0 days 00:05:32.622652,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.27725779732708433,COMPLETE,2025-11-22 14:40:27.588553,2025-11-22 14:42:32.152347,0 days 00:02:04.563794,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.1761006289308176,PRUNED,2025-11-22 14:42:32.155613,2025-11-22 14:42:39.112056,0 days 00:00:06.956443,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
