number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.3750985045414316,2025-09-12 13:27:20.176128,2025-09-12 13:28:12.288856,0 days 00:00:52.112728,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.21875,0.178030303030303,,COMPLETE
1,0.178030303030303,2025-09-12 13:28:12.290856,2025-09-12 13:28:39.906072,0 days 00:00:27.615216,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.3,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.178030303030303,,,,PRUNED
2,0.2175904889576118,2025-09-12 13:28:39.907073,2025-09-12 13:30:09.026131,0 days 00:01:29.119058,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21875,0.2164048865619546,,,COMPLETE
3,0.2175904889576118,2025-09-12 13:30:09.028132,2025-09-12 13:31:05.943943,0 days 00:00:56.915811,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.2176165803108808,0.21875,0.21875,0.178030303030303,COMPLETE
4,0.2175904889576118,2025-09-12 13:31:05.944942,2025-09-12 13:32:18.401250,0 days 00:01:12.456308,leakyrelu,uniform,128,False,0.3,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21875,0.2164048865619546,,,COMPLETE
5,0.178030303030303,2025-09-12 13:32:18.402250,2025-09-12 13:34:50.744868,0 days 00:02:32.342618,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.178030303030303,,,PRUNED
6,0.178030303030303,2025-09-12 13:34:50.746869,2025-09-12 13:37:08.876958,0 days 00:02:18.130089,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.2176165803108808,0.178030303030303,,,PRUNED
7,0.2926589802237471,2025-09-12 13:37:08.877959,2025-09-12 13:38:25.691279,0 days 00:01:16.813320,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.21875,0.21875,0.178030303030303,,COMPLETE
8,0.178030303030303,2025-09-12 13:38:25.693280,2025-09-12 13:38:32.690854,0 days 00:00:06.997574,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.2176165803108808,0.178030303030303,,,PRUNED
9,0.2175904889576118,2025-09-12 13:38:32.691855,2025-09-12 13:40:57.517452,0 days 00:02:24.825597,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21875,0.21875,0.2164048865619546,,COMPLETE
10,0.178030303030303,2025-09-12 13:40:57.519452,2025-09-12 13:41:04.475018,0 days 00:00:06.955566,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.178030303030303,,,,PRUNED
11,0.178030303030303,2025-09-12 13:41:04.476018,2025-09-12 13:41:22.233015,0 days 00:00:17.756997,,increasing,64,False,0.2,True,,,,,6.0,0.001,,L2,True,,,,False,2,RMSprop,max,,0.0,0.178030303030303,,,,PRUNED
12,0.178030303030303,2025-09-12 13:41:22.234015,2025-09-12 13:41:33.523556,0 days 00:00:11.289541,elu,uniform,64,False,0.1,True,,,,256.0,,0.001,,L2,True,,,,False,2,AdamW,max,4.0,1e-07,0.178030303030303,,,,PRUNED
