number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.22273719827258848,COMPLETE,2025-11-22 17:18:57.311305,2025-11-22 17:22:56.884009,0 days 00:03:59.572704,,16,False,0.5,,0.001,0.5,minmax,True,2,SGD,attention,1e-05,"[128, 128]",[],[],True
1,0.3001488880872317,COMPLETE,2025-11-22 17:22:56.885683,2025-11-22 17:28:22.599532,0 days 00:05:25.713849,silu,32,False,0.1,1024.0,2e-05,,minmax,True,4,AdamW,last,0.0,"[64, 128, 192, 256]",[2],"[2, 3]",False
2,0.45559265729873977,COMPLETE,2025-11-22 17:28:22.602035,2025-11-22 17:31:24.207885,0 days 00:03:01.605850,tanh,48,False,0.0,1024.0,5e-05,,minmax,False,1,AdamW,last,2e-06,[896],[],[],True
3,0.45239443141070657,COMPLETE,2025-11-22 17:31:24.211437,2025-11-22 17:39:26.738516,0 days 00:08:02.527079,,48,True,0.2,,5e-05,,L2,True,3,RMSprop,mean,2e-06,"[640, 512, 448]","[1, 2, 3]","[1, 2, 3]",False
4,0.1931372549019608,PRUNED,2025-11-22 17:39:26.742105,2025-11-22 17:40:28.631213,0 days 00:01:01.889108,tanh,32,False,0.0,768.0,5e-05,,L2,True,1,AdamW,last,5e-07,[512],[],[],True
5,0.21839080459770113,PRUNED,2025-11-22 17:40:28.632235,2025-11-22 17:44:28.702722,0 days 00:04:00.070487,relu,16,True,0.0,256.0,0.01,0.7000000000000001,L2,True,3,SGD,attention,2e-07,"[448, 384, 256]","[2, 3]","[1, 2, 3]",False
6,0.17777777777777778,PRUNED,2025-11-22 17:44:28.703730,2025-11-22 17:47:01.077978,0 days 00:02:32.374248,,32,True,0.0,,0.002,0.1,minmax,True,2,SGD,attention,2e-06,"[384, 384]",[],[],True
7,0.21758419036095988,COMPLETE,2025-11-22 17:47:01.079004,2025-11-22 17:56:10.327844,0 days 00:09:09.248840,gelu,16,True,0.4,768.0,1e-05,0.9,minmax,False,2,SGD,max,0.0,"[768, 896]","[1, 2, 3]","[1, 2, 3]",False
8,0.4050061692478348,COMPLETE,2025-11-22 17:56:10.331350,2025-11-22 17:59:09.119664,0 days 00:02:58.788314,gelu,64,False,0.2,256.0,0.001,,L2,False,4,Adam,attention,0.0,"[64, 128, 192, 256]",[1],"[1, 3]",False
9,0.08888888888888889,PRUNED,2025-11-22 17:59:09.123192,2025-11-22 17:59:18.701455,0 days 00:00:09.578263,leakyrelu,96,False,0.0,768.0,0.001,0.9,minmax,False,1,SGD,mean,1e-05,[128],[],[],True
10,0.4656638667247666,COMPLETE,2025-11-22 17:59:18.702473,2025-11-22 18:02:23.558301,0 days 00:03:04.855828,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
11,0.4983762470083645,COMPLETE,2025-11-22 18:02:23.561804,2025-11-22 18:06:06.569682,0 days 00:03:43.007878,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
12,0.17777777777777778,PRUNED,2025-11-22 18:06:06.573219,2025-11-22 18:08:03.381042,0 days 00:01:56.807823,elu,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
13,0.4135054938117106,COMPLETE,2025-11-22 18:08:03.383311,2025-11-22 18:09:17.795677,0 days 00:01:14.412366,tanh,128,False,0.0,512.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[768],[],[],True
14,0.1806853582554517,PRUNED,2025-11-22 18:09:17.798978,2025-11-22 18:10:26.249119,0 days 00:01:08.450141,tanh,48,False,0.1,128.0,0.0002,,minmax,False,2,RMSprop,max,1e-06,"[1024, 1024]",[],[],True
15,0.47264526115714756,COMPLETE,2025-11-22 18:10:26.250197,2025-11-22 18:12:16.683206,0 days 00:01:50.433009,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,Adam,last,1e-07,[640],[],[],True
16,0.21758419036095988,COMPLETE,2025-11-22 18:12:16.691075,2025-11-22 18:15:34.463886,0 days 00:03:17.772811,relu,96,False,0.0,1024.0,0.0001,,minmax,False,3,Adam,last,1e-07,"[1024, 896, 768]",[3],[3],False
17,0.21839080459770113,PRUNED,2025-11-22 18:15:34.465898,2025-11-22 18:16:05.250900,0 days 00:00:30.785002,leakyrelu,128,False,0.0,512.0,0.0001,,minmax,False,2,Adam,last,1e-07,"[640, 640]",[],[],True
18,0.1806853582554517,PRUNED,2025-11-22 18:16:05.251917,2025-11-22 18:16:35.924131,0 days 00:00:30.672214,silu,64,True,0.0,128.0,0.0001,,L2,False,1,Adam,mean,1e-07,[384],[],[],True
19,0.1806853582554517,PRUNED,2025-11-22 18:16:35.925136,2025-11-22 18:17:19.699929,0 days 00:00:43.774793,elu,48,False,0.0,1024.0,0.01,,minmax,False,2,Adam,max,2e-07,"[384, 256]","[1, 2, 3]","[2, 3]",False
20,0.29180312666376024,COMPLETE,2025-11-22 18:17:19.700929,2025-11-22 18:18:59.534455,0 days 00:01:39.833526,tanh,48,False,0.0,1024.0,2e-05,,minmax,False,1,RMSprop,last,5e-07,[640],[],[],True
21,0.4886585991821307,COMPLETE,2025-11-22 18:18:59.537555,2025-11-22 18:22:18.870987,0 days 00:03:19.333432,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[1024],[],[],True
22,0.17777777777777778,PRUNED,2025-11-22 18:22:18.875026,2025-11-22 18:23:46.136186,0 days 00:01:27.261160,tanh,48,False,0.0,1024.0,0.0002,,minmax,False,1,AdamW,last,1e-06,[768],[],[],True
23,0.23511904761904764,PRUNED,2025-11-22 18:23:46.138214,2025-11-22 18:23:57.651430,0 days 00:00:11.513216,tanh,48,False,0.0,1024.0,0.002,,minmax,False,1,AdamW,last,1e-07,[896],[],[],True
24,0.1806853582554517,PRUNED,2025-11-22 18:23:57.651430,2025-11-22 18:24:38.416154,0 days 00:00:40.764724,tanh,48,False,0.1,1024.0,1e-05,,minmax,False,2,Adam,last,1e-06,"[448, 448]",[],[],True
25,0.5065334252544309,COMPLETE,2025-11-22 18:24:38.417532,2025-11-22 18:27:04.109850,0 days 00:02:25.692318,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,1e-06,[192],[],[],True
26,0.46105982789623534,COMPLETE,2025-11-22 18:27:04.113212,2025-11-22 18:29:31.068549,0 days 00:02:26.955337,tanh,64,True,0.30000000000000004,256.0,0.0002,,L2,False,2,AdamW,last,1e-06,"[128, 128]",[],[],True
27,0.21839080459770113,PRUNED,2025-11-22 18:29:31.071052,2025-11-22 18:29:49.057288,0 days 00:00:17.986236,elu,96,False,0.0,512.0,0.0002,,minmax,False,1,AdamW,mean,1e-06,[192],[],[],True
28,0.08239700374531835,PRUNED,2025-11-22 18:29:49.058294,2025-11-22 18:30:22.810014,0 days 00:00:33.751720,relu,128,False,0.4,128.0,0.0001,,minmax,False,3,AdamW,max,1e-06,"[256, 384, 448]",[3],[3],False
29,0.21839080459770113,PRUNED,2025-11-22 18:30:22.811015,2025-11-22 18:30:48.679109,0 days 00:00:25.868094,,16,False,0.0,,0.0002,,minmax,True,1,AdamW,attention,1e-05,[1024],[],[],True
30,0.21839080459770113,PRUNED,2025-11-22 18:30:48.680114,2025-11-22 18:31:00.549403,0 days 00:00:11.869289,leakyrelu,48,False,0.2,1024.0,2e-05,,minmax,False,2,AdamW,last,1e-06,"[256, 256]",[],[],True
31,0.4627810597681646,COMPLETE,2025-11-22 18:31:00.550905,2025-11-22 18:33:24.523035,0 days 00:02:23.972130,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,Adam,last,1e-06,[64],[],[],True
32,0.4441238709214931,COMPLETE,2025-11-22 18:33:24.527089,2025-11-22 18:35:22.485149,0 days 00:01:57.958060,tanh,48,False,0.0,1024.0,0.0001,,minmax,False,1,AdamW,last,1e-07,[896],[],[],True
