number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
0,0.4237961355297668,2025-09-11 19:59:02.643972,2025-09-11 20:00:22.279315,0 days 00:01:19.635343,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.21761658031088082,0.32217261904761907,0.30122482597374994,0.21875,0.43805704099821746,COMPLETE
1,0.08888888888888889,2025-09-11 20:00:22.281316,2025-09-11 20:00:26.951248,0 days 00:00:04.669932,silu,decreasing,96,False,0.1,False,True,False,True,64.0,9.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.08888888888888889,,,,,PRUNED
2,0.21759048895761182,2025-09-11 20:00:26.953251,2025-09-11 20:01:22.874061,0 days 00:00:55.920810,relu,decreasing,16,True,0.4,False,False,,,512.0,3.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.178030303030303,0.178030303030303,0.21640488656195464,,,COMPLETE
3,0.21761658031088082,2025-09-11 20:01:22.876062,2025-09-11 20:01:34.784734,0 days 00:00:11.908672,tanh,increasing,96,True,0.4,,,,,128.0,12.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.21761658031088082,,,,PRUNED
4,0.21761658031088082,2025-09-11 20:01:34.785734,2025-09-11 20:01:48.033425,0 days 00:00:13.247691,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,10.0,2e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
5,0.21759048895761182,2025-09-11 20:01:48.034425,2025-09-11 20:05:50.834997,0 days 00:04:02.800572,gelu,increasing,128,True,0.0,False,False,True,False,128.0,7.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.17702448210922786,0.21875,0.21875,0.178030303030303,,COMPLETE
6,0.21761658031088082,2025-09-11 20:05:50.836997,2025-09-11 20:07:06.988246,0 days 00:01:16.151249,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,13.0,2e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
7,0.178030303030303,2025-09-11 20:07:06.989246,2025-09-11 20:07:41.039175,0 days 00:00:34.049929,,increasing,64,False,0.2,True,,,,,10.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.2803663878932696,0.28325180526438387,0.178030303030303,,,PRUNED
8,0.17702448210922786,2025-09-11 20:07:41.040175,2025-09-11 20:07:42.928623,0 days 00:00:01.888448,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.17702448210922786,,,,,PRUNED
9,0.21761658031088082,2025-09-11 20:07:42.928623,2025-09-11 20:07:58.662177,0 days 00:00:15.733554,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,3.0,5e-07,0.21761658031088082,0.21761658031088082,,,,PRUNED
