number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 06:11:37.741528,2025-11-26 06:12:25.723848,0 days 00:00:47.982320,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.2885981093921203,COMPLETE,2025-11-26 06:12:25.724848,2025-11-26 06:13:18.558573,0 days 00:00:52.833725,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.3818518138876245,COMPLETE,2025-11-26 06:13:18.561092,2025-11-26 06:15:39.110846,0 days 00:02:20.549754,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.1761006289308176,PRUNED,2025-11-26 06:15:39.112847,2025-11-26 06:17:44.888794,0 days 00:02:05.775947,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.21758419036095988,COMPLETE,2025-11-26 06:17:44.890298,2025-11-26 06:19:01.671474,0 days 00:01:16.781176,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.2564130215593957,COMPLETE,2025-11-26 06:19:01.673475,2025-11-26 06:25:15.921807,0 days 00:06:14.248332,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.11939605110336816,PRUNED,2025-11-26 06:25:15.924854,2025-11-26 06:25:56.009511,0 days 00:00:40.084657,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21758419036095988,COMPLETE,2025-11-26 06:25:56.010511,2025-11-26 06:26:49.162453,0 days 00:00:53.151942,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.1761006289308176,PRUNED,2025-11-26 06:26:49.164525,2025-11-26 06:27:27.487675,0 days 00:00:38.323150,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.21637426900584797,PRUNED,2025-11-26 06:27:27.488675,2025-11-26 06:27:32.818616,0 days 00:00:05.329941,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
10,0.45737414496230083,COMPLETE,2025-11-26 06:27:32.819616,2025-11-26 06:29:32.500860,0 days 00:01:59.681244,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
11,0.1761006289308176,PRUNED,2025-11-26 06:29:32.504879,2025-11-26 06:29:45.340863,0 days 00:00:12.835984,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
12,0.17777777777777778,PRUNED,2025-11-26 06:29:45.341367,2025-11-26 06:30:53.374725,0 days 00:01:08.033358,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
13,0.21839080459770113,PRUNED,2025-11-26 06:30:53.375729,2025-11-26 06:31:26.042249,0 days 00:00:32.666520,,128,False,0.2,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[640, 640, 640]","[2, 3]",[3],True
14,0.1761006289308176,PRUNED,2025-11-26 06:31:26.043251,2025-11-26 06:33:04.738203,0 days 00:01:38.694952,,16,False,0.1,,0.0002,,L2,True,4,RMSprop,mean,1e-07,"[192, 192, 192, 192]","[1, 2]","[2, 3]",True
15,0.2516910866004582,PRUNED,2025-11-26 06:33:04.739204,2025-11-26 06:33:29.849835,0 days 00:00:25.110631,tanh,32,False,0.0,512.0,5e-05,,L2,True,2,RMSprop,attention,1e-05,"[640, 640]","[2, 3]","[1, 2, 3]",True
16,0.17777777777777778,PRUNED,2025-11-26 06:33:29.851340,2025-11-26 06:35:14.937970,0 days 00:01:45.086630,leakyrelu,48,False,0.1,1024.0,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[256, 256, 256]","[2, 3]",[3],True
17,0.1806853582554517,PRUNED,2025-11-26 06:35:14.940026,2025-11-26 06:35:56.599471,0 days 00:00:41.659445,silu,96,False,0.1,128.0,0.0001,,L2,False,2,AdamW,attention,1e-07,"[1024, 1024]","[1, 2, 3]","[2, 3]",True
18,0.21839080459770113,PRUNED,2025-11-26 06:35:56.599471,2025-11-26 06:36:26.674154,0 days 00:00:30.074683,gelu,128,False,0.3,768.0,0.0002,0.0,L2,False,4,SGD,mean,1e-07,"[1024, 896, 768, 640]","[1, 2, 3]",[1],False
19,0.1761006289308176,PRUNED,2025-11-26 06:36:26.675161,2025-11-26 06:36:48.525998,0 days 00:00:21.850837,,128,False,0.4,,0.0002,,L2,True,3,RMSprop,attention,1e-05,"[64, 128, 192]","[2, 3]","[2, 3]",False
20,0.17777777777777778,PRUNED,2025-11-26 06:36:48.528034,2025-11-26 06:37:20.762413,0 days 00:00:32.234379,,128,False,0.2,,2e-05,,L2,True,2,RMSprop,attention,1e-06,"[384, 384]","[1, 2, 3]","[2, 3]",True
21,0.08888888888888889,PRUNED,2025-11-26 06:37:20.764434,2025-11-26 06:37:47.528457,0 days 00:00:26.764023,elu,64,True,0.1,256.0,0.001,,L2,True,3,RMSprop,last,0.0,"[256, 384, 448]","[2, 3]",[3],False
22,0.08888888888888889,PRUNED,2025-11-26 06:37:47.529476,2025-11-26 06:38:13.563308,0 days 00:00:26.033832,elu,64,True,0.0,256.0,0.001,,L2,True,2,RMSprop,last,0.0,"[128, 192]","[2, 3]","[1, 2, 3]",False
23,0.45318344866812144,COMPLETE,2025-11-26 06:38:13.564317,2025-11-26 06:39:58.532792,0 days 00:01:44.968475,,64,True,0.0,,0.001,,L2,True,1,RMSprop,last,1e-07,[512],[],[],True
