number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 08:31:03.817698,2025-11-26 08:31:51.100150,0 days 00:00:47.282452,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.3223825962952637,COMPLETE,2025-11-26 08:31:51.102211,2025-11-26 08:33:06.274356,0 days 00:01:15.172145,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.3400127094735326,COMPLETE,2025-11-26 08:33:06.276370,2025-11-26 08:35:11.364578,0 days 00:02:05.088208,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.08888888888888889,PRUNED,2025-11-26 08:35:11.367594,2025-11-26 08:37:15.075802,0 days 00:02:03.708208,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.21758419036095988,COMPLETE,2025-11-26 08:37:15.076802,2025-11-26 08:38:30.750513,0 days 00:01:15.673711,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-26 08:38:30.752513,2025-11-26 08:43:45.356792,0 days 00:05:14.604279,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.21758419036095988,COMPLETE,2025-11-26 08:43:45.359837,2025-11-26 08:44:51.417203,0 days 00:01:06.057366,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21758419036095988,COMPLETE,2025-11-26 08:44:51.419214,2025-11-26 08:45:44.502960,0 days 00:00:53.083746,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.21758419036095988,COMPLETE,2025-11-26 08:45:44.506489,2025-11-26 08:51:22.884661,0 days 00:05:38.378172,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.21839080459770113,PRUNED,2025-11-26 08:51:22.886864,2025-11-26 08:51:32.242152,0 days 00:00:09.355288,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
10,0.1761006289308176,PRUNED,2025-11-26 08:51:32.243158,2025-11-26 08:51:50.889972,0 days 00:00:18.646814,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
11,0.2542661604146105,COMPLETE,2025-11-26 08:51:50.890982,2025-11-26 08:53:19.738026,0 days 00:01:28.847044,,64,False,0.1,,0.001,,L2,True,3,RMSprop,last,1e-07,"[64, 128, 192]","[1, 2, 3]","[2, 3]",False
12,0.08888888888888889,PRUNED,2025-11-26 08:53:19.741027,2025-11-26 08:53:30.531350,0 days 00:00:10.790323,elu,96,False,0.0,512.0,0.001,,L2,True,2,RMSprop,mean,1e-05,"[256, 384]","[2, 3]","[1, 2, 3]",False
13,0.34887871714714624,COMPLETE,2025-11-26 08:53:30.532350,2025-11-26 08:58:00.918608,0 days 00:04:30.386258,elu,48,True,0.2,128.0,0.0002,,L2,True,3,RMSprop,last,1e-07,"[512, 512, 512]","[1, 2, 3]",[3],True
14,0.21758419036095988,COMPLETE,2025-11-26 08:58:00.921678,2025-11-26 09:00:56.926231,0 days 00:02:56.004553,tanh,48,True,0.2,128.0,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[1, 2, 3]",[3],True
15,0.21758419036095988,COMPLETE,2025-11-26 09:00:56.928232,2025-11-26 09:02:48.610496,0 days 00:01:51.682264,silu,48,False,0.2,128.0,0.0002,,L2,True,4,RMSprop,last,1e-07,"[448, 448, 448, 448]","[1, 2]",[3],True
16,0.21758419036095988,COMPLETE,2025-11-26 09:02:48.612497,2025-11-26 09:08:31.248960,0 days 00:05:42.636463,gelu,32,True,0.2,1024.0,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
17,0.1761006289308176,PRUNED,2025-11-26 09:08:31.252961,2025-11-26 09:08:49.683102,0 days 00:00:18.430141,leakyrelu,16,False,0.1,768.0,5e-05,0.0,L2,False,2,SGD,mean,1e-07,"[192, 192]","[1, 2, 3]","[2, 3]",True
18,0.2471494168458051,COMPLETE,2025-11-26 09:08:49.684102,2025-11-26 09:12:33.630377,0 days 00:03:43.946275,,128,True,0.4,,0.0001,,L2,True,4,AdamW,attention,1e-07,"[640, 640, 640, 640]","[2, 3]",[1],True
19,0.1806853582554517,PRUNED,2025-11-26 09:12:33.632891,2025-11-26 09:13:25.343338,0 days 00:00:51.710447,elu,48,False,0.3,128.0,0.0002,,L2,False,3,RMSprop,last,1e-05,"[256, 256, 256]","[1, 2, 3]","[2, 3]",True
20,0.3895615482821905,COMPLETE,2025-11-26 09:13:25.345366,2025-11-26 09:15:09.483859,0 days 00:01:44.138493,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[128, 64]","[1, 2, 3]","[2, 3]",False
21,0.3977326751838709,COMPLETE,2025-11-26 09:15:09.487379,2025-11-26 09:16:51.593446,0 days 00:01:42.106067,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[128, 64]","[1, 2, 3]","[2, 3]",False
22,0.3769307028501381,COMPLETE,2025-11-26 09:16:51.596463,2025-11-26 09:18:39.789408,0 days 00:01:48.192945,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[128, 64]","[1, 2, 3]","[2, 3]",False
23,0.38797432872268406,COMPLETE,2025-11-26 09:18:39.792427,2025-11-26 09:20:29.739026,0 days 00:01:49.946599,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[128, 64]","[1, 2, 3]","[2, 3]",False
24,0.17777777777777778,PRUNED,2025-11-26 09:20:29.742027,2025-11-26 09:21:45.023257,0 days 00:01:15.281230,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[192, 128]","[1, 2, 3]","[2, 3]",False
25,0.3854637972547431,COMPLETE,2025-11-26 09:21:45.024284,2025-11-26 09:23:28.634395,0 days 00:01:43.610111,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[192, 128]","[1, 2, 3]","[2, 3]",False
26,0.21839080459770113,PRUNED,2025-11-26 09:23:28.636905,2025-11-26 09:24:07.180451,0 days 00:00:38.543546,,48,False,0.0,,2e-05,,minmax,True,2,AdamW,last,1e-06,"[192, 128]","[2, 3]","[2, 3]",False
27,0.1761006289308176,PRUNED,2025-11-26 09:24:07.181469,2025-11-26 09:24:16.542580,0 days 00:00:09.361111,,48,False,0.0,,1e-05,,L2,True,1,Adam,last,1e-06,[64],[],[],True
28,0.21758419036095988,COMPLETE,2025-11-26 09:24:16.543588,2025-11-26 09:25:29.439174,0 days 00:01:12.895586,,48,False,0.1,,0.0001,0.7000000000000001,L2,True,2,SGD,last,1e-06,"[256, 192]","[1, 2, 3]","[1, 2, 3]",False
29,0.1806853582554517,PRUNED,2025-11-26 09:25:29.442205,2025-11-26 09:27:42.536260,0 days 00:02:13.094055,gelu,16,False,0.1,1024.0,5e-05,,minmax,True,2,AdamW,max,1e-06,"[512, 448]","[1, 2, 3]","[2, 3]",False
