number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.4019716568988911,2025-09-12 08:37:41.299129,2025-09-12 08:38:36.816504,0 days 00:00:55.517375,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.333895462169636,0.178030303030303,0.178030303030303,0.21640488656195464,COMPLETE
1,0.20405978955706083,2025-09-12 08:38:36.818505,2025-09-12 08:40:16.397036,0 days 00:01:39.578531,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.21875,0.21875,0.21640488656195464,,COMPLETE
2,0.178030303030303,2025-09-12 08:40:16.399036,2025-09-12 08:40:50.705544,0 days 00:00:34.306508,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.178030303030303,,,,PRUNED
3,0.21761658031088082,2025-09-12 08:40:50.706544,2025-09-12 08:41:06.183111,0 days 00:00:15.476567,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,,,,PRUNED
4,0.22368014568751246,2025-09-12 08:41:06.184111,2025-09-12 08:42:41.612908,0 days 00:01:35.428797,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21875,0.178030303030303,,,COMPLETE
5,0.21759048895761182,2025-09-12 08:42:41.614908,2025-09-12 08:47:20.603710,0 days 00:04:38.988802,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.21875,0.21640488656195464,,COMPLETE
6,0.21759048895761182,2025-09-12 08:47:20.605710,2025-09-12 08:55:45.374277,0 days 00:08:24.768567,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.21875,0.21640488656195464,,,COMPLETE
7,0.178030303030303,2025-09-12 08:55:45.376278,2025-09-12 08:56:38.876690,0 days 00:00:53.500412,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.3372788406660215,0.178030303030303,,,PRUNED
8,0.21761658031088082,2025-09-12 08:56:38.877690,2025-09-12 08:56:48.073973,0 days 00:00:09.196283,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.21761658031088082,,,,PRUNED
9,0.178030303030303,2025-09-12 08:56:48.074974,2025-09-12 08:57:44.769156,0 days 00:00:56.694182,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.178030303030303,,,,PRUNED
10,0.08558558558558559,2025-09-12 08:57:44.770156,2025-09-12 08:57:54.847068,0 days 00:00:10.076912,,uniform,32,False,0.2,,,,,,,0.01,,L2,,,,,False,1,RMSprop,max,0.0,1e-05,0.3052851909994767,0.08558558558558559,,,PRUNED
11,0.21759048895761182,2025-09-12 08:57:54.848069,2025-09-12 08:59:25.293832,0 days 00:01:30.445763,leakyrelu,uniform,128,False,0.30000000000000004,True,True,,,768.0,,0.001,,L2,False,True,,,True,3,RMSprop,last,7.0,0.0,0.21875,0.21875,0.21640488656195464,,COMPLETE
12,0.178030303030303,2025-09-12 08:59:25.294833,2025-09-12 09:00:12.830600,0 days 00:00:47.535767,elu,uniform,128,False,0.30000000000000004,True,False,False,,256.0,,0.001,,L2,False,False,True,,True,4,RMSprop,last,5.0,1e-07,0.21875,0.178030303030303,,,PRUNED
13,0.17702448210922786,2025-09-12 09:00:12.831601,2025-09-12 09:00:31.318886,0 days 00:00:18.487285,,uniform,32,False,0.5,True,False,False,,,,0.001,0.0,L2,True,False,True,,True,4,SGD,max,4.0,1e-05,0.17702448210922786,,,,PRUNED
14,0.0894854586129754,2025-09-12 09:00:31.319886,2025-09-12 09:01:18.142417,0 days 00:00:46.822531,leakyrelu,uniform,128,False,0.1,True,True,,,768.0,,0.001,,L2,True,True,,,True,3,RMSprop,last,6.0,1e-05,0.21761658031088082,0.21875,0.21875,0.0894854586129754,PRUNED
15,0.298046534771973,2025-09-12 09:01:18.143419,2025-09-12 09:02:31.491607,0 days 00:01:13.348188,leakyrelu,uniform,16,False,0.30000000000000004,False,,,,512.0,,5e-05,,L2,False,,,,True,2,RMSprop,max,0.0,1e-07,0.21875,0.21875,0.2852634544942237,,COMPLETE
16,0.3884209373398635,2025-09-12 09:02:31.493608,2025-09-12 09:04:03.732535,0 days 00:01:32.238927,tanh,decreasing,16,False,0.4,False,,,,512.0,5.0,5e-05,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.28193939393939393,0.30343364197530864,0.21875,0.21640488656195464,COMPLETE
17,0.4160841739545134,2025-09-12 09:04:03.734536,2025-09-12 09:05:00.110276,0 days 00:00:56.375740,tanh,decreasing,16,False,0.4,,,,,512.0,4.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-07,0.39485333585930343,0.30416943889997783,0.21640488656195464,,COMPLETE
18,0.21759048895761182,2025-09-12 09:05:00.112276,2025-09-12 09:05:44.258009,0 days 00:00:44.145733,tanh,decreasing,16,False,0.5,,,,,1024.0,4.0,2e-05,,L2,,,,,False,1,RMSprop,max,,2e-06,0.21875,0.21875,0.21640488656195464,,COMPLETE
19,0.178030303030303,2025-09-12 09:05:44.260010,2025-09-12 09:05:57.958020,0 days 00:00:13.698010,elu,decreasing,16,False,0.4,,,,,256.0,1.0,0.0002,,L2,,,,,True,1,RMSprop,max,,1e-05,0.178030303030303,,,,PRUNED
20,0.178030303030303,2025-09-12 09:05:57.959020,2025-09-12 09:06:23.090087,0 days 00:00:25.131067,tanh,decreasing,16,False,0.5,,,,,512.0,3.0,1e-05,,L2,,,,,True,1,Adam,max,,0.0,0.178030303030303,,,,PRUNED
21,0.36874808325999103,2025-09-12 09:06:23.091088,2025-09-12 09:08:12.596029,0 days 00:01:49.504941,tanh,decreasing,16,False,0.4,False,,,,512.0,6.0,5e-05,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.21875,0.28507617577549293,,,COMPLETE
22,0.40535721158580124,2025-09-12 09:08:12.598031,2025-09-12 09:09:55.399805,0 days 00:01:42.801774,tanh,decreasing,16,False,0.4,False,,,,512.0,5.0,5e-05,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.21875,0.21640488656195464,,,COMPLETE
23,0.40391837291365856,2025-09-12 09:09:55.401807,2025-09-12 09:10:53.233758,0 days 00:00:57.831951,,decreasing,16,False,0.5,,,,,,5.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-07,0.21875,0.2793040293040293,,,COMPLETE
24,0.388833173425766,2025-09-12 09:10:53.235758,2025-09-12 09:11:56.731918,0 days 00:01:03.496160,gelu,decreasing,16,False,0.4,,,,,512.0,5.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-07,0.21875,0.32843567772001864,,,COMPLETE
25,0.20027864855451064,2025-09-12 09:11:56.734919,2025-09-12 09:12:01.391647,0 days 00:00:04.656728,tanh,decreasing,64,False,0.30000000000000004,,,,,512.0,3.0,5e-05,,L2,,,,,True,1,RMSprop,max,,1e-07,0.20027864855451064,,,,PRUNED
26,0.178030303030303,2025-09-12 09:12:01.392648,2025-09-12 09:12:32.112987,0 days 00:00:30.720339,,decreasing,32,True,0.5,,,,,,6.0,5e-05,,minmax,,,,,False,1,RMSprop,max,,1e-07,0.21761658031088082,0.34841792371586516,0.178030303030303,,PRUNED
27,0.17702448210922786,2025-09-12 09:12:32.113987,2025-09-12 09:12:39.029857,0 days 00:00:06.915870,tanh,decreasing,96,False,0.2,False,,,,512.0,4.0,0.01,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.17702448210922786,,,,PRUNED
28,0.178030303030303,2025-09-12 09:12:39.030858,2025-09-12 09:13:26.460962,0 days 00:00:47.430104,tanh,decreasing,16,False,0.4,,,,,256.0,6.0,0.002,,L2,,,,,True,1,AdamW,max,,1e-07,0.21875,0.178030303030303,,,PRUNED
29,0.178030303030303,2025-09-12 09:13:26.461963,2025-09-12 09:13:56.442106,0 days 00:00:29.980143,,decreasing,16,False,0.5,False,,,,,5.0,5e-05,,L2,True,,,,True,2,RMSprop,max,,1e-07,0.27355620469544517,0.178030303030303,,,PRUNED
30,0.389406434989135,2025-09-12 09:13:56.443107,2025-09-12 09:15:38.492132,0 days 00:01:42.049025,gelu,decreasing,16,False,0.5,False,,,,64.0,3.0,5e-05,,L2,True,,,,True,2,Adam,mean,,1e-07,0.21875,0.3054626532887403,,,COMPLETE
31,0.178030303030303,2025-09-12 09:15:38.494133,2025-09-12 09:16:37.899776,0 days 00:00:59.405643,,decreasing,96,False,0.5,False,True,,,,9.0,0.0001,,L2,True,True,,,True,3,RMSprop,max,,1e-05,0.30009496676163344,0.33034971875764246,0.178030303030303,,PRUNED
32,0.28020700137195104,2025-09-12 09:16:37.900776,2025-09-12 09:17:16.569098,0 days 00:00:38.668322,,decreasing,16,False,0.4,,,,,,2.0,1e-05,,minmax,,,,,True,1,RMSprop,max,,5e-07,0.21875,0.21875,0.21640488656195464,,COMPLETE
33,0.178030303030303,2025-09-12 09:17:16.571098,2025-09-12 09:17:57.959933,0 days 00:00:41.388835,relu,decreasing,16,False,0.5,False,,,,128.0,4.0,0.0002,,L2,True,,,,True,2,RMSprop,max,,1e-06,0.178030303030303,,,,PRUNED
34,0.178030303030303,2025-09-12 09:17:57.960932,2025-09-12 09:19:39.713709,0 days 00:01:41.752777,,increasing,16,True,0.4,False,True,,,,5.0,5e-05,,minmax,True,True,,,False,3,Adam,mean,,2e-06,0.178030303030303,,,,PRUNED
35,0.3573306020589919,2025-09-12 09:19:39.714709,2025-09-12 09:20:24.474187,0 days 00:00:44.759478,elu,decreasing,96,False,0.4,,,,,512.0,7.0,2e-05,,L2,,,,,True,1,RMSprop,max,,0.0,0.2552046547607036,0.3620414673046252,0.21875,0.3122006198929276,COMPLETE
36,0.178030303030303,2025-09-12 09:20:24.476187,2025-09-12 09:23:45.901495,0 days 00:03:21.425308,tanh,increasing,16,True,0.0,False,True,,,1024.0,5.0,0.0001,,minmax,True,True,,,True,3,RMSprop,max,,1e-06,0.21875,0.21875,0.178030303030303,,PRUNED
37,0.38326579585609516,2025-09-12 09:23:45.902495,2025-09-12 09:24:29.612399,0 days 00:00:43.709904,tanh,decreasing,16,False,0.30000000000000004,,,,,128.0,2.0,5e-05,,L2,,,,,True,1,AdamW,last,,2e-07,0.3365819967769166,0.35449840015057404,0.21875,0.21640488656195464,COMPLETE
