number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 09:45:01.459855,2025-11-26 09:45:26.664718,0 days 00:00:25.204863,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.08888888888888889,PRUNED,2025-11-26 09:45:26.666223,2025-11-26 09:45:32.908456,0 days 00:00:06.242233,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.36472084774964014,COMPLETE,2025-11-26 09:45:32.909471,2025-11-26 09:46:51.953438,0 days 00:01:19.043967,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.18540773258014254,COMPLETE,2025-11-26 09:46:51.956987,2025-11-26 09:52:05.934552,0 days 00:05:13.977565,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.16666666666666666,PRUNED,2025-11-26 09:52:05.938108,2025-11-26 09:52:12.948380,0 days 00:00:07.010272,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-26 09:52:12.949380,2025-11-26 09:54:55.503404,0 days 00:02:42.554024,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.21758419036095988,COMPLETE,2025-11-26 09:54:55.506259,2025-11-26 09:55:32.199107,0 days 00:00:36.692848,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21839080459770113,PRUNED,2025-11-26 09:55:32.202176,2025-11-26 09:55:38.723769,0 days 00:00:06.521593,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.08888888888888889,PRUNED,2025-11-26 09:55:38.724769,2025-11-26 09:56:08.487864,0 days 00:00:29.763095,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.34645911415297986,COMPLETE,2025-11-26 09:56:08.488930,2025-11-26 09:56:57.294645,0 days 00:00:48.805715,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
