number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 10:34:52.949697,2025-11-26 10:35:18.022775,0 days 00:00:25.073078,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.0898876404494382,PRUNED,2025-11-26 10:35:18.024433,2025-11-26 10:35:35.538305,0 days 00:00:17.513872,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.30506313468440327,COMPLETE,2025-11-26 10:35:35.539308,2025-11-26 10:36:32.407028,0 days 00:00:56.867720,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.21758419036095988,COMPLETE,2025-11-26 10:36:32.410210,2025-11-26 10:41:20.084631,0 days 00:04:47.674421,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.21758419036095988,COMPLETE,2025-11-26 10:41:20.086635,2025-11-26 10:41:47.068490,0 days 00:00:26.981855,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-26 10:41:47.071491,2025-11-26 10:43:59.101884,0 days 00:02:12.030393,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.1806853582554517,PRUNED,2025-11-26 10:43:59.103886,2025-11-26 10:44:13.644021,0 days 00:00:14.540135,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21758419036095988,COMPLETE,2025-11-26 10:44:13.644021,2025-11-26 10:44:41.068924,0 days 00:00:27.424903,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.1761006289308176,PRUNED,2025-11-26 10:44:41.070960,2025-11-26 10:44:54.386762,0 days 00:00:13.315802,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.21238938053097345,PRUNED,2025-11-26 10:44:54.386762,2025-11-26 10:45:10.314226,0 days 00:00:15.927464,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
10,0.2711940328019007,COMPLETE,2025-11-26 10:45:10.315226,2025-11-26 10:45:40.109081,0 days 00:00:29.793855,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
11,0.17777777777777778,PRUNED,2025-11-26 10:45:40.112823,2025-11-26 10:45:57.458276,0 days 00:00:17.345453,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
12,0.1806853582554517,PRUNED,2025-11-26 10:45:57.458276,2025-11-26 10:46:08.706345,0 days 00:00:11.248069,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
13,0.08239700374531835,PRUNED,2025-11-26 10:46:08.706345,2025-11-26 10:46:20.736406,0 days 00:00:12.030061,,128,False,0.2,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[640, 640, 640]","[2, 3]",[3],True
