number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 13:07:18.835996,2025-11-26 13:08:09.680535,0 days 00:00:50.844539,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.31960812334225913,COMPLETE,2025-11-26 13:08:09.682158,2025-11-26 13:09:24.743576,0 days 00:01:15.061418,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.1761006289308176,PRUNED,2025-11-26 13:09:24.746576,2025-11-26 13:09:40.286855,0 days 00:00:15.540279,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.1761006289308176,PRUNED,2025-11-26 13:09:40.287860,2025-11-26 13:11:37.261043,0 days 00:01:56.973183,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.21758419036095988,COMPLETE,2025-11-26 13:11:37.262046,2025-11-26 13:12:38.485459,0 days 00:01:01.223413,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-26 13:12:38.487766,2025-11-26 13:16:51.181911,0 days 00:04:12.694145,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.17777777777777778,PRUNED,2025-11-26 13:16:51.183911,2025-11-26 13:17:33.591918,0 days 00:00:42.408007,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21758419036095988,COMPLETE,2025-11-26 13:17:33.592947,2025-11-26 13:18:29.781081,0 days 00:00:56.188134,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.1806853582554517,PRUNED,2025-11-26 13:18:29.784097,2025-11-26 13:20:48.921717,0 days 00:02:19.137620,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.21758419036095988,COMPLETE,2025-11-26 13:20:48.922751,2025-11-26 13:21:34.232152,0 days 00:00:45.309401,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
10,0.378273341884453,COMPLETE,2025-11-26 13:21:34.233949,2025-11-26 13:24:04.072477,0 days 00:02:29.838528,elu,64,True,0.0,512.0,0.001,,L2,True,2,RMSprop,last,1e-05,"[64, 128]","[2, 3]","[1, 2, 3]",False
11,0.0898876404494382,PRUNED,2025-11-26 13:24:04.076024,2025-11-26 13:25:23.944269,0 days 00:01:19.868245,elu,64,True,0.0,512.0,0.001,,L2,True,2,RMSprop,last,1e-05,"[64, 128]","[2, 3]","[1, 2, 3]",False
12,0.08888888888888889,PRUNED,2025-11-26 13:25:23.946292,2025-11-26 13:25:43.910133,0 days 00:00:19.963841,elu,64,True,0.0,512.0,0.001,,L2,True,1,RMSprop,last,1e-05,[64],[],[],True
13,0.21758419036095988,COMPLETE,2025-11-26 13:25:43.911185,2025-11-26 13:27:18.686201,0 days 00:01:34.775016,elu,64,True,0.0,1024.0,0.001,,L2,True,2,RMSprop,last,1e-05,"[256, 384]","[2, 3]","[1, 2, 3]",False
14,0.21758419036095988,COMPLETE,2025-11-26 13:27:18.689202,2025-11-26 13:31:15.870567,0 days 00:03:57.181365,elu,32,True,0.2,128.0,0.001,,L2,True,3,RMSprop,mean,0.0,"[192, 256, 384]","[2, 3]","[1, 2, 3]",False
15,0.1806853582554517,PRUNED,2025-11-26 13:31:15.872567,2025-11-26 13:32:25.457840,0 days 00:01:09.585273,silu,16,True,0.0,768.0,0.0001,,L2,True,1,RMSprop,last,1e-05,[512],[],[],True
16,0.41012139942693426,COMPLETE,2025-11-26 13:32:25.458849,2025-11-26 13:34:04.939929,0 days 00:01:39.481080,gelu,96,True,0.0,256.0,5e-05,,L2,True,2,RMSprop,last,1e-06,"[192, 256]","[2, 3]","[1, 2, 3]",False
17,0.44952812077118687,COMPLETE,2025-11-26 13:34:04.943056,2025-11-26 13:35:57.180248,0 days 00:01:52.237192,gelu,96,True,0.0,512.0,5e-05,,L2,True,2,AdamW,last,1e-06,"[128, 192]","[2, 3]","[1, 2, 3]",False
18,0.197979797979798,PRUNED,2025-11-26 13:35:57.183280,2025-11-26 13:36:13.642330,0 days 00:00:16.459050,gelu,96,False,0.1,256.0,5e-05,,L2,True,3,AdamW,mean,1e-06,"[192, 256, 384]","[2, 3]","[1, 2, 3]",False
19,0.43045481515021644,COMPLETE,2025-11-26 13:36:13.644834,2025-11-26 13:37:58.397672,0 days 00:01:44.752838,gelu,96,True,0.0,512.0,5e-05,,L2,True,2,AdamW,last,1e-06,"[192, 128]","[2, 3]","[1, 2, 3]",False
20,0.4444750322369561,COMPLETE,2025-11-26 13:37:58.400765,2025-11-26 13:41:10.601594,0 days 00:03:12.200829,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
21,0.43999982756885936,COMPLETE,2025-11-26 13:41:10.605097,2025-11-26 13:43:40.431636,0 days 00:02:29.826539,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[256, 192, 128]","[2, 3]","[1, 3]",False
22,0.4294076415307928,COMPLETE,2025-11-26 13:43:40.435172,2025-11-26 13:46:14.672693,0 days 00:02:34.237521,gelu,96,True,0.4,512.0,5e-05,,L2,True,3,AdamW,last,1e-06,"[384, 256, 192]","[2, 3]","[1, 3]",False
