number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
0,0.21758419036095988,COMPLETE,2025-11-26 15:50:38.538454,2025-11-26 15:51:42.953667,0 days 00:01:04.415213,relu,128,True,0.5,1024.0,0.001,,minmax,False,2,AdamW,max,0.0,"[128, 128]","[1, 2, 3]","[1, 2, 3]",True
1,0.0898876404494382,PRUNED,2025-11-26 15:51:42.968846,2025-11-26 15:52:41.467564,0 days 00:00:58.498718,elu,64,True,0.0,256.0,0.001,,L2,True,1,RMSprop,last,0.0,[384],[],[],True
2,0.3578573772028234,COMPLETE,2025-11-26 15:52:41.467564,2025-11-26 15:55:43.721633,0 days 00:03:02.254069,,128,False,0.1,,0.0002,,L2,False,3,RMSprop,attention,1e-07,"[768, 768, 768]","[1, 2, 3]",[3],True
3,0.2098648921153458,COMPLETE,2025-11-26 15:55:43.723634,2025-11-26 16:07:25.968061,0 days 00:11:42.244427,leakyrelu,16,True,0.3,128.0,0.0002,0.2,L2,False,4,SGD,max,0.0,"[768, 640, 512, 448]","[1, 3]",[],False
4,0.21758419036095988,COMPLETE,2025-11-26 16:07:25.984114,2025-11-26 16:08:47.395625,0 days 00:01:21.411511,tanh,128,True,0.0,256.0,1e-05,,minmax,False,1,Adam,max,0.0,[1024],[],[],True
5,0.21758419036095988,COMPLETE,2025-11-26 16:08:47.399632,2025-11-26 16:14:04.608231,0 days 00:05:17.208599,silu,32,True,0.5,512.0,2e-05,,minmax,False,2,Adam,last,1e-06,"[896, 1024]","[1, 2, 3]","[2, 3]",False
6,0.17777777777777778,PRUNED,2025-11-26 16:14:04.608231,2025-11-26 16:14:52.989072,0 days 00:00:48.380841,gelu,96,False,0.0,256.0,1e-05,,L2,False,3,Adam,mean,0.0,"[384, 256, 192]",[3],"[1, 2, 3]",False
7,0.21758419036095988,COMPLETE,2025-11-26 16:14:52.990074,2025-11-26 16:15:50.423329,0 days 00:00:57.433255,relu,64,False,0.0,768.0,5e-05,,L2,False,1,RMSprop,attention,1e-05,[768],[],[],True
8,0.23749577303116323,COMPLETE,2025-11-26 16:15:50.426330,2025-11-26 16:23:08.603910,0 days 00:07:18.177580,,48,True,0.4,,2e-05,0.9,minmax,False,4,SGD,last,1e-06,"[768, 768, 768, 768]",[1],[3],True
9,0.21758419036095988,COMPLETE,2025-11-26 16:23:08.606958,2025-11-26 16:24:03.500084,0 days 00:00:54.893126,elu,64,False,0.0,256.0,0.0001,,minmax,True,1,AdamW,attention,1e-07,[448],[],[],True
10,0.3902356062352906,COMPLETE,2025-11-26 16:24:03.503128,2025-11-26 16:26:14.021302,0 days 00:02:10.518174,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
11,0.39676980587922284,COMPLETE,2025-11-26 16:26:14.024305,2025-11-26 16:28:50.384298,0 days 00:02:36.359993,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
12,0.1761006289308176,PRUNED,2025-11-26 16:28:50.386298,2025-11-26 16:29:29.902020,0 days 00:00:39.515722,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[384, 384, 384]","[2, 3]",[3],True
13,0.4156835407467505,COMPLETE,2025-11-26 16:29:29.904021,2025-11-26 16:31:41.593343,0 days 00:02:11.689322,,128,False,0.2,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[384, 384, 384]","[2, 3]",[3],True
14,0.48445399250453447,COMPLETE,2025-11-26 16:31:41.596431,2025-11-26 16:42:47.508872,0 days 00:11:05.912441,,16,False,0.2,,0.0002,,L2,True,4,RMSprop,mean,1e-07,"[192, 192, 192, 192]",[2],"[2, 3]",True
15,0.38986597932118006,COMPLETE,2025-11-26 16:42:47.511376,2025-11-26 16:53:51.210237,0 days 00:11:03.698861,leakyrelu,16,False,0.2,128.0,5e-05,,L2,True,4,RMSprop,mean,1e-05,"[128, 128, 128, 128]",[2],"[1, 2, 3]",True
16,0.17777777777777778,PRUNED,2025-11-26 16:53:51.213254,2025-11-26 16:59:46.485257,0 days 00:05:55.272003,tanh,16,False,0.2,1024.0,0.0001,,L2,True,4,RMSprop,mean,1e-07,"[256, 256, 256, 256]",[2],"[2, 3]",True
17,0.08239700374531835,PRUNED,2025-11-26 16:59:46.486257,2025-11-26 17:00:10.099474,0 days 00:00:23.613217,silu,96,False,0.0,512.0,0.0002,0.0,L2,True,2,SGD,mean,1e-07,"[192, 192]","[2, 3]","[2, 3]",True
18,0.21839080459770113,PRUNED,2025-11-26 17:00:10.100976,2025-11-26 17:02:59.489529,0 days 00:02:49.388553,gelu,48,False,0.2,768.0,0.0002,,L2,True,4,AdamW,mean,1e-07,"[1024, 896, 768, 640]","[2, 3]","[1, 2]",False
19,0.1761006289308176,PRUNED,2025-11-26 17:02:59.490530,2025-11-26 17:04:08.550694,0 days 00:01:09.060164,,32,False,0.2,,0.0002,,L2,True,4,RMSprop,mean,1e-05,"[64, 128, 192, 256]",[2],"[2, 3]",False
20,0.21839080459770113,PRUNED,2025-11-26 17:04:08.552716,2025-11-26 17:08:03.529482,0 days 00:03:54.976766,,16,False,0.2,,0.0001,,L2,True,3,RMSprop,attention,1e-06,"[64, 64, 64]","[2, 3]","[2, 3]",True
21,0.1761006289308176,PRUNED,2025-11-26 17:08:03.530986,2025-11-26 17:08:30.302843,0 days 00:00:26.771857,,128,False,0.4,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
22,0.1761006289308176,PRUNED,2025-11-26 17:08:30.303843,2025-11-26 17:08:50.359234,0 days 00:00:20.055391,,128,False,0.0,,0.0002,,L2,True,2,RMSprop,attention,1e-07,"[256, 256]","[2, 3]","[2, 3]",True
23,0.1761006289308176,PRUNED,2025-11-26 17:08:50.360738,2025-11-26 17:09:33.152122,0 days 00:00:42.791384,,16,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[640, 640, 640]","[2, 3]",[3],True
24,0.1761006289308176,PRUNED,2025-11-26 17:09:33.153147,2025-11-26 17:09:53.895638,0 days 00:00:20.742491,,128,False,0.3,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
25,0.17777777777777778,PRUNED,2025-11-26 17:09:53.897649,2025-11-26 17:12:38.593037,0 days 00:02:44.695388,,32,False,0.2,,5e-05,,L2,True,4,RMSprop,mean,1e-07,"[384, 384, 384, 384]",[2],[3],True
26,0.08888888888888889,PRUNED,2025-11-26 17:12:38.595077,2025-11-26 17:12:51.738296,0 days 00:00:13.143219,gelu,96,False,0.0,1024.0,1e-05,0.7000000000000001,minmax,True,2,SGD,last,1e-07,"[256, 256]","[2, 3]","[1, 2, 3]",True
27,0.3185365252350266,COMPLETE,2025-11-26 17:12:51.739296,2025-11-26 17:16:26.871846,0 days 00:03:35.132550,elu,48,False,0.0,128.0,2e-05,,L2,True,3,AdamW,max,1e-07,"[512, 512, 512]",[3],"[2, 3]",True
28,0.21758419036095988,COMPLETE,2025-11-26 17:16:26.874849,2025-11-26 17:23:57.641773,0 days 00:07:30.766924,tanh,16,False,0.2,768.0,0.001,,L2,True,4,Adam,attention,1e-06,"[64, 128, 192, 256]","[2, 3]",[],False
29,0.17777777777777778,PRUNED,2025-11-26 17:23:57.644805,2025-11-26 17:25:30.041243,0 days 00:01:32.396438,leakyrelu,128,True,0.0,512.0,0.001,,minmax,True,2,AdamW,max,1e-05,"[192, 128]","[2, 3]","[2, 3]",False
30,0.17777777777777778,PRUNED,2025-11-26 17:25:30.042255,2025-11-26 17:26:17.505617,0 days 00:00:47.463362,silu,128,False,0.1,1024.0,0.0002,,L2,True,3,RMSprop,mean,1e-07,"[384, 384, 384]","[1, 2, 3]","[1, 3]",True
31,0.4492973139121326,COMPLETE,2025-11-26 17:26:17.507627,2025-11-26 17:29:37.221483,0 days 00:03:19.713856,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
32,0.45544161957092577,COMPLETE,2025-11-26 17:29:37.224788,2025-11-26 17:33:07.167628,0 days 00:03:29.942840,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
33,0.34524822695035456,PRUNED,2025-11-26 17:33:07.171349,2025-11-26 17:34:02.834191,0 days 00:00:55.662842,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[512, 512, 512]","[2, 3]",[3],True
