number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.41724274157612445,2025-09-12 15:19:29.945615,2025-09-12 15:20:51.350538,0 days 00:01:21.404923,,uniform,16,False,0.5,False,,,,,,0.001,,L2,True,,,,True,2,RMSprop,max,1.0,1e-05,0.21875,0.3050801851253902,,,COMPLETE
1,0.21640488656195464,2025-09-12 15:20:51.350538,2025-09-12 15:22:14.448422,0 days 00:01:23.097884,silu,decreasing,96,False,0.1,False,True,False,True,64.0,7.0,0.0001,0.30000000000000004,minmax,False,False,True,False,False,5,SGD,last,,2e-07,0.21875,0.21640488656195464,,,PRUNED
2,0.21640488656195464,2025-09-12 15:22:14.450423,2025-09-12 15:23:33.501215,0 days 00:01:19.050792,relu,decreasing,16,True,0.4,False,False,,,512.0,2.0,1e-05,,minmax,False,False,,,True,3,Adam,mean,,5e-07,0.21875,0.21640488656195464,,,PRUNED
3,0.21759048895761182,2025-09-12 15:23:33.503216,2025-09-12 15:25:02.104157,0 days 00:01:28.600941,tanh,increasing,96,True,0.4,,,,,128.0,8.0,0.0002,,minmax,,,,,True,1,Adam,mean,,1e-06,0.21761658031088082,0.21875,0.21875,0.178030303030303,COMPLETE
4,0.21761658031088082,2025-09-12 15:25:02.106158,2025-09-12 15:25:48.077505,0 days 00:00:45.971347,leakyrelu,uniform,128,False,0.30000000000000004,True,False,,,768.0,,0.001,0.0,L2,False,False,,,True,3,SGD,last,7.0,2e-07,0.21761658031088082,0.21761658031088082,,,PRUNED
5,0.21759048895761182,2025-09-12 15:25:48.079506,2025-09-12 15:31:38.472371,0 days 00:05:50.392865,gelu,increasing,128,True,0.0,False,False,True,False,128.0,4.0,2e-05,,minmax,True,False,False,True,True,5,AdamW,last,,1e-06,0.21875,0.21875,0.178030303030303,,COMPLETE
6,0.46708335189403094,2025-09-12 15:31:38.474371,2025-09-12 15:48:22.796910,0 days 00:16:44.322539,silu,uniform,16,True,0.5,True,,,,768.0,,0.0001,,L2,True,,,,True,2,AdamW,mean,9.0,2e-07,0.3678438516590761,0.21875,0.48203277092796887,,COMPLETE
7,0.178030303030303,2025-09-12 15:48:22.798910,2025-09-12 15:49:05.341547,0 days 00:00:42.542637,,increasing,64,False,0.2,True,,,,,7.0,0.001,,L2,True,,,,False,2,AdamW,max,,2e-07,0.2948717948717949,0.178030303030303,,,PRUNED
8,0.20405978955706083,2025-09-12 15:49:05.342546,2025-09-12 15:49:33.138542,0 days 00:00:27.795996,relu,increasing,64,False,0.5,False,,,,64.0,0.0,5e-05,0.9,minmax,False,,,,False,2,SGD,max,,2e-06,0.21875,0.21640488656195464,,,COMPLETE
9,0.21759048895761182,2025-09-12 15:49:33.140543,2025-09-12 15:53:17.288635,0 days 00:03:44.148092,silu,uniform,16,True,0.4,False,False,True,False,1024.0,,0.002,0.9,L2,True,True,False,False,True,5,SGD,mean,2.0,5e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,COMPLETE
10,0.21875,2025-09-12 15:53:17.290635,2025-09-12 15:54:04.281911,0 days 00:00:46.991276,elu,uniform,32,True,0.2,,,,,768.0,,0.01,,L2,,,,,False,1,AdamW,mean,9.0,0.0,0.21875,,,,PRUNED
11,0.37764196587726,2025-09-12 15:54:04.282911,2025-09-12 15:55:08.995650,0 days 00:01:04.712739,silu,uniform,16,False,0.5,True,,,,256.0,,0.0001,,L2,True,,,,True,2,RMSprop,max,0.0,1e-05,0.33082535339717284,0.21875,0.37764196587726,,PRUNED
12,0.08558558558558559,2025-09-12 15:55:08.995650,2025-09-12 15:55:41.435611,0 days 00:00:32.439961,,uniform,16,False,0.5,True,,,,,,0.0001,,L2,True,,,,True,2,RMSprop,max,4.0,1e-07,0.08558558558558559,,,,PRUNED
13,0.08558558558558559,2025-09-12 15:55:41.436612,2025-09-12 15:57:43.156007,0 days 00:02:01.719395,gelu,uniform,16,True,0.30000000000000004,True,True,False,,768.0,,0.001,,L2,True,True,True,,True,4,RMSprop,mean,5.0,1e-05,0.08558558558558559,,,,PRUNED
14,0.178030303030303,2025-09-12 15:57:43.156007,2025-09-12 15:58:03.560486,0 days 00:00:20.404479,,uniform,32,True,0.5,,,,,,,0.01,,L2,,,,,True,1,AdamW,max,0.0,1e-05,0.4075018896447468,0.21875,0.21875,0.178030303030303,PRUNED
15,0.4087538351983362,2025-09-12 15:58:03.561487,2025-09-12 16:06:55.091928,0 days 00:08:51.530441,leakyrelu,uniform,16,False,0.4,False,True,,,1024.0,,5e-05,,L2,True,True,,,True,3,RMSprop,mean,9.0,2e-06,0.24421052631578946,0.36907743419371325,0.21875,0.21640488656195464,COMPLETE
16,0.178030303030303,2025-09-12 16:06:55.093056,2025-09-12 16:10:09.470041,0 days 00:03:14.376985,elu,decreasing,16,False,0.30000000000000004,True,True,False,,512.0,9.0,1e-05,,L2,True,True,False,,True,4,AdamW,max,,0.0,0.26109746109746107,0.36713286713286714,0.178030303030303,,PRUNED
17,0.46596548112860253,2025-09-12 16:10:09.471041,2025-09-12 16:12:19.096123,0 days 00:02:09.625082,tanh,uniform,16,True,0.5,False,,,,256.0,,2e-05,,L2,True,,,,True,2,RMSprop,max,3.0,1e-07,0.31092436974789917,0.3682581462796422,0.34462479416607855,0.4424774667251394,COMPLETE
18,0.21640488656195464,2025-09-12 16:12:19.096123,2025-09-12 16:13:04.907827,0 days 00:00:45.811704,tanh,uniform,128,True,0.4,True,True,,,256.0,,2e-05,,L2,True,False,,,False,3,Adam,mean,3.0,1e-07,0.21875,0.21875,0.21640488656195464,,PRUNED
19,0.3658430458430459,2025-09-12 16:13:04.908825,2025-09-12 16:13:39.211072,0 days 00:00:34.302247,tanh,decreasing,32,True,0.1,,,,,256.0,4.0,2e-05,,L2,,,,,True,1,RMSprop,last,,1e-07,0.24826351593268883,0.24826351593268883,0.3658430458430459,,PRUNED
20,0.17702448210922786,2025-09-12 16:13:39.211487,2025-09-12 16:14:33.173204,0 days 00:00:53.961717,tanh,uniform,64,True,0.5,False,False,True,,256.0,,0.002,,L2,True,True,True,,True,4,AdamW,max,6.0,2e-07,0.17702448210922786,,,,PRUNED
21,0.47845670693204,2025-09-12 16:14:33.174204,2025-09-12 16:16:26.688400,0 days 00:01:53.514196,silu,uniform,16,True,0.5,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,2.0,1e-05,0.21875,0.4585561497326203,,,COMPLETE
22,0.178030303030303,2025-09-12 16:16:26.690401,2025-09-12 16:17:37.470643,0 days 00:01:10.780242,silu,uniform,16,True,0.4,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,3.0,1e-07,0.4091519678374138,0.21875,0.21875,0.178030303030303,PRUNED
23,0.08558558558558559,2025-09-12 16:17:37.471643,2025-09-12 16:18:20.673872,0 days 00:00:43.202229,silu,uniform,16,True,0.5,False,,,,768.0,,0.0002,,L2,True,,,,True,2,RMSprop,max,2.0,1e-07,0.41474196689386567,0.08558558558558559,,,PRUNED
24,0.08558558558558559,2025-09-12 16:18:20.673872,2025-09-12 16:18:44.351666,0 days 00:00:23.677794,silu,uniform,96,True,0.5,,,,,768.0,,0.0002,,L2,,,,,True,1,RMSprop,max,7.0,1e-05,0.39351851851851843,0.08558558558558559,,,PRUNED
