number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.26743966703640604,COMPLETE,2025-12-09 03:42:28.520484,2025-12-09 03:43:04.527124,0 days 00:00:36.006640,"[128, 128, 128]",[],[],3,True,0.3,uniform,leakyrelu,64,True,1024.0,0.0002,minmax,True,Adam,last,1e-07,
1,0.35215134279740384,COMPLETE,2025-12-09 03:43:04.528448,2025-12-09 03:45:02.718708,0 days 00:01:58.190260,"[192, 256]",[],[],2,False,0.0,increasing,silu,16,False,128.0,0.0001,minmax,True,Adam,last,1e-07,
2,0.35010500568266884,COMPLETE,2025-12-09 03:45:02.720210,2025-12-09 03:47:27.538415,0 days 00:02:24.818205,"[448, 448]",[],[1],2,False,0.0,uniform,gelu,16,False,128.0,0.0002,L2,True,SGD,last,1e-06,0.9
3,0.21758419036095988,COMPLETE,2025-12-09 03:47:27.539918,2025-12-09 03:50:06.157259,0 days 00:02:38.617341,"[448, 512, 640, 768]",[3],"[2, 3]",4,False,0.3,increasing,gelu,96,True,128.0,1e-05,minmax,False,AdamW,max,1e-05,
4,0.22065245387064952,COMPLETE,2025-12-09 03:50:06.158276,2025-12-09 03:52:07.362595,0 days 00:02:01.204319,"[640, 640, 640]",[],[],3,True,0.5,uniform,leakyrelu,96,True,768.0,5e-05,L2,True,SGD,last,1e-05,0.8
5,0.27578987733164606,COMPLETE,2025-12-09 03:52:07.363600,2025-12-09 03:52:22.178770,0 days 00:00:14.815170,[192],[],[],1,True,0.0,uniform,gelu,96,False,1024.0,0.0002,minmax,True,RMSprop,max,1e-05,
6,0.3777588316063275,COMPLETE,2025-12-09 03:52:22.180273,2025-12-09 03:53:45.088343,0 days 00:01:22.908070,[192],[],[],1,True,0.0,uniform,,16,False,,0.001,minmax,True,SGD,last,1e-05,0.7
7,0.21758419036095988,COMPLETE,2025-12-09 03:53:45.089847,2025-12-09 03:55:13.866171,0 days 00:01:28.776324,"[512, 640]",[1],[],2,False,0.4,increasing,leakyrelu,16,False,512.0,5e-05,L2,False,RMSprop,attention,1e-07,
8,0.21758419036095988,COMPLETE,2025-12-09 03:55:13.867177,2025-12-09 03:59:06.884187,0 days 00:03:53.017010,"[768, 768, 768, 768]",[3],[2],4,False,0.3,uniform,silu,128,True,768.0,0.001,L2,False,SGD,attention,1e-07,0.9
9,0.2701236499551384,COMPLETE,2025-12-09 03:59:06.885205,2025-12-09 04:00:31.778249,0 days 00:01:24.893044,"[128, 192, 256]",[2],[1],3,False,0.1,increasing,tanh,16,False,1024.0,2e-05,L2,True,SGD,mean,1e-05,0.0
10,0.21758419036095988,COMPLETE,2025-12-09 04:00:31.779752,2025-12-09 04:01:10.145307,0 days 00:00:38.365555,[896],[],[],1,True,0.0,decreasing,,48,False,,0.001,minmax,False,AdamW,mean,0.0,
11,0.4625862600592807,COMPLETE,2025-12-09 04:01:10.147308,2025-12-09 04:02:17.951855,0 days 00:01:07.804547,[64],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
12,0.3939638226943524,COMPLETE,2025-12-09 04:02:17.952872,2025-12-09 04:03:04.589617,0 days 00:00:46.636745,[64],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
13,0.4294296845906736,COMPLETE,2025-12-09 04:03:04.590890,2025-12-09 04:03:47.609659,0 days 00:00:43.018769,[64],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
14,0.46773905328585846,COMPLETE,2025-12-09 04:03:47.611040,2025-12-09 04:04:46.128188,0 days 00:00:58.517148,[256],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
15,0.23278875775066235,COMPLETE,2025-12-09 04:04:46.129690,2025-12-09 04:05:20.656835,0 days 00:00:34.527145,"[256, 192]",[1],[1],2,False,0.4,decreasing,elu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
16,0.21758419036095988,COMPLETE,2025-12-09 04:05:20.657840,2025-12-09 04:05:44.945435,0 days 00:00:24.287595,[256],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,attention,0.0,
17,0.21758419036095988,COMPLETE,2025-12-09 04:05:44.946448,2025-12-09 04:06:23.799724,0 days 00:00:38.853276,"[448, 384]",[1],[1],2,False,0.2,decreasing,relu,32,False,256.0,1e-05,minmax,True,Adam,max,1e-06,
18,0.21758419036095988,COMPLETE,2025-12-09 04:06:23.800872,2025-12-09 04:06:54.595144,0 days 00:00:30.794272,[640],[],[],1,True,0.0,decreasing,relu,128,True,512.0,2e-05,minmax,False,Adam,mean,0.0,
19,0.30072397297774306,COMPLETE,2025-12-09 04:06:54.596514,2025-12-09 04:07:31.629566,0 days 00:00:37.033052,"[256, 192]",[1],[],2,False,0.5,decreasing,elu,48,False,256.0,0.0001,minmax,True,RMSprop,last,0.0,
20,0.4414204876040948,COMPLETE,2025-12-09 04:07:31.630579,2025-12-09 04:08:04.950596,0 days 00:00:33.320017,[192],[],[],1,True,0.0,decreasing,tanh,64,False,256.0,0.0001,minmax,True,AdamW,last,0.0,
21,0.44516092249475125,COMPLETE,2025-12-09 04:08:04.952608,2025-12-09 04:08:43.951757,0 days 00:00:38.999149,[192],[],[],1,True,0.0,decreasing,tanh,64,False,256.0,0.0001,minmax,True,AdamW,last,0.0,
22,0.4390189507162014,COMPLETE,2025-12-09 04:08:43.952765,2025-12-09 04:09:21.509972,0 days 00:00:37.557207,[128],[],[],1,True,0.0,decreasing,tanh,64,False,256.0,0.0001,minmax,True,AdamW,last,0.0,
23,0.46370419061281015,COMPLETE,2025-12-09 04:09:21.511478,2025-12-09 04:10:00.123995,0 days 00:00:38.612517,[192],[],[],1,True,0.0,decreasing,tanh,64,False,256.0,0.0001,minmax,True,AdamW,last,0.0,
24,0.22575506800552173,COMPLETE,2025-12-09 04:10:00.125002,2025-12-09 04:10:38.679481,0 days 00:00:38.554479,"[384, 256]",[1],[1],2,False,0.5,decreasing,relu,32,False,256.0,0.0001,minmax,True,AdamW,last,1e-06,
25,0.45472666492376196,COMPLETE,2025-12-09 04:10:38.680498,2025-12-09 04:11:22.578216,0 days 00:00:43.897718,[128],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
26,0.21758419036095988,COMPLETE,2025-12-09 04:11:22.580738,2025-12-09 04:11:58.400816,0 days 00:00:35.820078,"[384, 256]",[],[],2,False,0.0,decreasing,tanh,64,True,768.0,1e-05,L2,False,Adam,mean,0.0,
27,0.21758419036095988,COMPLETE,2025-12-09 04:11:58.402894,2025-12-09 04:12:17.682097,0 days 00:00:19.279203,[64],[],[],1,True,0.0,decreasing,,32,False,,2e-05,minmax,True,AdamW,max,0.0,
28,0.21758419036095988,COMPLETE,2025-12-09 04:12:17.683097,2025-12-09 04:12:41.303827,0 days 00:00:23.620730,"[384, 256, 192]","[1, 2]",[1],3,False,0.5,decreasing,relu,128,False,512.0,5e-05,minmax,True,RMSprop,attention,0.0,
29,0.416340572479998,COMPLETE,2025-12-09 04:12:41.304838,2025-12-09 04:13:13.042421,0 days 00:00:31.737583,[128],[],[],1,True,0.0,increasing,elu,64,True,1024.0,0.0002,minmax,True,Adam,last,1e-06,
30,0.3320470220853362,COMPLETE,2025-12-09 04:13:13.044514,2025-12-09 04:14:02.054172,0 days 00:00:49.009658,"[192, 128]",[],[],2,False,0.0,decreasing,silu,48,False,256.0,0.0001,minmax,True,Adam,last,1e-07,
31,0.4359482950333892,COMPLETE,2025-12-09 04:14:02.056260,2025-12-09 04:14:58.987812,0 days 00:00:56.931552,[128],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
32,0.4225034512594961,COMPLETE,2025-12-09 04:14:58.989813,2025-12-09 04:15:46.877949,0 days 00:00:47.888136,[64],[],[],1,True,0.0,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
33,0.385932881883198,COMPLETE,2025-12-09 04:15:46.879452,2025-12-09 04:16:37.171567,0 days 00:00:50.292115,[128],[],[],1,True,0.0,decreasing,relu,32,False,128.0,0.0001,minmax,True,Adam,last,0.0,
34,0.3527186697405697,COMPLETE,2025-12-09 04:16:37.173821,2025-12-09 04:17:54.242330,0 days 00:01:17.068509,"[192, 128]",[1],[1],2,False,0.1,decreasing,relu,32,False,256.0,0.0001,minmax,True,Adam,last,0.0,
35,0.43007949269739176,COMPLETE,2025-12-09 04:17:54.243330,2025-12-09 04:18:28.522338,0 days 00:00:34.279008,[256],[],[],1,True,0.0,increasing,leakyrelu,64,False,128.0,0.0001,minmax,True,Adam,last,0.0,
36,0.21758419036095988,COMPLETE,2025-12-09 04:18:28.524376,2025-12-09 04:20:42.090081,0 days 00:02:13.565705,"[896, 896, 896, 896]","[1, 2]",[1],4,False,0.2,uniform,tanh,96,False,256.0,0.0002,L2,True,AdamW,last,1e-07,
37,0.25299437473010666,COMPLETE,2025-12-09 04:20:42.091086,2025-12-09 04:21:09.241409,0 days 00:00:27.150323,[128],[],[],1,True,0.0,decreasing,silu,32,True,256.0,1e-05,minmax,False,Adam,max,1e-06,
