number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.21758419036095988,COMPLETE,2025-12-09 18:44:45.788915,2025-12-09 18:46:17.365238,0 days 00:01:31.576323,"[256, 192]",[],[],2,False,0.0,decreasing,gelu,16,False,768.0,2e-05,minmax,True,AdamW,mean,1e-07,
1,0.27800550625690146,COMPLETE,2025-12-09 18:46:17.367245,2025-12-09 18:48:30.209590,0 days 00:02:12.842345,"[448, 448, 448, 448]",[],[],4,True,0.0,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-07,
2,0.21758419036095988,COMPLETE,2025-12-09 18:48:30.211591,2025-12-09 18:49:16.328001,0 days 00:00:46.116410,"[384, 256, 192, 128]","[1, 2, 3]",[],4,False,0.2,decreasing,,96,False,,1e-05,minmax,False,RMSprop,mean,1e-05,
3,0.21758419036095988,COMPLETE,2025-12-09 18:49:16.329004,2025-12-09 18:50:35.875086,0 days 00:01:19.546082,"[384, 384, 384]",[],[],3,True,0.0,uniform,gelu,128,True,768.0,0.001,L2,True,SGD,attention,0.0,0.9
4,0.21758419036095988,COMPLETE,2025-12-09 18:50:35.876085,2025-12-09 18:53:25.241299,0 days 00:02:49.365214,"[768, 768, 768, 768]",[],[],4,True,0.3,uniform,leakyrelu,32,False,256.0,5e-05,minmax,True,Adam,mean,1e-07,
5,0.22783939766050215,COMPLETE,2025-12-09 18:53:25.242754,2025-12-09 18:54:10.717823,0 days 00:00:45.475069,[768],[],[],1,True,0.0,decreasing,,48,False,,1e-05,minmax,False,Adam,max,1e-05,
6,0.24724926213129478,COMPLETE,2025-12-09 18:54:10.719823,2025-12-09 18:54:49.845323,0 days 00:00:39.125500,[128],[],[],1,True,0.0,increasing,gelu,48,True,128.0,0.0002,minmax,False,AdamW,max,0.0,
7,0.2734414292056523,COMPLETE,2025-12-09 18:54:49.846460,2025-12-09 18:56:43.262850,0 days 00:01:53.416390,"[192, 256, 384]",[],[1],3,False,0.0,increasing,relu,48,True,768.0,0.0001,L2,True,RMSprop,mean,1e-07,
8,0.21758419036095988,COMPLETE,2025-12-09 18:56:43.264353,2025-12-09 18:59:09.468199,0 days 00:02:26.203846,"[896, 768, 640]",[2],"[1, 2]",3,False,0.4,decreasing,gelu,48,False,128.0,0.0001,minmax,False,AdamW,attention,1e-05,
9,0.21758419036095988,COMPLETE,2025-12-09 18:59:09.470206,2025-12-09 19:01:41.619781,0 days 00:02:32.149575,"[448, 448, 448, 448]",[1],"[1, 2]",4,False,0.4,uniform,relu,64,True,128.0,0.0002,minmax,True,AdamW,max,0.0,
10,0.4444956189281698,COMPLETE,2025-12-09 19:01:41.621103,2025-12-09 19:02:55.787758,0 days 00:01:14.166655,"[64, 64]",[],[],2,True,0.0,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
11,0.4612005666028101,COMPLETE,2025-12-09 19:02:55.789265,2025-12-09 19:04:16.438319,0 days 00:01:20.649054,"[64, 64]",[],[],2,True,0.0,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
12,0.45066830144038644,COMPLETE,2025-12-09 19:04:16.439322,2025-12-09 19:05:33.465841,0 days 00:01:17.026519,"[64, 64]",[],[],2,True,0.1,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
13,0.46271552138592476,COMPLETE,2025-12-09 19:05:33.466841,2025-12-09 19:07:01.630187,0 days 00:01:28.163346,"[64, 64]",[],[],2,True,0.1,uniform,silu,32,False,1024.0,0.001,L2,True,Adam,last,1e-06,
14,0.21758419036095988,COMPLETE,2025-12-09 19:07:01.631208,2025-12-09 19:07:50.023790,0 days 00:00:48.392582,"[192, 192]",[1],[],2,False,0.1,uniform,silu,32,False,1024.0,0.001,L2,True,SGD,last,1e-06,0.0
15,0.4327010187822335,COMPLETE,2025-12-09 19:07:50.023790,2025-12-09 19:08:46.423923,0 days 00:00:56.400133,[192],[],[],1,True,0.0,uniform,tanh,64,False,512.0,5e-05,L2,True,Adam,last,1e-06,
16,0.44107980288099424,COMPLETE,2025-12-09 19:08:46.424923,2025-12-09 19:11:05.754303,0 days 00:02:19.329380,"[512, 640]",[],[1],2,False,0.0,increasing,silu,96,False,1024.0,2e-05,L2,True,Adam,last,1e-06,
17,0.44274870900169166,COMPLETE,2025-12-09 19:11:05.755808,2025-12-09 19:14:51.699677,0 days 00:03:45.943869,"[192, 192, 192]",[],[],3,True,0.0,uniform,silu,16,False,1024.0,0.001,L2,True,Adam,last,1e-06,
18,0.2626831066639855,COMPLETE,2025-12-09 19:14:51.699677,2025-12-09 19:15:09.450923,0 days 00:00:17.751246,[64],[],[],1,True,0.0,uniform,tanh,128,True,512.0,0.001,L2,False,SGD,last,1e-06,0.8
19,0.21758419036095988,COMPLETE,2025-12-09 19:15:09.450923,2025-12-09 19:15:58.873545,0 days 00:00:49.422622,"[64, 128]",[1],[],2,False,0.2,increasing,leakyrelu,32,False,1024.0,0.001,L2,True,RMSprop,attention,1e-06,
20,0.4449865422814723,COMPLETE,2025-12-09 19:15:58.874631,2025-12-09 19:21:42.094495,0 days 00:05:43.219864,"[896, 896, 896]",[],[],3,True,0.1,uniform,elu,32,False,1024.0,0.0001,L2,True,Adam,last,1e-06,
21,0.4520646679465026,COMPLETE,2025-12-09 19:21:42.097016,2025-12-09 19:23:03.023138,0 days 00:01:20.926122,"[64, 64]",[],[],2,True,0.1,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
22,0.46015430128973733,COMPLETE,2025-12-09 19:23:03.024142,2025-12-09 19:24:19.306746,0 days 00:01:16.282604,"[128, 128]",[],[],2,True,0.1,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
23,0.4571993036086762,COMPLETE,2025-12-09 19:24:19.307750,2025-12-09 19:25:55.632339,0 days 00:01:36.324589,"[192, 192]",[],[],2,True,0.1,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
24,0.45038315894526215,COMPLETE,2025-12-09 19:25:55.633339,2025-12-09 19:26:43.374893,0 days 00:00:47.741554,[128],[],[],1,True,0.0,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
