number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.21758419036095988,COMPLETE,2025-12-09 20:25:20.237341,2025-12-09 20:26:05.514357,0 days 00:00:45.277016,"[128, 128]",[],[],2,True,0.4,uniform,tanh,32,False,128.0,0.0001,L2,True,Adam,last,1e-07,
1,0.21758419036095988,COMPLETE,2025-12-09 20:26:05.515522,2025-12-09 20:27:18.847835,0 days 00:01:13.332313,"[192, 256, 384, 448]",[3],[3],4,False,0.2,increasing,elu,48,False,768.0,5e-05,minmax,False,SGD,mean,1e-05,0.7
2,0.4499530725440336,COMPLETE,2025-12-09 20:27:18.847835,2025-12-09 20:29:39.482100,0 days 00:02:20.634265,[64],[],[],1,True,0.0,decreasing,silu,16,True,1024.0,0.001,L2,True,Adam,last,1e-06,
3,0.21758419036095988,COMPLETE,2025-12-09 20:29:39.482100,2025-12-09 20:30:05.625337,0 days 00:00:26.143237,"[128, 128]",[],[],2,True,0.2,uniform,relu,128,True,128.0,0.0001,minmax,False,Adam,mean,1e-07,
4,0.21758419036095988,COMPLETE,2025-12-09 20:30:05.626343,2025-12-09 20:31:04.801238,0 days 00:00:59.174895,"[384, 256, 192]","[1, 2]","[1, 2]",3,False,0.4,decreasing,silu,128,True,768.0,0.001,L2,False,RMSprop,attention,1e-06,
5,0.24310078431267673,COMPLETE,2025-12-09 20:31:04.802238,2025-12-09 20:31:33.532828,0 days 00:00:28.730590,"[192, 128]",[],[1],2,False,0.0,decreasing,,96,False,,5e-05,L2,False,SGD,attention,1e-05,0.8
6,0.25749098509629764,COMPLETE,2025-12-09 20:31:33.535065,2025-12-09 20:33:01.076981,0 days 00:01:27.541916,"[512, 448]",[1],[1],2,False,0.5,decreasing,gelu,64,True,768.0,2e-05,L2,False,SGD,max,0.0,0.9
7,0.27372506256392415,COMPLETE,2025-12-09 20:33:01.078984,2025-12-09 20:33:45.492697,0 days 00:00:44.413713,[448],[],[],1,True,0.0,decreasing,silu,48,False,128.0,0.0001,L2,True,RMSprop,attention,1e-07,
8,0.21758419036095988,COMPLETE,2025-12-09 20:33:45.493698,2025-12-09 20:34:26.617470,0 days 00:00:41.123772,"[192, 256, 384]","[1, 2]",[],3,False,0.4,increasing,tanh,64,False,128.0,0.0002,L2,False,AdamW,last,1e-06,
9,0.21758419036095988,COMPLETE,2025-12-09 20:34:26.618473,2025-12-09 20:35:42.422230,0 days 00:01:15.803757,"[192, 192, 192, 192]","[1, 2, 3]",[2],4,False,0.1,uniform,,64,True,,0.0001,minmax,True,RMSprop,max,0.0,
