number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
0,0.46053175296969207,COMPLETE,2025-12-09 23:07:52.592649,2025-12-09 23:10:45.690835,0 days 00:02:53.098186,"[128, 128]",[],[],2,True,0.4,uniform,tanh,32,False,128.0,0.0001,L2,True,Adam,last,1e-07,
1,0.24893077528786467,COMPLETE,2025-12-09 23:10:45.691824,2025-12-09 23:12:23.403014,0 days 00:01:37.711190,"[192, 256, 384, 448]",[3],[3],4,False,0.2,increasing,elu,48,False,768.0,5e-05,minmax,False,SGD,mean,1e-05,0.7
2,0.4975111894277724,COMPLETE,2025-12-09 23:12:23.404018,2025-12-09 23:14:07.789376,0 days 00:01:44.385358,[64],[],[],1,True,0.0,decreasing,silu,16,True,1024.0,0.001,L2,True,Adam,last,1e-06,
3,0.21758419036095988,COMPLETE,2025-12-09 23:14:07.789376,2025-12-09 23:14:45.122160,0 days 00:00:37.332784,"[128, 128]",[],[],2,True,0.2,uniform,relu,128,True,128.0,0.0001,minmax,False,Adam,mean,1e-07,
4,0.21973936277475298,COMPLETE,2025-12-09 23:14:45.124160,2025-12-09 23:16:15.244977,0 days 00:01:30.120817,"[384, 256, 192]","[1, 2]","[1, 2]",3,False,0.4,decreasing,silu,128,True,768.0,0.001,L2,False,RMSprop,attention,1e-06,
5,0.2598703543969968,COMPLETE,2025-12-09 23:16:15.251544,2025-12-09 23:16:52.944729,0 days 00:00:37.693185,"[192, 128]",[],[1],2,False,0.0,decreasing,,96,False,,5e-05,L2,False,SGD,attention,1e-05,0.8
6,0.28393701232781693,COMPLETE,2025-12-09 23:16:52.944729,2025-12-09 23:18:52.037302,0 days 00:01:59.092573,"[512, 448]",[1],[1],2,False,0.5,decreasing,gelu,64,True,768.0,2e-05,L2,False,SGD,max,0.0,0.9
7,0.4487397149093056,COMPLETE,2025-12-09 23:18:52.039346,2025-12-09 23:20:25.786598,0 days 00:01:33.747252,[448],[],[],1,True,0.0,decreasing,silu,48,False,128.0,0.0001,L2,True,RMSprop,attention,1e-07,
8,0.392242899404569,COMPLETE,2025-12-09 23:20:25.786598,2025-12-09 23:22:17.061882,0 days 00:01:51.275284,"[192, 256, 384]","[1, 2]",[],3,False,0.4,increasing,tanh,64,False,128.0,0.0002,L2,False,AdamW,last,1e-06,
9,0.23875627098731336,COMPLETE,2025-12-09 23:22:17.062885,2025-12-09 23:24:21.138396,0 days 00:02:04.075511,"[192, 192, 192, 192]","[1, 2, 3]",[2],4,False,0.1,uniform,,64,True,,0.0001,minmax,True,RMSprop,max,0.0,
10,0.21758419036095988,COMPLETE,2025-12-09 23:24:21.139641,2025-12-09 23:29:02.129832,0 days 00:04:40.990191,[896],[],[],1,True,0.0,decreasing,leakyrelu,16,True,1024.0,0.001,minmax,True,Adam,last,1e-06,
11,0.45735239968963876,COMPLETE,2025-12-09 23:29:02.130833,2025-12-09 23:34:42.516303,0 days 00:05:40.385470,[896],[],[],1,True,0.0,uniform,tanh,32,False,512.0,1e-05,L2,True,Adam,last,1e-07,
12,0.5476759025052189,COMPLETE,2025-12-09 23:34:42.517857,2025-12-09 23:36:16.430756,0 days 00:01:33.912899,[448],[],[],1,True,0.0,uniform,silu,32,False,1024.0,0.001,L2,True,Adam,last,1e-06,
13,0.4523246154284871,COMPLETE,2025-12-09 23:36:16.431762,2025-12-09 23:39:44.223588,0 days 00:03:27.791826,[512],[],[],1,True,0.0,uniform,silu,16,True,1024.0,0.001,L2,True,Adam,last,1e-06,
14,0.5087879310048249,COMPLETE,2025-12-09 23:39:44.225599,2025-12-09 23:41:28.628738,0 days 00:01:44.403139,[64],[],[],1,True,0.0,increasing,silu,16,False,1024.0,0.001,L2,True,AdamW,last,1e-06,
15,0.4996522635678822,COMPLETE,2025-12-09 23:41:28.630763,2025-12-09 23:42:24.429792,0 days 00:00:55.799029,[64],[],[],1,True,0.0,increasing,silu,32,False,256.0,0.001,L2,True,AdamW,last,1e-06,
16,0.46169510780424244,COMPLETE,2025-12-09 23:42:24.431794,2025-12-09 23:44:16.947538,0 days 00:01:52.515744,"[64, 128, 192]",[],[],3,False,0.0,increasing,gelu,96,False,1024.0,0.0002,L2,True,AdamW,last,1e-06,
