number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.4033625567886892,2025-06-13 03:20:44.336049,2025-06-13 03:25:12.026696,0 days 00:04:27.690647,32,True,0.0,512,1e-05,minmax,2,COMPLETE
1,0.3751418199880153,2025-06-13 03:25:12.027696,2025-06-13 03:25:58.639280,0 days 00:00:46.611584,128,False,0.5,256,0.0001,L2,2,COMPLETE
2,0.22544890104853424,2025-06-13 03:25:58.640280,2025-06-13 03:26:35.083537,0 days 00:00:36.443257,128,False,0.3,64,0.0001,L2,3,COMPLETE
3,0.219851571084175,2025-06-13 03:26:35.084538,2025-06-13 03:28:38.724548,0 days 00:02:03.640010,128,False,0.3,512,1e-05,minmax,3,COMPLETE
4,0.4722949145767122,2025-06-13 03:28:38.724548,2025-06-13 03:30:34.260725,0 days 00:01:55.536177,32,True,0.2,64,0.001,L2,3,COMPLETE
5,0.3012393268982815,2025-06-13 03:30:34.261725,2025-06-13 03:31:23.916974,0 days 00:00:49.655249,64,True,0.2,128,1e-05,minmax,1,COMPLETE
6,0.42995291300104876,2025-06-13 03:31:23.917975,2025-06-13 03:32:47.514914,0 days 00:01:23.596939,32,False,0.5,512,0.0001,minmax,1,COMPLETE
7,0.37785830444528645,2025-06-13 03:32:47.515914,2025-06-13 03:33:54.008978,0 days 00:01:06.493064,64,False,0.3,512,1e-05,minmax,1,COMPLETE
8,0.47264256187358117,2025-06-13 03:33:54.009979,2025-06-13 03:34:28.216729,0 days 00:00:34.206750,128,False,0.0,256,0.001,L2,1,COMPLETE
9,0.4771673113210729,2025-06-13 03:34:28.217729,2025-06-13 03:34:58.623618,0 days 00:00:30.405889,128,False,0.3,64,0.001,L2,1,COMPLETE
10,0.4594007981123286,2025-06-13 03:34:58.624618,2025-06-13 03:35:38.285603,0 days 00:00:39.660985,128,True,0.1,64,0.001,L2,2,COMPLETE
11,0.45650616885180784,2025-06-13 03:35:38.286603,2025-06-13 03:36:12.109266,0 days 00:00:33.822663,128,False,0.0,256,0.001,L2,1,COMPLETE
12,0.462255153839987,2025-06-13 03:36:12.110266,2025-06-13 03:36:46.300013,0 days 00:00:34.189747,128,False,0.4,256,0.001,L2,1,COMPLETE
13,0.4625613882446399,2025-06-13 03:36:46.301012,2025-06-13 03:37:16.858936,0 days 00:00:30.557924,128,False,0.0,128,0.001,L2,1,COMPLETE
14,0.4391277098259643,2025-06-13 03:37:16.859936,2025-06-13 03:38:02.609301,0 days 00:00:45.749365,128,False,0.1,256,0.001,L2,2,COMPLETE
15,0.48852398659497764,2025-06-13 03:38:02.610301,2025-06-13 03:38:43.921660,0 days 00:00:41.311359,64,False,0.4,64,0.001,L2,1,COMPLETE
16,0.44182131501701266,2025-06-13 03:38:43.922660,2025-06-13 03:39:32.470659,0 days 00:00:48.547999,64,False,0.4,64,0.001,L2,2,COMPLETE
17,0.480071202752476,2025-06-13 03:39:32.471659,2025-06-13 03:40:13.759013,0 days 00:00:41.287354,64,False,0.4,64,0.001,L2,1,COMPLETE
18,0.4768011180461455,2025-06-13 03:40:13.760014,2025-06-13 03:41:02.786172,0 days 00:00:49.026158,64,True,0.4,64,0.001,L2,1,COMPLETE
19,0.27966523930812215,2025-06-13 03:41:02.787173,2025-06-13 03:41:55.117847,0 days 00:00:52.330674,64,False,0.4,64,0.0001,L2,2,COMPLETE
