number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.406938907822146,2025-06-13 03:41:55.567949,2025-06-13 03:43:14.977789,0 days 00:01:19.409840,64,True,0.2,64,0.0001,minmax,3,COMPLETE
1,0.4340175465736717,2025-06-13 03:43:14.978789,2025-06-13 03:44:50.102649,0 days 00:01:35.123860,64,True,0.3,128,0.001,minmax,3,COMPLETE
2,0.4497471492778427,2025-06-13 03:44:50.103649,2025-06-13 03:49:23.029647,0 days 00:04:32.925998,64,True,0.2,512,0.0001,L2,2,COMPLETE
3,0.4716983363809029,2025-06-13 03:49:23.030647,2025-06-13 03:50:22.614268,0 days 00:00:59.583621,128,False,0.0,512,0.001,L2,1,COMPLETE
4,0.42625043611665286,2025-06-13 03:50:22.615269,2025-06-13 03:51:28.473664,0 days 00:01:05.858395,64,False,0.1,512,0.0001,L2,1,COMPLETE
5,0.41322949837079825,2025-06-13 03:51:28.473664,2025-06-13 03:55:36.246177,0 days 00:04:07.772513,32,True,0.5,512,1e-05,minmax,2,COMPLETE
6,0.4089904398133995,2025-06-13 03:55:36.261803,2025-06-13 03:56:21.433757,0 days 00:00:45.171954,64,False,0.3,64,0.0001,minmax,2,COMPLETE
7,0.31674868124024236,2025-06-13 03:56:21.433757,2025-06-13 03:57:17.761308,0 days 00:00:56.327551,32,False,0.4,256,1e-05,minmax,1,COMPLETE
8,0.44383705652581773,2025-06-13 03:57:17.761308,2025-06-13 03:58:31.893671,0 days 00:01:14.132363,32,True,0.0,256,0.0001,minmax,1,COMPLETE
9,0.21736632484892876,2025-06-13 03:58:31.893671,2025-06-13 04:03:41.894775,0 days 00:05:10.001104,64,True,0.0,512,1e-05,L2,3,COMPLETE
10,0.4619880201887939,2025-06-13 04:03:41.894775,2025-06-13 04:04:10.107252,0 days 00:00:28.212477,128,False,0.0,128,0.001,L2,1,COMPLETE
11,0.46577329963155245,2025-06-13 04:04:10.107252,2025-06-13 04:04:38.782432,0 days 00:00:28.675180,128,False,0.0,128,0.001,L2,1,COMPLETE
12,0.4666884009444866,2025-06-13 04:04:38.782432,2025-06-13 04:05:07.322599,0 days 00:00:28.540167,128,False,0.0,128,0.001,L2,1,COMPLETE
13,0.4622133621411685,2025-06-13 04:05:07.322599,2025-06-13 04:05:35.410814,0 days 00:00:28.088215,128,False,0.0,128,0.001,L2,1,COMPLETE
14,0.47421707064573193,2025-06-13 04:05:35.410814,2025-06-13 04:06:58.232980,0 days 00:01:22.822166,128,False,0.5,512,0.001,L2,2,COMPLETE
15,0.48371080487652873,2025-06-13 04:06:58.232980,2025-06-13 04:08:21.973128,0 days 00:01:23.740148,128,False,0.5,512,0.001,L2,2,COMPLETE
16,0.4541886674508969,2025-06-13 04:08:21.973128,2025-06-13 04:09:45.788589,0 days 00:01:23.815461,128,False,0.5,512,0.001,L2,2,COMPLETE
17,0.47344679360236236,2025-06-13 04:09:45.788589,2025-06-13 04:11:09.721717,0 days 00:01:23.933128,128,False,0.5,512,0.001,L2,2,COMPLETE
18,0.4849837746872847,2025-06-13 04:11:09.721717,2025-06-13 04:12:37.739858,0 days 00:01:28.018141,128,False,0.5,512,0.001,L2,2,COMPLETE
19,0.4456731256647014,2025-06-13 04:12:37.740858,2025-06-13 04:13:11.720267,0 days 00:00:33.979409,128,False,0.5,64,0.001,L2,2,COMPLETE
