number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.3588218848332746,2025-06-13 04:51:33.565599,2025-06-13 04:52:40.204356,0 days 00:01:06.638757,128,False,0.3,128,0.001,minmax,3,COMPLETE
1,0.408790445923661,2025-06-13 04:52:40.205357,2025-06-13 04:55:13.278378,0 days 00:02:33.073021,128,True,0.0,256,0.0001,L2,2,COMPLETE
2,0.36932360532390623,2025-06-13 04:55:13.278378,2025-06-13 04:56:03.622374,0 days 00:00:50.343996,128,False,0.1,64,0.0001,minmax,2,COMPLETE
3,0.43009532000853345,2025-06-13 04:56:03.623374,2025-06-13 05:03:57.216587,0 days 00:07:53.593213,64,True,0.1,512,0.0001,minmax,2,COMPLETE
4,0.4063313281079187,2025-06-13 05:03:57.217586,2025-06-13 05:05:33.620049,0 days 00:01:36.402463,32,True,0.2,64,0.0001,minmax,1,COMPLETE
5,0.21736632484892876,2025-06-13 05:05:33.621050,2025-06-13 05:10:08.595552,0 days 00:04:34.974502,128,False,0.4,512,1e-05,minmax,3,COMPLETE
6,0.39988458875049493,2025-06-13 05:10:08.596553,2025-06-13 05:11:22.419936,0 days 00:01:13.823383,64,True,0.2,128,0.0001,L2,1,COMPLETE
7,0.4583871072700905,2025-06-13 05:11:22.420937,2025-06-13 05:12:11.597685,0 days 00:00:49.176748,128,False,0.0,64,0.001,L2,2,COMPLETE
8,0.4268006892160846,2025-06-13 05:12:11.598696,2025-06-13 05:16:07.834074,0 days 00:03:56.235378,64,True,0.2,256,0.001,L2,3,COMPLETE
9,0.4479815634898757,2025-06-13 05:16:07.834074,2025-06-13 05:18:50.376847,0 days 00:02:42.542773,128,False,0.0,512,0.001,L2,2,COMPLETE
10,0.2731330944880299,2025-06-13 05:18:50.377847,2025-06-13 05:20:08.393513,0 days 00:01:18.015666,32,False,0.5,64,1e-05,L2,1,COMPLETE
11,0.46595169646024714,2025-06-13 05:20:08.394514,2025-06-13 05:22:49.481818,0 days 00:02:41.087304,128,False,0.0,512,0.001,L2,2,COMPLETE
12,0.4520959584951032,2025-06-13 05:22:49.482819,2025-06-13 05:23:38.406648,0 days 00:00:48.923829,128,False,0.0,64,0.001,L2,2,COMPLETE
13,0.4681458331256959,2025-06-13 05:23:38.407648,2025-06-13 05:26:24.300995,0 days 00:02:45.893347,128,False,0.0,512,0.001,L2,2,COMPLETE
14,0.42612825478323746,2025-06-13 05:26:24.301996,2025-06-13 05:30:25.886385,0 days 00:04:01.584389,128,False,0.0,512,0.001,L2,3,COMPLETE
15,0.469905209358416,2025-06-13 05:30:25.886385,2025-06-13 05:32:24.262228,0 days 00:01:58.375843,32,False,0.5,512,0.001,L2,1,COMPLETE
16,0.24721471844198387,2025-06-13 05:32:24.263228,2025-06-13 05:35:00.118594,0 days 00:02:35.855366,32,False,0.5,512,1e-05,L2,1,COMPLETE
17,0.4217741173151682,2025-06-13 05:35:00.119593,2025-06-13 05:37:00.399088,0 days 00:02:00.279495,32,False,0.5,512,0.001,L2,1,COMPLETE
18,0.44631548310412017,2025-06-13 05:37:00.400089,2025-06-13 05:38:58.864099,0 days 00:01:58.464010,32,False,0.3,512,0.001,L2,1,COMPLETE
19,0.46716590018363185,2025-06-13 05:38:58.865099,2025-06-13 05:40:03.787602,0 days 00:01:04.922503,32,False,0.4,128,0.001,L2,1,COMPLETE
