number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.21736632484892876,2025-06-13 06:24:23.693277,2025-06-13 06:26:05.428564,0 days 00:01:41.735287,64,True,0.2,128,1e-05,minmax,2,COMPLETE
1,0.3707674712883413,2025-06-13 06:26:05.429564,2025-06-13 06:26:47.782504,0 days 00:00:42.352940,128,False,0.2,64,0.001,minmax,1,COMPLETE
2,0.34762872099571074,2025-06-13 06:26:47.783505,2025-06-13 06:28:09.575552,0 days 00:01:21.792047,128,True,0.0,128,0.0001,L2,2,COMPLETE
3,0.38772490876936916,2025-06-13 06:28:09.576553,2025-06-13 06:31:26.546248,0 days 00:03:16.969695,64,True,0.3,512,0.0001,minmax,1,COMPLETE
4,0.37893040304053943,2025-06-13 06:31:26.547248,2025-06-13 06:32:08.802238,0 days 00:00:42.254990,128,False,0.1,64,0.001,minmax,1,COMPLETE
5,0.40362691310442395,2025-06-13 06:32:08.803238,2025-06-13 06:34:44.810313,0 days 00:02:36.007075,32,True,0.1,128,0.0001,minmax,2,COMPLETE
6,0.38293355489969727,2025-06-13 06:34:44.811314,2025-06-13 06:43:56.705005,0 days 00:09:11.893691,32,True,0.3,512,1e-05,minmax,2,COMPLETE
7,0.22696512928792414,2025-06-13 06:43:56.706005,2025-06-13 06:45:39.643165,0 days 00:01:42.937160,64,True,0.0,64,1e-05,minmax,3,COMPLETE
8,0.2254292593031996,2025-06-13 06:45:39.645166,2025-06-13 06:47:15.364184,0 days 00:01:35.719018,32,False,0.2,64,1e-05,L2,2,COMPLETE
9,0.43863160005628166,2025-06-13 06:47:15.365184,2025-06-13 06:50:24.722046,0 days 00:03:09.356862,128,False,0.0,512,0.001,L2,2,COMPLETE
10,0.42142754200162125,2025-06-13 06:50:24.723047,2025-06-13 06:52:17.831318,0 days 00:01:53.108271,128,False,0.5,256,0.001,L2,3,COMPLETE
11,0.42743297363924454,2025-06-13 06:52:17.832319,2025-06-13 06:54:06.580489,0 days 00:01:48.748170,128,False,0.5,256,0.001,L2,3,COMPLETE
12,0.44821154533416313,2025-06-13 06:54:06.581489,2025-06-13 06:55:59.730993,0 days 00:01:53.149504,128,False,0.5,256,0.001,L2,3,COMPLETE
13,0.37566767971821746,2025-06-13 06:55:59.731993,2025-06-13 06:57:48.164014,0 days 00:01:48.432021,128,False,0.4,256,0.001,L2,3,COMPLETE
14,0.3980507682701861,2025-06-13 06:57:48.165014,2025-06-13 07:02:02.604163,0 days 00:04:14.439149,128,False,0.0,512,0.001,L2,3,COMPLETE
15,0.4410414078160779,2025-06-13 07:02:02.605163,2025-06-13 07:03:29.422109,0 days 00:01:26.816946,128,False,0.5,256,0.001,L2,2,COMPLETE
16,0.4391263372236204,2025-06-13 07:03:29.423110,2025-06-13 07:05:22.640533,0 days 00:01:53.217423,128,False,0.5,256,0.001,L2,3,COMPLETE
17,0.46119622942109373,2025-06-13 07:05:22.641534,2025-06-13 07:06:21.389055,0 days 00:00:58.747521,128,False,0.5,256,0.001,L2,1,COMPLETE
18,0.4846049918548962,2025-06-13 07:06:21.389055,2025-06-13 07:07:34.370224,0 days 00:01:12.981169,64,False,0.5,256,0.001,L2,1,COMPLETE
19,0.38091171900022514,2025-06-13 07:07:34.370224,2025-06-13 07:08:47.591545,0 days 00:01:13.221321,64,False,0.4,256,0.0001,L2,1,COMPLETE
