number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.41956939621567224,2025-06-13 07:14:48.894278,2025-06-13 07:17:59.821827,0 days 00:03:10.927549,32,True,0.2,512,0.0001,L2,2,COMPLETE
1,0.40327232199213403,2025-06-13 07:17:59.822827,2025-06-13 07:19:44.312382,0 days 00:01:44.489555,32,False,0.2,512,0.001,minmax,2,COMPLETE
2,0.3893793767544935,2025-06-13 07:19:44.313383,2025-06-13 07:21:05.264432,0 days 00:01:20.951049,32,True,0.2,128,0.0001,minmax,2,COMPLETE
3,0.22334680128333254,2025-06-13 07:21:05.265432,2025-06-13 07:21:35.020775,0 days 00:00:29.755343,128,False,0.2,64,1e-05,minmax,3,COMPLETE
4,0.4322151072217757,2025-06-13 07:21:35.021776,2025-06-13 07:22:06.496419,0 days 00:00:31.474643,128,True,0.1,64,0.001,L2,2,COMPLETE
5,0.3601951624630175,2025-06-13 07:22:06.497420,2025-06-13 07:22:31.246033,0 days 00:00:24.748613,128,False,0.3,64,0.0001,minmax,1,COMPLETE
6,0.37195368656329253,2025-06-13 07:22:31.247033,2025-06-13 07:23:47.848637,0 days 00:01:16.601604,32,True,0.5,64,0.0001,minmax,2,COMPLETE
7,0.4208476598651772,2025-06-13 07:23:47.849637,2025-06-13 07:26:53.983240,0 days 00:03:06.133603,128,True,0.1,512,0.001,minmax,3,COMPLETE
8,0.45782105878689416,2025-06-13 07:26:53.984240,2025-06-13 07:29:22.923219,0 days 00:02:28.938979,64,True,0.4,512,0.001,minmax,2,COMPLETE
9,0.37653948828122996,2025-06-13 07:29:22.924219,2025-06-13 07:29:47.353541,0 days 00:00:24.429322,128,False,0.0,128,0.0001,minmax,1,COMPLETE
10,0.267514194560773,2025-06-13 07:29:47.354542,2025-06-13 07:30:30.340426,0 days 00:00:42.985884,64,True,0.4,256,1e-05,L2,1,COMPLETE
11,0.40070553855160157,2025-06-13 07:30:30.341426,2025-06-13 07:32:01.041435,0 days 00:01:30.700009,64,True,0.1,256,0.001,L2,3,COMPLETE
12,0.439227752224473,2025-06-13 07:32:01.042434,2025-06-13 07:32:49.638783,0 days 00:00:48.596349,64,True,0.4,64,0.001,L2,2,COMPLETE
13,0.4369084959925774,2025-06-13 07:32:49.639784,2025-06-13 07:35:13.729871,0 days 00:02:24.090087,64,True,0.4,512,0.001,L2,2,COMPLETE
14,0.4279756581170148,2025-06-13 07:35:13.730871,2025-06-13 07:36:12.009924,0 days 00:00:58.279053,64,True,0.4,64,0.001,L2,3,COMPLETE
15,0.43489973231373363,2025-06-13 07:36:12.010925,2025-06-13 07:37:19.845303,0 days 00:01:07.834378,64,True,0.4,512,0.001,L2,1,COMPLETE
16,0.42862164093295607,2025-06-13 07:37:19.846303,2025-06-13 07:38:11.703237,0 days 00:00:51.856934,64,True,0.4,128,0.001,minmax,2,COMPLETE
17,0.2407136274932907,2025-06-13 07:38:11.704238,2025-06-13 07:38:56.459265,0 days 00:00:44.755027,64,True,0.0,256,1e-05,L2,1,COMPLETE
18,0.4042728901227181,2025-06-13 07:38:56.460265,2025-06-13 07:40:38.721437,0 days 00:01:42.261172,64,False,0.3,512,0.001,minmax,3,COMPLETE
19,0.42238301528978306,2025-06-13 07:40:38.722437,2025-06-13 07:41:27.102959,0 days 00:00:48.380522,64,True,0.5,64,0.001,L2,2,COMPLETE
