number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.44755874537141915,2025-06-13 10:49:04.187937,2025-06-13 10:54:04.123890,0 days 00:04:59.935953,64,True,0.0,256,0.0001,L2,3,COMPLETE
1,0.47033529811245023,2025-06-13 10:54:04.124890,2025-06-13 11:01:49.689038,0 days 00:07:45.564148,32,False,0.0,512,0.0001,minmax,3,COMPLETE
2,0.21736632484892876,2025-06-13 11:01:49.690038,2025-06-13 11:07:22.045685,0 days 00:05:32.355647,32,True,0.2,256,1e-05,L2,2,COMPLETE
3,0.2872505376026102,2025-06-13 11:07:22.046685,2025-06-13 11:08:24.921929,0 days 00:01:02.875244,128,True,0.4,128,1e-05,minmax,1,COMPLETE
4,0.4011124238898426,2025-06-13 11:08:24.921929,2025-06-13 11:10:14.523761,0 days 00:01:49.601832,32,True,0.5,64,0.0001,minmax,1,COMPLETE
5,0.2704588901741727,2025-06-13 11:10:14.524761,2025-06-13 11:11:24.285566,0 days 00:01:09.760805,64,False,0.5,128,1e-05,minmax,1,COMPLETE
6,0.2626446300060162,2025-06-13 11:11:24.286567,2025-06-13 11:15:30.158270,0 days 00:04:05.871703,64,True,0.1,512,1e-05,L2,1,COMPLETE
7,0.28642748082191166,2025-06-13 11:15:30.159270,2025-06-13 11:16:42.709191,0 days 00:01:12.549921,128,True,0.0,128,1e-05,L2,1,COMPLETE
8,0.511490084926144,2025-06-13 11:16:42.710191,2025-06-13 11:18:43.681598,0 days 00:02:00.971407,32,False,0.0,64,0.001,L2,2,COMPLETE
9,0.31234255966092467,2025-06-13 11:18:43.682598,2025-06-13 11:20:52.392759,0 days 00:02:08.710161,64,True,0.3,128,1e-05,minmax,2,COMPLETE
10,0.4638148290283695,2025-06-13 11:20:52.393759,2025-06-13 11:22:54.687465,0 days 00:02:02.293706,32,False,0.1,64,0.001,L2,2,COMPLETE
11,0.4627582310605569,2025-06-13 11:22:54.688465,2025-06-13 11:31:09.095944,0 days 00:08:14.407479,32,False,0.0,512,0.001,minmax,3,COMPLETE
12,0.4587706269107879,2025-06-13 11:31:09.096944,2025-06-13 11:33:52.492771,0 days 00:02:43.395827,32,False,0.0,64,0.001,L2,3,COMPLETE
13,0.4838152715251717,2025-06-13 11:33:52.493772,2025-06-13 11:42:12.622947,0 days 00:08:20.129175,32,False,0.0,512,0.0001,minmax,3,COMPLETE
14,0.4729106117165537,2025-06-13 11:42:12.623947,2025-06-13 11:44:13.579350,0 days 00:02:00.955403,32,False,0.4,64,0.001,minmax,2,COMPLETE
15,0.28263221761172563,2025-06-13 11:44:13.580350,2025-06-13 11:49:23.400955,0 days 00:05:09.820605,32,False,0.3,512,0.0001,L2,2,COMPLETE
