id,embedding,best_f1_hist,best_f1_final,difference
1,baseline_CASIAB.csv,0.55226,0.47691,-0.07535
2,baseline_OUMVLP.csv,0.50223,0.53488,0.03265
3,gaitgl.csv,0.54816,0.61843,0.07027
4,gaitgl_GREW.csv,0.54416,0.42353,-0.12063
5,gaitgl_GREW_BNNeck.csv,0.39076,0.35385,-0.03691
6,gaitgl_OUMVLP.csv,0.52764,0.52764,0.0
7,gaitpart_GREW.csv,0.47065,0.52762,0.05697
8,gaitpart_OUMVLP.csv,0.4019,0.39608,-0.00582
9,gaitset.csv,0.36898,0.40599,0.03701
10,gaitset_GREW.csv,0.48614,0.4942,0.00806
11,gaitset_OUMVLP.csv,0.21538,0.21538,0.0
12,gln_phase1.csv,0.43809,0.51351,0.07542
13,gln_phase2.csv,0.47385,0.43333,-0.04052
14,baseline_CASIAB.csv,0.43135,0.55872,0.12737
15,baseline_OUMVLP.csv,0.55009,0.53434,-0.01575
16,gaitgl.csv,0.42281,0.45794,0.03513
17,gaitgl_GREW.csv,0.45445,0.47953,0.02508
18,gaitgl_GREW_BNNeck.csv,0.37073,0.45879,0.08806
19,gaitgl_OUMVLP.csv,0.56679,0.47475,-0.09204
20,gaitpart_GREW.csv,0.57705,0.44803,-0.12902
21,gaitpart_OUMVLP.csv,0.47747,0.36471,-0.11276
22,gaitset.csv,0.28523,0.35449,0.06926
23,gaitset_GREW.csv,0.40742,0.38943,-0.01799
24,gaitset_OUMVLP.csv,0.5478,0.33659,-0.21121
25,gln_phase1.csv,0.42395,0.44502,0.02107
26,gln_phase2.csv,0.46223,0.45443,-0.0078
27,baseline_CASIAB.csv,0.21538,0.21538,0.0
28,baseline_OUMVLP.csv,0.21538,0.21538,0.0
29,gaitgl.csv,0.21538,0.21538,0.0
30,gaitgl_GREW.csv,0.21538,0.21538,0.0
31,gaitgl_GREW_BNNeck.csv,0.21538,0.21538,0.0
32,gaitgl_OUMVLP.csv,0.21538,0.21538,0.0
33,gaitpart_GREW.csv,0.21538,0.21538,0.0
34,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0
35,gaitset.csv,0.21538,0.21538,0.0
36,gaitset_GREW.csv,0.21538,0.21538,0.0
37,gaitset_OUMVLP.csv,0.21538,0.21538,0.0
38,gln_phase1.csv,0.21538,0.21538,0.0
39,gln_phase2.csv,0.21538,0.21538,0.0
40,baseline_CASIAB.csv,0.33333,0.21538,-0.11795
41,baseline_OUMVLP.csv,0.21538,0.21538,0.0
42,gaitgl.csv,0.21538,0.21538,0.0
43,gaitgl_GREW.csv,0.21538,0.21538,0.0
44,gaitgl_GREW_BNNeck.csv,0.21538,0.21538,0.0
45,gaitgl_OUMVLP.csv,0.21538,0.25797,0.04259
46,gaitpart_GREW.csv,0.21538,0.21538,0.0
47,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0
48,gaitset.csv,0.29142,0.21538,-0.07604
49,gaitset_GREW.csv,0.21538,0.21538,0.0
50,gaitset_OUMVLP.csv,0.21538,0.21538,0.0
51,gln_phase1.csv,0.21538,0.21538,0.0
52,gln_phase2.csv,0.21538,0.21538,0.0
53,baseline_CASIAB.csv,0.3862,0.45833,0.07213
54,baseline_OUMVLP.csv,0.44274,0.52719,0.08445
55,gaitgl.csv,0.49122,0.49671,0.00549
56,gaitgl_GREW.csv,0.38194,0.49448,0.11254
57,gaitgl_GREW_BNNeck.csv,0.41577,0.40863,-0.00714
58,gaitgl_OUMVLP.csv,0.56756,0.46795,-0.09961
59,gaitpart_GREW.csv,0.42109,0.44443,0.02334
60,gaitpart_OUMVLP.csv,0.38337,0.40908,0.02571
61,gaitset.csv,0.30438,0.3583,0.05392
62,gaitset_GREW.csv,0.36508,0.40678,0.0417
63,gaitset_OUMVLP.csv,0.34329,0.31759,-0.0257
64,gln_phase1.csv,0.46834,0.43761,-0.03073
65,gln_phase2.csv,0.39276,0.45238,0.05962
66,baseline_CASIAB.csv,0.40902,0.52751,0.11849
67,baseline_OUMVLP.csv,0.46758,0.51603,0.04845
68,gaitgl.csv,0.42646,0.41144,-0.01502
69,gaitgl_GREW.csv,0.42845,0.43485,0.0064
70,gaitgl_GREW_BNNeck.csv,0.37912,0.33838,-0.04074
71,gaitgl_OUMVLP.csv,0.41,0.36419,-0.04581
72,gaitpart_GREW.csv,0.52983,0.44444,-0.08539
