extractor,model,epochs,batch_size,normalization,num_layers,hidden_dim,bidirectional,dropout,lr,train_loss,accuracy,f1_macro,best_f1_score,best_epoch
baseline_CASIAB.csv,LSTM,182,32,L2,2,64,True,0.0,0.001,4e-05,0.47126,0.41664,0.47723,122.0
baseline_OUMVLP.csv,LSTM,147,32,L2,2,64,True,0.0,0.001,2e-05,0.50575,0.41852,0.46608,117.0
gaitgl.csv,LSTM,126,32,L2,2,64,True,0.0,0.001,3e-05,0.48276,0.40727,0.44592,84.0
gaitgl_GREW.csv,LSTM,126,32,L2,2,64,True,0.0,0.001,3e-05,0.48276,0.38333,0.42716,73.0
gaitgl_GREW_BNNeck.csv,LSTM,162,32,L2,2,64,True,0.0,0.001,3e-05,0.45977,0.34077,0.37951,98.0
gaitgl_OUMVLP.csv,LSTM,142,32,L2,2,64,True,0.0,0.001,2e-05,0.43678,0.33462,0.40842,59.0
gaitpart.csv,LSTM,225,32,L2,2,64,True,0.0,0.001,0.00015,0.27273,0.18519,0.38333,51.0
gaitpart_GREW.csv,LSTM,182,32,L2,2,64,True,0.0,0.001,3e-05,0.43678,0.36709,0.45465,94.0
gaitpart_OUMVLP.csv,LSTM,215,32,L2,2,64,True,0.0,0.001,0.2224,0.52874,0.46522,0.53053,196.0
gaitset.csv,LSTM,161,32,L2,2,64,True,0.0,0.001,5e-05,0.41379,0.31379,0.4211,69.0
gaitset_GREW.csv,LSTM,135,32,L2,2,64,True,0.0,0.001,5e-05,0.44828,0.37978,0.42151,105.0
gaitset_OUMVLP.csv,LSTM,188,32,L2,2,64,True,0.0,0.001,0.17132,0.49425,0.39465,0.49017,102.0
gln_phase1.csv,LSTM,126,32,L2,2,64,True,0.0,0.001,5e-05,0.51724,0.44866,0.48763,75.0
gln_phase2.csv,LSTM,126,32,L2,2,64,True,0.0,0.001,6e-05,0.49425,0.44968,0.46031,88.0

baseline_CASIAB.csv,LSTM,226,32,L2,2,64,False,0.2,0.001,0.01603,0.43678,0.37095,0.41307,222.0
baseline_OUMVLP.csv,LSTM,289,32,L2,2,64,False,0.2,0.001,0.01874,0.44828,0.39706,0.48763,239.0
gaitgl.csv,LSTM,142,32,L2,2,64,False,0.2,0.001,0.00079,0.49425,0.36068,0.40437,90.0
gaitgl_GREW.csv,LSTM,217,32,L2,2,64,False,0.2,0.001,9e-05,0.35632,0.28035,0.36604,53.0
gaitgl_GREW_BNNeck.csv,LSTM,164,32,L2,2,64,False,0.2,0.001,1.01051,0.48276,0.21705,0.40008,58.0
gaitgl_OUMVLP.csv,LSTM,242,32,L2,2,64,False,0.2,0.001,0.0365,0.32184,0.29674,0.43597,220.0
gaitpart.csv,LSTM,305,32,L2,2,64,False,0.2,0.001,0.00011,0.36364,0.23718,0.3956,129.0
gaitpart_GREW.csv,LSTM,221,32,L2,2,64,False,0.2,0.001,0.35634,0.45977,0.42695,0.45455,213.0
gaitpart_OUMVLP.csv,LSTM,175,32,L2,2,64,False,0.2,0.001,0.99365,0.48276,0.21705,0.48095,126.0
gaitset.csv,LSTM,222,32,L2,2,64,False,0.2,0.001,0.01393,0.4023,0.35291,0.43834,62.0
gaitset_GREW.csv,LSTM,147,32,L2,2,64,False,0.2,0.001,0.36726,0.43678,0.34979,0.41438,67.0
gaitset_OUMVLP.csv,LSTM,351,32,L2,2,64,False,0.2,0.001,0.45743,0.34483,0.33207,0.40705,223.0
gln_phase1.csv,LSTM,216,32,L2,2,64,False,0.2,0.001,0.04413,0.45977,0.43702,0.4717,126.0
gln_phase2.csv,LSTM,216,32,L2,2,64,False,0.2,0.001,0.00884,0.52874,0.47343,0.52669,80.0

baseline_CASIAB.csv,LSTM,350,64,minmax,2,128,True,0.1,0.001,0.02372,0.47126,0.35541,0.42042,100.0
baseline_OUMVLP.csv,LSTM,404,64,minmax,2,128,True,0.1,0.001,0.01777,0.44828,0.3468,0.45376,183.0
gaitgl.csv,LSTM,301,64,minmax,2,128,True,0.1,0.001,0.01159,0.4023,0.31225,0.40099,118.0
