id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
144,20251212_204045,baseline_CASIAB.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.21066,1.72646,0.43182,0.40313,"[0.51282, 0.30769, 0.38889]",0.52273,0.51696,"[0.53659, 0.5, 0.51429]",53,0.44249,1.55265,264,STOPPED,37.509
145,20251212_204045,baseline_OUMVLP.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16886,2.01617,0.40909,0.35262,"[0.37838, 0.16667, 0.51282]",0.56818,0.51481,"[0.6, 0.33333, 0.61111]",42,0.60044,1.50289,303,STOPPED,41.991
146,20251212_204045,gaitgl.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14102,1.8738,0.38636,0.39079,"[0.38095, 0.42105, 0.37037]",0.54545,0.52222,"[0.5, 0.4, 0.66667]",129,0.26541,2.58032,209,STOPPED,33.387
147,20251212_204045,gaitgl_GREW.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14077,2.05438,0.29545,0.25767,"[0.37209, 0.14286, 0.25806]",0.43182,0.37235,"[0.46154, 0.18182, 0.47368]",15,0.52067,1.56064,148,STOPPED,25.206
148,20251212_204045,gaitgl_GREW_BNNeck.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.18586,1.97882,0.40909,0.35879,"[0.55814, 0.21053, 0.30769]",0.52273,0.49123,"[0.6, 0.4, 0.47368]",112,0.19042,1.62935,267,STOPPED,45.961
149,20251212_204045,gaitgl_OUMVLP.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14023,1.54535,0.5,0.365,"[0.61224, 0.0, 0.48276]",0.56818,0.47463,"[0.65116, 0.16667, 0.60606]",111,0.14603,1.49378,402,STOPPED,68.971
150,20251212_204045,gaitpart_GREW.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14087,1.66343,0.52273,0.48339,"[0.63636, 0.4, 0.41379]",0.59091,0.57204,"[0.66667, 0.53333, 0.51613]",395,0.14145,1.70386,475,STOPPED,55.502
151,20251212_204045,gaitpart_OUMVLP.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14013,2.32039,0.40909,0.38694,"[0.47619, 0.3, 0.38462]",0.56818,0.53584,"[0.57895, 0.4, 0.62857]",307,0.23658,1.99025,520,STOPPED,60.815
152,20251212_204045,gaitset.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14015,1.9696,0.31818,0.27302,"[0.4, 0.13333, 0.28571]",0.5,0.44443,"[0.6383, 0.375, 0.32]",35,0.46801,1.70125,228,STOPPED,38.412
153,20251212_204045,gaitset_GREW.csv,best_configs_v3,LSTM,42,1,[448],False,L2,0.0,[],[],last,1024,silu,True,32,Adam,,0.001,1e-06,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14023,1.97759,0.36364,0.31517,"[0.43902, 0.14286, 0.36364]",0.52273,0.44626,"[0.65306, 0.28571, 0.4]",139,0.14271,1.84619,297,STOPPED,50.262
