id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,learning_rate,weight_decay,momentum_sgd,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
1,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[512, 512]",True,minmax,0.1,[],[1],last,128,relu,True,96,AdamW,0.0002,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.10961,1.08706,0.47727,109,0.21538,0.21538,109,1.10961,STOPPED,24.832
2,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[512, 512]",True,minmax,0.1,[],[1],last,128,relu,True,96,AdamW,0.0002,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14116,2.11626,0.36364,134,0.27083,0.41772,134,0.25715,STOPPED,180.223
3,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[512, 512]",True,minmax,0.1,[],[1],last,128,relu,True,96,AdamW,0.0002,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.1081,1.10279,0.36364,114,0.23775,0.23775,114,1.1081,STOPPED,15.806
4,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[512, 512]",True,minmax,0.1,[],[1],last,128,relu,True,96,AdamW,0.0002,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14066,1.55949,0.56818,866,0.47078,0.53829,866,0.14117,STOPPED,433.236
5,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[512, 512]",True,minmax,0.1,[],[1],last,128,relu,True,96,AdamW,0.0002,2e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.10765,1.09738,0.36364,116,0.17778,0.17778,116,1.10765,STOPPED,70.038

6,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,0.01,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1403,1.58334,0.45455,102,0.39076,0.52952,102,0.25713,STOPPED,17.909
7,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,0.01,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14015,1.3967,0.38636,37,0.28333,0.46329,37,0.2036,STOPPED,22.133
8,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,0.01,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14128,1.40513,0.54545,351,0.51603,0.60163,351,0.2994,STOPPED,40.629
9,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,0.01,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14193,1.89921,0.38636,281,0.28316,0.48944,281,0.18558,STOPPED,38.917
10,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[64],False,L2,0.4,[],[],last,,,False,64,Adam,0.01,1e-07,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14152,1.83006,0.40909,227,0.34255,0.52879,227,0.14194,STOPPED,32.695

11,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0005,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13995,1.69537,0.54545,571,0.46544,0.53298,571,0.18292,STOPPED,60.081
12,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0005,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1401,2.15021,0.52273,410,0.43647,0.56288,410,0.24112,STOPPED,83.854
13,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0005,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14084,1.98599,0.52273,649,0.41423,0.57038,649,0.21846,STOPPED,76.648
14,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0005,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13974,2.49178,0.43182,1124,0.36766,0.4317,1124,0.15018,STOPPED,169.751
15,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,1,[256],True,L2,0.2,[],[],mean,,,False,64,AdamW,0.0005,1e-05,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.62789,1.53798,0.38636,516,0.35368,0.35368,516,0.62789,STOPPED,87.243

16,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14009,2.04542,0.43182,128,0.37302,0.46275,128,0.33577,STOPPED,26.298
17,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13975,2.03726,0.47727,68,0.40656,0.47032,68,0.32282,STOPPED,39.535
18,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13959,1.26945,0.61364,502,0.56751,0.66778,502,0.23302,STOPPED,40.554
19,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13977,2.30714,0.34091,331,0.26263,0.46942,331,0.27573,STOPPED,92.181
20,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,2,"[384, 384]",False,L2,0.0,[],[],last,,,False,96,AdamW,0.0008,5e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14056,1.76117,0.54545,174,0.48909,0.55727,174,0.33253,STOPPED,89.25

21,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,64,AdamW,0.001,0.0005,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13973,1.77956,0.54545,124,0.50334,0.57576,124,0.26631,STOPPED,37.807
22,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,64,AdamW,0.001,0.0005,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13956,2.14531,0.47727,60,0.35038,0.53954,60,0.30438,STOPPED,37.836
23,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,64,AdamW,0.001,0.0005,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.10753,1.09424,0.36364,103,0.17778,0.17778,103,1.10753,STOPPED,8.642
24,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,64,AdamW,0.001,0.0005,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14016,2.17146,0.47727,426,0.43049,0.5114,426,0.1627,STOPPED,97.817
25,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,64,AdamW,0.001,0.0005,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14006,2.97331,0.34091,390,0.32379,0.38055,390,0.17374,STOPPED,120.12

26,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[512],False,L2,0.1,[],[],max,128,leakyrelu,False,64,AdamW,0.001,0.0,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1396,1.96454,0.52273,63,0.38682,0.49444,63,0.3037,STOPPED,19.067
27,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[512],False,L2,0.1,[],[],max,128,leakyrelu,False,64,AdamW,0.001,0.0,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13966,1.45452,0.47727,40,0.39252,0.44531,40,0.16323,STOPPED,25.918
28,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[512],False,L2,0.1,[],[],max,128,leakyrelu,False,64,AdamW,0.001,0.0,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13987,2.03131,0.5,339,0.42062,0.50907,339,0.16075,STOPPED,29.531
29,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[512],False,L2,0.1,[],[],max,128,leakyrelu,False,64,AdamW,0.001,0.0,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14027,2.07698,0.47727,140,0.42857,0.45424,140,0.219,STOPPED,45.001
30,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[512],False,L2,0.1,[],[],max,128,leakyrelu,False,64,AdamW,0.001,0.0,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13953,1.41843,0.59091,246,0.52688,0.543,246,0.1399,STOPPED,46.127

31,20251020_191923,baseline_31steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0005,1e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.07732,1.11211,0.36364,539,0.20574,0.49982,539,0.2237,STOPPED,118.993
32,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0005,1e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.21008,2.27356,0.34091,712,0.26998,0.44889,712,0.14174,STOPPED,193.275
33,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0005,1e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.1079,1.09197,0.47727,131,0.21538,0.21538,131,1.1079,STOPPED,12.124
34,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0005,1e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.10758,1.09306,0.47727,108,0.21538,0.21538,108,1.10758,STOPPED,27.173
35,20251020_191923,gln_93steps_mean.csv,lstm_results_v2.csv,LSTM,42,3,"[256, 256, 256]",True,L2,0.3,"[1, 2]",[],mean,,,False,96,RMSprop,0.0005,1e-06,,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.51711,1.79343,0.43182,832,0.3138,0.33432,832,0.30632,STOPPED,332.932

36,20251020_191923,baseline_31steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,96,Adam,0.0002,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14414,1.80155,0.54545,339,0.49573,0.60811,339,0.29812,STOPPED,34.757
37,20251020_191923,gaitgl_64steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,96,Adam,0.0002,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14015,1.54615,0.52273,210,0.39858,0.47685,210,0.17242,STOPPED,35.429
38,20251020_191923,gaitpart_16steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,96,Adam,0.0002,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.1085,1.08929,0.36364,118,0.17778,0.17778,118,1.1085,STOPPED,5.347
39,20251020_191923,gaitset_62steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,96,Adam,0.0002,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14155,2.13361,0.36364,965,0.30188,0.43838,965,0.14911,STOPPED,76.778
40,20251020_191923,gln_93steps_mean.csv,lstm_results_v1_Optuna.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,96,Adam,0.0002,1e-06,,False,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14191,2.00439,0.38636,384,0.39802,0.62555,384,0.25947,STOPPED,94.82

