id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251222_225259,GREW_concat.csv,Preset_1,LSTM,42,768,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10849,1.96712,0.5,0.49106,"[0.51163, 0.46154, 0.5]",30,0.57734,1.43838,0.52273,0.50251,"[0.5, 0.42857, 0.57895]",14,COMPLETED,4.352
2,20251222_225259,GREW_mean.csv,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1096,2.21018,0.43182,0.43956,"[0.4, 0.46154, 0.45714]",35,0.1411,2.04854,0.54545,0.5189,"[0.61224, 0.5, 0.44444]",31,COMPLETED,4.358
3,20251222_225259,OUMVLP_concat.csv,Preset_1,LSTM,42,1024,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11414,1.97979,0.52273,0.40333,"[0.59459, 0.0, 0.61538]",110,0.13581,1.46278,0.61364,0.45179,"[0.73469, 0.0, 0.62069]",106,COMPLETED,15.667
4,20251222_225259,OUMVLP_mean.csv,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14727,2.14321,0.54545,0.39657,"[0.55814, 0.0, 0.63158]",127,0.1643,1.80879,0.56818,0.43245,"[0.65217, 0.0, 0.64516]",122,COMPLETED,15.314

5,20251222_225259,GREW_concat.csv,Preset_2,LSTM,42,768,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1362,1.91909,0.40909,0.37755,"[0.5641, 0.26087, 0.30769]",115,0.26819,1.43081,0.56818,0.53454,"[0.61538, 0.4, 0.58824]",86,COMPLETED,16.066
6,20251222_225259,GREW_mean.csv,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12479,2.00633,0.45455,0.41632,"[0.51163, 0.28571, 0.45161]",112,0.21486,1.81794,0.5,0.48418,"[0.55556, 0.36364, 0.53333]",92,COMPLETED,14.283
7,20251222_225259,OUMVLP_concat.csv,Preset_2,LSTM,42,1024,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13278,1.9661,0.52273,0.39683,"[0.61905, 0.0, 0.57143]",219,0.227,1.83082,0.59091,0.43906,"[0.71111, 0.0, 0.60606]",177,COMPLETED,31.914
8,20251222_225259,OUMVLP_mean.csv,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14665,2.0065,0.47727,0.36302,"[0.47368, 0.0, 0.61538]",230,0.45576,1.6772,0.47727,0.41667,"[0.52632, 0.11765, 0.60606]",137,COMPLETED,29.003

9,20251222_225259,GREW_concat.csv,Preset_3,LSTM,42,768,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12613,2.04652,0.40909,0.37521,"[0.51064, 0.375, 0.24]",32,0.30595,1.93429,0.5,0.48924,"[0.2963, 0.57143, 0.6]",21,COMPLETED,6.339
10,20251222_225259,GREW_mean.csv,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11121,1.86095,0.5,0.49292,"[0.4878, 0.46154, 0.52941]",38,0.18626,1.8554,0.56818,0.56962,"[0.52632, 0.57143, 0.61111]",27,COMPLETED,6.496
11,20251222_225259,OUMVLP_concat.csv,Preset_3,LSTM,42,1024,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13297,1.50372,0.54545,0.39933,"[0.57895, 0.0, 0.61905]",129,0.53032,1.54611,0.61364,0.44219,"[0.70588, 0.0, 0.62069]",73,COMPLETED,27.116
12,20251222_225259,OUMVLP_mean.csv,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13218,2.14371,0.5,0.38416,"[0.51613, 0.0, 0.63636]",114,0.16918,2.15946,0.45455,0.43153,"[0.5, 0.17391, 0.62069]",88,COMPLETED,19.513

13,20251222_225259,GREW_concat.csv,Preset_4,LSTM,42,768,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12077,1.96667,0.36364,0.36209,"[0.35294, 0.33333, 0.4]",15,0.13308,1.8295,0.47727,0.46034,"[0.53659, 0.4, 0.44444]",13,COMPLETED,2.038
14,20251222_225259,GREW_mean.csv,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11201,1.8301,0.47727,0.43734,"[0.5, 0.28571, 0.52632]",22,0.15266,2.14153,0.5,0.49073,"[0.45161, 0.47059, 0.55]",17,COMPLETED,2.624
15,20251222_225259,OUMVLP_concat.csv,Preset_4,LSTM,42,1024,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1402,1.60026,0.5,0.36649,"[0.58333, 0.0, 0.51613]",80,0.3171,1.71943,0.56818,0.47759,"[0.61905, 0.16667, 0.64706]",61,COMPLETED,11.345
