id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_191136,baseline_CASIAB_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.1042,2.10019,0.43182,0.40508,"[0.42105, 0.30769, 0.48649]",155,0.10457,2.13465,0.52273,0.53258,"[0.52632, 0.57143, 0.5]",151,COMPLETED,21.633
2,20260111_191136,baseline_OUMVLP_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10437,2.07204,0.5,0.42581,"[0.42105, 0.22222, 0.63415]",240,0.25759,1.45177,0.61364,0.57658,"[0.57895, 0.42857, 0.72222]",185,COMPLETED,33.885
3,20260111_191136,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10754,2.58903,0.43182,0.3908,"[0.55, 0.23529, 0.3871]",91,0.14554,2.14425,0.54545,0.49223,"[0.68182, 0.33333, 0.46154]",65,COMPLETED,15.67
4,20260111_191136,gaitgl_GREW_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.11618,2.00404,0.5,0.36825,"[0.53333, 0.0, 0.57143]",65,0.13259,1.92932,0.56818,0.51806,"[0.54054, 0.36364, 0.65]",57,COMPLETED,11.266
5,20260111_191136,gaitgl_LOW50.csv,50%,Preset_15,LSTM,42,128,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10497,2.76487,0.36364,0.29313,"[0.52174, 0.11765, 0.24]",57,0.58171,1.67501,0.36364,0.32804,"[0.47619, 0.22222, 0.28571]",23,COMPLETED,9.57
6,20260111_191136,gaitgl_OUMVLP_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.11681,3.0364,0.34091,0.26136,"[0.40909, 0.0, 0.375]",233,0.55229,1.7525,0.45455,0.32387,"[0.52, 0.0, 0.45161]",168,COMPLETED,40.1
7,20260111_191136,gaitpart_GREW_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10791,2.29908,0.45455,0.38742,"[0.51064, 0.2, 0.45161]",241,0.16292,1.88451,0.59091,0.51198,"[0.69231, 0.36364, 0.48]",199,COMPLETED,28.929
8,20260111_191136,gaitpart_OUMVLP_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,1.10488,1.09184,0.36364,0.17778,"[0.0, 0.0, 0.53333]",112,1.10488,1.09184,0.36364,0.17778,"[0.0, 0.0, 0.53333]",112,STOPPED,13.421
9,20260111_191136,gaitset_GREW_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.1052,2.79022,0.36364,0.30465,"[0.5, 0.11765, 0.2963]",153,0.31448,1.95138,0.45455,0.43667,"[0.48649, 0.35294, 0.47059]",127,COMPLETED,25.794
10,20260111_191136,gaitset_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10651,2.29322,0.38636,0.29449,"[0.43902, 0.0, 0.44444]",82,0.59398,1.27972,0.52273,0.49278,"[0.51429, 0.35294, 0.61111]",40,COMPLETED,14.075
11,20260111_191136,gaitset_OUMVLP_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,1.10444,1.1021,0.15909,0.0915,"[0.0, 0.27451, 0.0]",136,1.10444,1.1021,0.15909,0.0915,"[0.0, 0.27451, 0.0]",136,STOPPED,22.876
12,20260111_191136,gln_phase1_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10334,2.63833,0.34091,0.28802,"[0.45455, 0.14286, 0.26667]",94,0.10363,2.28995,0.45455,0.41671,"[0.54167, 0.36364, 0.34483]",92,COMPLETED,19.546
13,20260111_191136,gln_phase2_LOW50.csv,50%,Preset_15,LSTM,42,256,3,"[128, 128, 128]",False,L2,0.1,[1],"[1, 2]",last,64,tanh,False,False,64,AdamW,,0.001,0.0005,0.02,1.0,0.10731,2.3554,0.43182,0.37309,"[0.55, 0.11765, 0.45161]",103,0.11219,2.06671,0.54545,0.53612,"[0.57895, 0.5, 0.52941]",100,COMPLETED,20.753

14,20260111_191136,baseline_CASIAB_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11533,2.54784,0.36364,0.3402,"[0.35294, 0.21053, 0.45714]",108,0.13437,2.2035,0.54545,0.48937,"[0.6087, 0.30769, 0.55172]",94,COMPLETED,16.528
