id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260108_043339,baseline_CASIAB_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11765,2.15053,0.45455,0.37238,"[0.56, 0.2, 0.35714]",110,0.15104,2.1563,0.5,0.47196,"[0.44444, 0.4, 0.57143]",98,COMPLETED,12.693
2,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10622,1.91327,0.47727,0.41036,"[0.5, 0.14286, 0.58824]",121,0.11013,1.98365,0.52273,0.47424,"[0.55, 0.26667, 0.60606]",120,COMPLETED,14.313
3,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10884,1.94644,0.47727,0.46754,"[0.48649, 0.4, 0.51613]",63,0.15212,2.1674,0.61364,0.5848,"[0.66667, 0.42105, 0.66667]",44,COMPLETED,8.674
4,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1103,1.57747,0.56818,0.41941,"[0.65217, 0.0, 0.60606]",29,0.1713,1.7994,0.56818,0.47337,"[0.6383, 0.18182, 0.6]",17,COMPLETED,4.006
5,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10753,2.67111,0.40909,0.31638,"[0.51163, 0.0, 0.4375]",155,0.41496,2.72196,0.36364,0.34161,"[0.37838, 0.22222, 0.42424]",116,COMPLETED,21.183
6,20260108_043339,gaitgl_TOP50.csv,50%,Preset_1,LSTM,42,128,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10727,1.84956,0.34091,0.25397,"[0.42857, 0.0, 0.33333]",46,0.326,1.75099,0.47727,0.40769,"[0.48649, 0.2, 0.53659]",23,COMPLETED,5.976
7,20260108_043339,gaitpart_GREW_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11667,2.67017,0.38636,0.33555,"[0.42857, 0.15385, 0.42424]",91,0.28255,2.20169,0.52273,0.50155,"[0.60465, 0.5, 0.4]",67,COMPLETED,9.31
8,20260108_043339,gaitpart_OUMVLP_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10754,1.79196,0.54545,0.50137,"[0.65116, 0.35294, 0.5]",421,0.67826,1.17409,0.68182,0.65196,"[0.73684, 0.53333, 0.68571]",161,COMPLETED,43.345
9,20260108_043339,gaitset_GREW_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10356,2.34707,0.34091,0.29464,"[0.42857, 0.14286, 0.3125]",116,0.11415,2.37247,0.45455,0.38902,"[0.6087, 0.21053, 0.34783]",106,COMPLETED,15.948
10,20260108_043339,gaitset_OUMVLP_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11121,2.02104,0.45455,0.38384,"[0.54545, 0.18182, 0.42424]",458,0.2917,1.87368,0.56818,0.47133,"[0.66667, 0.16667, 0.58065]",327,COMPLETED,62.124
11,20260108_043339,gaitset_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11634,2.17978,0.31818,0.28711,"[0.42857, 0.21053, 0.22222]",84,0.11762,2.33163,0.45455,0.43721,"[0.51163, 0.4, 0.4]",80,COMPLETED,11.387
12,20260108_043339,gln_phase1_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11103,1.50936,0.61364,0.54907,"[0.72, 0.44444, 0.48276]",92,0.15002,1.22578,0.72727,0.71379,"[0.71795, 0.66667, 0.75676]",67,COMPLETED,14.151
13,20260108_043339,gln_phase2_TOP50.csv,50%,Preset_1,LSTM,42,256,1,[448],False,L2,0.0,[],[],last,1024,silu,True,True,32,Adam,,0.001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10355,1.95789,0.36364,0.28348,"[0.46154, 0.0, 0.38889]",114,0.43419,1.78049,0.5,0.48591,"[0.51429, 0.38095, 0.5625]",37,COMPLETED,17.863

14,20260108_043339,baseline_CASIAB_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11258,2.40508,0.5,0.4135,"[0.62222, 0.16667, 0.45161]",286,0.44311,1.47492,0.54545,0.48629,"[0.65116, 0.30769, 0.5]",137,COMPLETED,31.925
15,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11399,2.07441,0.5,0.43944,"[0.54054, 0.11111, 0.66667]",303,0.23145,1.65652,0.61364,0.51054,"[0.71111, 0.15385, 0.66667]",192,COMPLETED,34.187
16,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11134,3.04074,0.43182,0.41544,"[0.52632, 0.32, 0.4]",284,0.62029,1.14344,0.59091,0.53898,"[0.69388, 0.46154, 0.46154]",111,COMPLETED,37.325
17,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11916,2.20392,0.40909,0.31216,"[0.48649, 0.0, 0.45]",119,0.71239,1.27026,0.52273,0.49583,"[0.55, 0.375, 0.5625]",53,COMPLETED,15.439
18,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11912,2.3461,0.45455,0.3596,"[0.54545, 0.0, 0.53333]",331,0.12568,2.34989,0.47727,0.37714,"[0.57143, 0.0, 0.56]",298,COMPLETED,44.636
19,20260108_043339,gaitgl_TOP50.csv,50%,Preset_2,LSTM,42,128,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11963,2.25257,0.45455,0.37721,"[0.57778, 0.15385, 0.4]",171,0.12476,2.4568,0.40909,0.40248,"[0.43243, 0.375, 0.4]",155,COMPLETED,21.315
20,20260108_043339,gaitpart_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11441,1.98398,0.47727,0.46825,"[0.5, 0.33333, 0.57143]",272,0.12185,1.64291,0.63636,0.61505,"[0.66667, 0.53333, 0.64516]",267,COMPLETED,27.42
21,20260108_043339,gaitpart_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11398,1.44769,0.40909,0.36798,"[0.52381, 0.23529, 0.34483]",657,0.71467,1.01381,0.63636,0.64077,"[0.57143, 0.66667, 0.68421]",196,COMPLETED,65.937
22,20260108_043339,gaitset_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11583,2.57005,0.29545,0.29461,"[0.27778, 0.27273, 0.33333]",252,0.38547,1.75238,0.54545,0.42963,"[0.66667, 0.22222, 0.4]",168,COMPLETED,33.293
23,20260108_043339,gaitset_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1147,2.00328,0.40909,0.39394,"[0.42424, 0.27273, 0.48485]",548,0.12713,1.90961,0.54545,0.50454,"[0.62222, 0.35294, 0.53846]",483,COMPLETED,70.92
