id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_191136,baseline_CASIAB_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.11288,2.33565,0.52273,0.49391,"[0.54054, 0.35294, 0.58824]",442,0.39912,1.66839,0.59091,0.55144,"[0.63415, 0.375, 0.64516]",223,COMPLETED,25.383
2,20260111_191136,baseline_OUMVLP_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.11973,1.75431,0.45455,0.39455,"[0.4878, 0.13333, 0.5625]",556,0.14273,1.68859,0.63636,0.52759,"[0.69388, 0.22222, 0.66667]",486,COMPLETED,32.429
3,20260111_191136,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,1.10507,1.1058,0.18182,0.12364,"[0.09091, 0.28, 0.0]",104,1.10507,1.1058,0.18182,0.12364,"[0.09091, 0.28, 0.0]",104,STOPPED,7.508
4,20260111_191136,gaitgl_GREW_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.10909,2.20167,0.45455,0.38959,"[0.51163, 0.2, 0.45714]",199,0.12768,2.34852,0.5,0.46714,"[0.47368, 0.36364, 0.5641]",180,COMPLETED,14.716
5,20260111_191136,gaitgl_LOW70.csv,70%,Preset_11,LSTM,42,128,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.11292,2.39829,0.34091,0.27204,"[0.35897, 0.0, 0.45714]",316,0.47997,1.6602,0.47727,0.40388,"[0.44444, 0.18182, 0.58537]",159,COMPLETED,20.908
6,20260111_191136,gaitgl_OUMVLP_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.10577,2.99603,0.36364,0.34167,"[0.4, 0.25, 0.375]",605,0.41791,2.9126,0.43182,0.41481,"[0.44444, 0.3, 0.5]",579,COMPLETED,46.195
7,20260111_191136,gaitpart_GREW_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.11079,2.4584,0.40909,0.3803,"[0.45, 0.26667, 0.42424]",456,0.40478,1.92243,0.45455,0.45421,"[0.4375, 0.45455, 0.47059]",256,COMPLETED,23.948
8,20260111_191136,gaitpart_OUMVLP_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,1.10471,1.09426,0.36364,0.17778,"[0.0, 0.0, 0.53333]",110,1.10471,1.09426,0.36364,0.17778,"[0.0, 0.0, 0.53333]",110,STOPPED,5.796
9,20260111_191136,gaitset_GREW_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.11456,2.65896,0.36364,0.3549,"[0.35294, 0.3, 0.41176]",396,0.21668,2.29814,0.45455,0.43565,"[0.53659, 0.4, 0.37037]",271,COMPLETED,30.011
10,20260111_191136,gaitset_LOW70.csv,70%,Preset_11,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,128,gelu,True,True,96,Adam,,0.0002,1e-06,0.02,1.0,0.1193,2.76238,0.34091,0.28165,"[0.4878, 0.0, 0.35714]",436,0.56654,1.28716,0.45455,0.40443,"[0.53659, 0.10526, 0.57143]",192,COMPLETED,32.399
