id,embedding,best_f1_v1_v2,best_f1_v3,difference
1,baseline_CASIAB.csv,0.55226,0.54201,-0.01025
2,baseline_OUMVLP.csv,0.50223,0.52062,0.01839
3,gaitgl.csv,0.54816,0.63313,0.08497
4,gaitgl_GREW.csv,0.54416,0.55599,0.01183
5,gaitgl_GREW_BNNeck.csv,0.39076,0.45507,0.06431
6,gaitgl_OUMVLP.csv,0.52764,0.56876,0.04112
7,gaitpart_GREW.csv,0.47065,0.51179,0.04114
8,gaitpart_OUMVLP.csv,0.4019,0.35665,-0.04525
9,gaitset.csv,0.36898,0.37331,0.00433
10,gaitset_GREW.csv,0.48614,0.51522,0.02908
11,gaitset_OUMVLP.csv,0.21538,0.3881,0.17272
12,gln_phase1.csv,0.43809,0.4574,0.01931
13,gln_phase2.csv,0.47385,0.42593,-0.04792
14,baseline_CASIAB.csv,0.43135,0.49878,0.06743
15,baseline_OUMVLP.csv,0.55009,0.47033,-0.07976
16,gaitgl.csv,0.42281,0.48057,0.05776
17,gaitgl_GREW.csv,0.45445,0.51884,0.06439
18,gaitgl_GREW_BNNeck.csv,0.37073,0.46012,0.08939
19,gaitgl_OUMVLP.csv,0.56679,0.50137,-0.06542
20,gaitpart_GREW.csv,0.57705,0.52695,-0.0501
21,gaitpart_OUMVLP.csv,0.47747,0.54722,0.06975
22,gaitset.csv,0.28523,0.35929,0.07406
23,gaitset_GREW.csv,0.40742,0.47898,0.07156
24,gaitset_OUMVLP.csv,0.5478,0.37834,-0.16946
25,gln_phase1.csv,0.42395,0.48737,0.06342
26,gln_phase2.csv,0.46223,0.47573,0.0135
53,baseline_CASIAB.csv,0.3862,0.53203,0.14583
54,baseline_OUMVLP.csv,0.44274,0.48308,0.04034
55,gaitgl.csv,0.49122,0.48756,-0.00366
56,gaitgl_GREW.csv,0.38194,0.4914,0.10946
57,gaitgl_GREW_BNNeck.csv,0.41577,0.4529,0.03713
58,gaitgl_OUMVLP.csv,0.56756,0.5625,-0.00506
59,gaitpart_GREW.csv,0.42109,0.47078,0.04969
60,gaitpart_OUMVLP.csv,0.38337,0.4385,0.05513
61,gaitset.csv,0.30438,0.35536,0.05098
62,gaitset_GREW.csv,0.36508,0.43045,0.06537
63,gaitset_OUMVLP.csv,0.34329,0.38164,0.03835
64,gln_phase1.csv,0.46834,0.51515,0.04681
65,gln_phase2.csv,0.39276,0.50466,0.1119
66,baseline_CASIAB.csv,0.40902,0.48978,0.08076
67,baseline_OUMVLP.csv,0.46758,0.52764,0.06006
68,gaitgl.csv,0.42646,0.38012,-0.04634
69,gaitgl_GREW.csv,0.42845,0.51806,0.08961
70,gaitgl_GREW_BNNeck.csv,0.37912,0.42977,0.05065
71,gaitgl_OUMVLP.csv,0.41,0.51493,0.10493
72,gaitpart_GREW.csv,0.52983,0.56931,0.03948
73,gaitpart_OUMVLP.csv,0.56085,0.61167,0.05082
74,gaitset.csv,0.27825,0.3763,0.09805
75,gaitset_GREW.csv,0.45726,0.45285,-0.00441
76,gaitset_OUMVLP.csv,0.482,0.52182,0.03982
77,gln_phase1.csv,0.49286,0.49055,-0.00231
78,gln_phase2.csv,0.34412,0.55226,0.20814
92,baseline_CASIAB.csv,0.21538,0.43202,0.21664
93,baseline_OUMVLP.csv,0.21538,0.478,0.26262
94,gaitgl.csv,0.21538,0.41671,0.20133
95,gaitgl_GREW.csv,0.21538,0.47672,0.26134
