id,embedding,best_f1_hist,best_f1_v3,difference
15,baseline_CASIAB.csv,0.43135,0.49349,0.06214
16,baseline_OUMVLP.csv,0.55009,0.54291,-0.00718
17,gaitgl.csv,0.42281,0.51493,0.09212
18,gaitgl_GREW.csv,0.45445,0.51586,0.06141
19,gaitgl_GREW_BNNeck.csv,0.37073,0.40691,0.03618
20,gaitgl_OUMVLP.csv,0.56679,0.47227,-0.09452
21,gaitpart.csv,0.45238,0.5,0.04762
22,gaitpart_GREW.csv,0.57705,0.51204,-0.06501
23,gaitpart_OUMVLP.csv,0.47747,0.45409,-0.02338
24,gaitset.csv,0.28523,0.34773,0.0625
25,gaitset_GREW.csv,0.40742,0.44875,0.04133
26,gaitset_OUMVLP.csv,0.5478,0.43892,-0.10888
27,gln_phase1.csv,0.42395,0.58654,0.16259
28,gln_phase2.csv,0.46223,0.48207,0.01984
57,baseline_CASIAB.csv,0.3862,0.53333,0.14713
58,baseline_OUMVLP.csv,0.44274,0.46694,0.0242
59,gaitgl.csv,0.49122,0.5377,0.04648
60,gaitgl_GREW.csv,0.38194,0.44394,0.062
61,gaitgl_GREW_BNNeck.csv,0.41577,0.52667,0.1109
62,gaitgl_OUMVLP.csv,0.56756,0.52883,-0.03873
63,gaitpart.csv,0.22222,0.43333,0.21111
64,gaitpart_GREW.csv,0.42109,0.51678,0.09569
65,gaitpart_OUMVLP.csv,0.38337,0.38899,0.00562
66,gaitset.csv,0.30438,0.39298,0.0886
67,gaitset_GREW.csv,0.36508,0.39307,0.02799
68,gaitset_OUMVLP.csv,0.34329,0.41087,0.06758
69,gln_phase1.csv,0.46834,0.45198,-0.01636
70,gln_phase2.csv,0.39276,0.44352,0.05076
71,baseline_CASIAB.csv,0.40902,0.53535,0.12633
72,baseline_OUMVLP.csv,0.46758,0.57469,0.10711
73,gaitgl.csv,0.42646,0.38435,-0.04211
74,gaitgl_GREW.csv,0.42845,0.52632,0.09787
75,gaitgl_GREW_BNNeck.csv,0.37912,0.46122,0.0821
76,gaitgl_OUMVLP.csv,0.41,0.46229,0.05229
77,gaitpart.csv,0.45238,0.6,0.14762
78,gaitpart_GREW.csv,0.52983,0.60616,0.07633
79,gaitpart_OUMVLP.csv,0.56085,0.56732,0.00647
80,gaitset.csv,0.27825,0.39114,0.11289
81,gaitset_GREW.csv,0.45726,0.51204,0.05478
82,gaitset_OUMVLP.csv,0.482,0.60006,0.11806
83,gln_phase1.csv,0.49286,0.51183,0.01897
84,gln_phase2.csv,0.34412,0.67626,0.33214
85,baseline_CASIAB.csv,0.31727,0.45615,0.13888
86,baseline_OUMVLP.csv,0.50301,0.48707,-0.01594
87,gaitgl.csv,0.34074,0.40278,0.06204
88,gaitgl_GREW.csv,0.57105,0.40743,-0.16362
89,gaitgl_GREW_BNNeck.csv,0.41152,0.31744,-0.09408
90,gaitgl_OUMVLP.csv,0.50135,0.53468,0.03333
91,gaitpart.csv,0.43333,0.5,0.06667
92,gaitpart_GREW.csv,0.21538,0.17778,-0.0376
93,gaitpart_OUMVLP.csv,0.21538,0.17778,-0.0376
94,gaitset.csv,0.31612,0.40256,0.08644
95,gaitset_GREW.csv,0.21538,0.46861,0.25323
96,gaitset_OUMVLP.csv,0.21538,0.36997,0.15459
97,gln_phase1.csv,0.51176,0.47578,-0.03598
98,gln_phase2.csv,0.32886,0.42693,0.09807
99,baseline_CASIAB.csv,0.21538,0.55346,0.33808
100,baseline_OUMVLP.csv,0.21538,0.44362,0.22824
101,gaitgl.csv,0.21538,0.54434,0.32896
102,gaitgl_GREW.csv,0.21538,0.55741,0.34203
103,gaitgl_GREW_BNNeck.csv,0.21538,0.17778,-0.0376
104,gaitgl_OUMVLP.csv,0.21538,0.45469,0.23931
105,gaitpart.csv,0.45238,0.35556,-0.09682
106,gaitpart_GREW.csv,0.21538,0.55857,0.34319
107,gaitpart_OUMVLP.csv,0.21538,0.21164,-0.00374
108,gaitset.csv,0.42063,0.51266,0.09203
109,gaitset_GREW.csv,0.2466,0.44599,0.19939
110,gaitset_OUMVLP.csv,0.21538,0.54396,0.32858
111,gln_phase1.csv,0.57018,0.62014,0.04996
112,gln_phase2.csv,0.21538,0.52286,0.30748
113,baseline_CASIAB.csv,0.47151,0.52707,0.05556
114,baseline_OUMVLP.csv,0.40877,0.43467,0.0259
115,gaitgl.csv,0.33236,0.51433,0.18197
116,gaitgl_GREW.csv,0.38958,0.45207,0.06249
117,gaitgl_GREW_BNNeck.csv,0.42547,0.46724,0.04177
118,gaitgl_OUMVLP.csv,0.4211,0.44997,0.02887
119,gaitpart.csv,0.25,0.26667,0.01667
120,gaitpart_GREW.csv,0.48561,0.54948,0.06387
121,gaitpart_OUMVLP.csv,0.56608,0.57629,0.01021
122,gaitset.csv,0.40591,0.45262,0.04671
123,gaitset_GREW.csv,0.33065,0.40635,0.0757
124,gaitset_OUMVLP.csv,0.47539,0.56741,0.09202
125,gln_phase1.csv,0.55515,0.51389,-0.04126
126,gln_phase2.csv,0.40833,0.45425,0.04592
169,baseline_CASIAB.csv,0.48613,0.42959,-0.05654
170,baseline_OUMVLP.csv,0.46016,0.46224,0.00208
171,gaitgl.csv,0.39055,0.46465,0.0741
172,gaitgl_GREW.csv,0.47158,0.48045,0.00887
173,gaitgl_GREW_BNNeck.csv,0.52422,0.44434,-0.07988
174,gaitgl_OUMVLP.csv,0.37505,0.45913,0.08408
175,gaitpart.csv,0.25,0.45238,0.20238
176,gaitpart_GREW.csv,0.47475,0.50907,0.03432
177,gaitpart_OUMVLP.csv,0.56695,0.57192,0.00497
178,gaitset.csv,0.42734,0.4679,0.04056
179,gaitset_GREW.csv,0.39502,0.45742,0.0624
180,gaitset_OUMVLP.csv,0.35163,0.46142,0.10979
181,gln_phase1.csv,0.61496,0.54,-0.07496
182,gln_phase2.csv,0.49815,0.38889,-0.10926
225,baseline_CASIAB.csv,0.21538,0.49529,0.27991
226,baseline_OUMVLP.csv,0.39483,0.46615,0.07132
227,gaitgl.csv,0.21538,0.42659,0.21121
228,gaitgl_GREW.csv,0.45068,0.43815,-0.01253
229,gaitgl_GREW_BNNeck.csv,0.21538,0.0915,-0.12388
230,gaitgl_OUMVLP.csv,0.21538,0.54665,0.33127
231,gaitpart.csv,0.22222,0.22222,0.0
232,gaitpart_GREW.csv,0.55798,0.48434,-0.07364
233,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0
234,gaitset.csv,0.37333,0.2319,-0.14143
235,gaitset_GREW.csv,0.21538,0.17778,-0.0376
236,gaitset_OUMVLP.csv,0.21538,0.21538,0.0
237,gln_phase1.csv,0.25383,0.49637,0.24254
238,gln_phase2.csv,0.48148,0.59167,0.11019
239,baseline_CASIAB.csv,0.46111,0.55952,0.09841
240,baseline_OUMVLP.csv,0.4472,0.45092,0.00372
241,gaitgl.csv,0.40961,0.45068,0.04107
242,gaitgl_GREW.csv,0.5,0.49833,-0.00167
243,gaitgl_GREW_BNNeck.csv,0.54994,0.57261,0.02267
244,gaitgl_OUMVLP.csv,0.41975,0.44694,0.02719
245,gaitpart.csv,0.45238,0.45238,0.0
246,gaitpart_GREW.csv,0.60476,0.53687,-0.06789
247,gaitpart_OUMVLP.csv,0.5198,0.53473,0.01493
248,gaitset.csv,0.33602,0.29231,-0.04371
249,gaitset_GREW.csv,0.33939,0.52486,0.18547
250,gaitset_OUMVLP.csv,0.49949,0.52236,0.02287
251,gln_phase1.csv,0.59167,0.47917,-0.1125
252,gln_phase2.csv,0.49496,0.53704,0.04208
337,baseline_CASIAB.csv,0.52206,0.48374,-0.03832
338,baseline_OUMVLP.csv,0.47639,0.53709,0.0607
339,gaitgl.csv,0.55271,0.61562,0.06291
340,gaitgl_GREW.csv,0.60931,0.47626,-0.13305
341,gaitgl_GREW_BNNeck.csv,0.34014,0.46218,0.12204
342,gaitgl_OUMVLP.csv,0.47222,0.51265,0.04043
343,gaitpart.csv,0.26667,0.38889,0.12222
344,gaitpart_GREW.csv,0.43555,0.63956,0.20401
345,gaitpart_OUMVLP.csv,0.5472,0.36407,-0.18313
346,gaitset.csv,0.3945,0.37727,-0.01723
347,gaitset_GREW.csv,0.4024,0.43314,0.03074
348,gaitset_OUMVLP.csv,0.46522,0.39153,-0.07369
349,gln_phase1.csv,0.47963,0.51401,0.03438
350,gln_phase2.csv,0.4743,0.46667,-0.00763
379,baseline_CASIAB.csv,0.40983,0.51722,0.10739
380,baseline_OUMVLP.csv,0.49192,0.41084,-0.08108
381,gaitgl.csv,0.41358,0.49815,0.08457
382,gaitgl_GREW.csv,0.40067,0.37719,-0.02348
383,gaitgl_GREW_BNNeck.csv,0.21538,0.38199,0.16661
384,gaitgl_OUMVLP.csv,0.21538,0.0915,-0.12388
385,gaitpart.csv,0.45238,0.45238,0.0
386,gaitpart_GREW.csv,0.50917,0.48775,-0.02142
387,gaitpart_OUMVLP.csv,0.61557,0.21109,-0.40448
388,gaitset.csv,0.39973,0.38761,-0.01212
389,gaitset_GREW.csv,0.31811,0.4792,0.16109
390,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376
391,gln_phase1.csv,0.58642,0.54854,-0.03788
392,gln_phase2.csv,0.44167,0.42063,-0.02104
393,baseline_CASIAB.csv,0.50557,0.49558,-0.00999
394,baseline_OUMVLP.csv,0.56755,0.53333,-0.03422
395,gaitgl.csv,0.35149,0.61616,0.26467
396,gaitgl_GREW.csv,0.36571,0.48283,0.11712
397,gaitgl_GREW_BNNeck.csv,0.42792,0.46989,0.04197
398,gaitgl_OUMVLP.csv,0.34079,0.17778,-0.16301
399,gaitpart.csv,0.38889,0.43333,0.04444
400,gaitpart_GREW.csv,0.42414,0.47632,0.05218
401,gaitpart_OUMVLP.csv,0.24269,0.0915,-0.15119
402,gaitset.csv,0.40769,0.34598,-0.06171
403,gaitset_GREW.csv,0.21538,0.35203,0.13665
404,gaitset_OUMVLP.csv,0.21538,0.21538,0.0
405,gln_phase1.csv,0.31258,0.49642,0.18384
406,gln_phase2.csv,0.57177,0.24074,-0.33103
477,baseline_CASIAB.csv,0.4407,0.53894,0.09824
478,baseline_OUMVLP.csv,0.5,0.46081,-0.03919
479,gaitgl.csv,0.52206,0.51655,-0.00551
480,gaitgl_GREW.csv,0.41138,0.56061,0.14923
481,gaitgl_GREW_BNNeck.csv,0.42835,0.48055,0.0522
482,gaitgl_OUMVLP.csv,0.47333,0.50572,0.03239
483,gaitpart.csv,0.45238,0.45238,0.0
484,gaitpart_GREW.csv,0.56956,0.56966,0.0001
485,gaitpart_OUMVLP.csv,0.54537,0.52145,-0.02392
486,gaitset.csv,0.32313,0.37068,0.04755
487,gaitset_GREW.csv,0.4748,0.51296,0.03816
488,gaitset_OUMVLP.csv,0.55383,0.58205,0.02822
489,gln_phase1.csv,0.47838,0.50798,0.0296
490,gln_phase2.csv,0.49239,0.52155,0.02916
491,baseline_CASIAB.csv,0.40868,0.56093,0.15225
492,baseline_OUMVLP.csv,0.51641,0.51612,-0.00029
493,gaitgl.csv,0.44862,0.46823,0.01961
494,gaitgl_GREW.csv,0.42901,0.43338,0.00437
495,gaitgl_GREW_BNNeck.csv,0.4746,0.35767,-0.11693
496,gaitgl_OUMVLP.csv,0.44197,0.21538,-0.22659
497,gaitpart.csv,0.11111,0.38889,0.27778
498,gaitpart_GREW.csv,0.48491,0.46173,-0.02318
499,gaitpart_OUMVLP.csv,0.39925,0.47111,0.07186
500,gaitset.csv,0.33545,0.46817,0.13272
501,gaitset_GREW.csv,0.35366,0.21538,-0.13828
502,gaitset_OUMVLP.csv,0.55967,0.17778,-0.38189
503,gln_phase1.csv,0.51858,0.17778,-0.3408
504,gln_phase2.csv,0.21538,0.27399,0.05861
575,baseline_CASIAB.csv,0.42331,0.45584,0.03253
