number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.22279140820833176,COMPLETE,2025-11-27 02:55:14.613690,2025-11-27 02:55:24.033120,0 days 00:00:09.419430,[1024],[],[],gelu,1024,64,,1e-05,,minmax,1,RMSprop,uniform,,max,False,1e-07
1,0.38578134411526177,COMPLETE,2025-11-27 02:55:24.045159,2025-11-27 02:55:46.788624,0 days 00:00:22.743465,"[512, 256]",[1],[1],leakyrelu,512,32,0.2,2e-05,,L2,2,RMSprop,decreasing,0.7,max,True,0.0
2,0.21758419036095988,COMPLETE,2025-11-27 02:55:46.790622,2025-11-27 02:56:36.715969,0 days 00:00:49.925347,"[64, 64, 96, 192, 384, 768]","[2, 4, 5]","[1, 2, 3, 4, 5]",leakyrelu,768,16,0.3,5e-05,0.8,minmax,6,SGD,increasing,0.5,mean,True,0.0
3,0.3327204630575417,PRUNED,2025-11-27 02:56:36.717978,2025-11-27 02:56:41.842743,0 days 00:00:05.124765,"[640, 320, 160, 80, 64]","[1, 2, 4]",[3],silu,640,96,0.5,5e-05,,L2,5,Adam,decreasing,,mean,False,0.0001
4,0.19807834441980784,PRUNED,2025-11-27 02:56:41.842743,2025-11-27 02:56:50.357997,0 days 00:00:08.515254,"[384, 192, 96, 64, 64]","[2, 3, 4]","[2, 3]",relu,384,16,0.5,1e-05,,L2,5,AdamW,decreasing,,mean,False,0.0001
5,0.2144927536231884,PRUNED,2025-11-27 02:56:50.373661,2025-11-27 02:56:51.375089,0 days 00:00:01.001428,[1024],[],[],leakyrelu,1024,48,,5e-05,0.7,minmax,1,SGD,increasing,,mean,False,1e-06
6,0.21839080459770113,PRUNED,2025-11-27 02:56:51.376092,2025-11-27 02:56:53.314703,0 days 00:00:01.938611,"[640, 640]",[1],[],gelu,640,64,,0.0002,,minmax,2,Adam,uniform,0.9,mean,True,0.0001
7,0.5072578371115831,COMPLETE,2025-11-27 02:56:53.315706,2025-11-27 02:57:05.359026,0 days 00:00:12.043320,"[160, 320, 640]",[2],"[1, 2]",relu,640,128,0.2,0.0002,,L2,3,AdamW,increasing,,mean,False,1e-07
8,0.4639136056378641,COMPLETE,2025-11-27 02:57:05.375131,2025-11-27 02:57:17.216999,0 days 00:00:11.841868,"[384, 384]",[],[1],leakyrelu,384,64,0.1,0.0002,,minmax,2,Adam,uniform,,mean,False,1e-07
9,0.2094132282811528,PRUNED,2025-11-27 02:57:17.216999,2025-11-27 02:57:21.482855,0 days 00:00:04.265856,"[896, 896, 896, 896, 896]",[2],[3],elu,896,48,0.3,0.001,,L2,5,Adam,uniform,0.7,max,True,1e-07
10,0.21839080459770113,PRUNED,2025-11-27 02:57:21.498670,2025-11-27 02:57:22.296718,0 days 00:00:00.798048,"[64, 128, 256]",[],"[1, 2]",relu,256,128,0.2,0.0005,,L2,3,AdamW,increasing,,max,False,1e-05
11,0.4600488830143908,COMPLETE,2025-11-27 02:57:22.296718,2025-11-27 02:57:32.873701,0 days 00:00:10.576983,"[96, 192, 384]",[],"[1, 2]",tanh,384,128,0.1,0.0002,,minmax,3,AdamW,increasing,,mean,False,1e-07
12,0.3480963480963481,PRUNED,2025-11-27 02:57:32.873701,2025-11-27 02:57:34.842200,0 days 00:00:01.968499,"[128, 128, 128, 128]","[2, 3]","[1, 2]",relu,128,128,0.4,0.0001,,minmax,4,AdamW,uniform,,mean,False,1e-07
13,0.3174456980581779,PRUNED,2025-11-27 02:57:34.842200,2025-11-27 02:57:36.794682,0 days 00:00:01.952482,"[96, 192]",[],[1],silu,192,64,0.1,0.0002,,L2,2,Adam,increasing,,mean,False,1e-07
14,0.21839080459770113,PRUNED,2025-11-27 02:57:36.795691,2025-11-27 02:57:40.201162,0 days 00:00:03.405471,"[384, 384, 384]",[],[1],elu,384,96,0.1,0.0002,,L2,3,Adam,uniform,,mean,False,1e-06
15,0.4822178340843295,COMPLETE,2025-11-27 02:57:40.201162,2025-11-27 02:57:53.717819,0 days 00:00:13.516657,"[640, 640, 640, 640]","[2, 3]","[1, 2]",tanh,640,64,0.2,0.0002,,minmax,4,AdamW,uniform,,mean,False,1e-05
16,0.21238938053097345,PRUNED,2025-11-27 02:57:53.717819,2025-11-27 02:58:18.639699,0 days 00:00:24.921880,"[80, 160, 320, 640]","[1, 2, 3]","[1, 2]",tanh,640,32,0.2,0.0001,,minmax,4,AdamW,increasing,,mean,False,1e-05
17,0.1761006289308176,PRUNED,2025-11-27 02:58:18.639699,2025-11-27 02:58:20.608141,0 days 00:00:01.968442,"[80, 160, 320, 640]","[2, 3]","[1, 2]",tanh,640,128,0.2,0.001,,L2,4,AdamW,increasing,,mean,False,1e-05
18,0.2854851643945469,PRUNED,2025-11-27 02:58:20.608141,2025-11-27 02:58:24.373498,0 days 00:00:03.765357,"[640, 640, 640, 640, 640, 640]","[2, 3]","[1, 2, 4]",relu,640,64,0.2,0.0005,,minmax,6,AdamW,uniform,0.6,max,True,1e-05
